TSid,dataSetName,archiveType,pub1_authors,pub1_year,pub1_doi,pub2_authors,pub2_year,pub2_doi,originalDataUrl,lat,lon,elevation,siteName,subRegion,minYear,maxYear,proxy,measurementMaterial,variableName,variableNameOriginal,units,description,paleoDataNotes,climateVariable,climateVariableDetail,seasonality,direction,basis,calibration_method,inCompilation,useInGlobalHolocene,QC Certification,QC comments,link to lipdverse
Rwjoz3Y1iEf,117_723A,MarineSediment,"Godad, Shital P. ; Naidu, Pothuri Divakar ; Malmgren, Bjorn A.",2011,10.1016/j.marmicro.2010.09.006,"Naidu, Pothuri Divakar ; Niitsuma, Nobuaki",2003,10.1016/S0031-0182(03)00629-1,,18.0518,57.609,-806,117_723A,,950,19130,,planktic foraminifera calcite,planktic.d18O,,permil,G_bulloides_d18O_per_mil_PDB,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_23_0/117_723A.html
RL0SCEeYVWU,117_723A,MarineSediment,"Godad, Shital P. ; Naidu, Pothuri Divakar ; Malmgren, Bjorn A.",2011,10.1016/j.marmicro.2010.09.006,"Naidu, Pothuri Divakar ; Niitsuma, Nobuaki",2003,10.1016/S0031-0182(03)00629-1,,18.0518,57.609,-806,117_723A,,500,22260,foraminifera,planktic foraminifera assemblage,temperature,surface.temp,degC,SST_5_degC,ANN,T,sea@surface,LOOKUP,positive,,,,TRUE,,,http://lipdverse.org/globalHolocene/0_23_0/117_723A.html
RVwo44cKoew,117_723A,MarineSediment,"Godad, Shital P. ; Naidu, Pothuri Divakar ; Malmgren, Bjorn A.",2011,10.1016/j.marmicro.2010.09.006,"Naidu, Pothuri Divakar ; Niitsuma, Nobuaki",2003,10.1016/S0031-0182(03)00629-1,,18.0518,57.609,-806,117_723A,,500,22260,,planktic foraminifera assemblage,temperature,surface.temp,degC,SSS_8,ANN,S,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_23_0/117_723A.html
R56JsH0b7h7,161_976,MarineSediment,"Martrat, Belen ; Jimenez-Amat, Patricia ; Zahn, Rainer ; Grimalt, Joan O.",2014,10.1016/j.quascirev.2014.06.016,"Jimenez-Amat, Patricia ; Zahn, Rainer",2015,10.1002/2014PA002710,,36.2054,-4.3127,-1108,161_976,,185,149480,alkenone,UK37,temperature,surface.temp,degC,SST_degC,calculated after Mueller et al. (1998),T,sea@surface,LOOKUP,positive,,,,FALSE,RV,fails chronology (> 3000 yr gap). The time series extends to 140 ka. The Holocene is well sampled.,http://lipdverse.org/globalHolocene/0_23_0/161_976.html
RFPqL4xjYcE,161_976,MarineSediment,"Martrat, Belen ; Jimenez-Amat, Patricia ; Zahn, Rainer ; Grimalt, Joan O.",2014,10.1016/j.quascirev.2014.06.016,"Jimenez-Amat, Patricia ; Zahn, Rainer",2015,10.1002/2014PA002710,,36.2054,-4.3127,-1108,161_976,,185,149480,,bulk sediment,C37.concentration,,g,K37_ng_g,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_23_0/161_976.html
RARmrjSNhwA,161_976,MarineSediment,"Martrat, Belen ; Jimenez-Amat, Patricia ; Zahn, Rainer ; Grimalt, Joan O.",2014,10.1016/j.quascirev.2014.06.016,"Jimenez-Amat, Patricia ; Zahn, Rainer",2015,10.1002/2014PA002710,,36.2054,-4.3127,-1108,161_976,,150,146260,,,label,,,Label,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_23_0/161_976.html
RyCQUjotSaO,161_976,MarineSediment,"Martrat, Belen ; Jimenez-Amat, Patricia ; Zahn, Rainer ; Grimalt, Joan O.",2014,10.1016/j.quascirev.2014.06.016,"Jimenez-Amat, Patricia ; Zahn, Rainer",2015,10.1002/2014PA002710,,36.2054,-4.3127,-1108,161_976,,150,146260,,planktic foraminifera calcite,planktic.d18O,,permil,G_bulloides_d18O_per_mil_PDB,,,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_23_0/161_976.html
Rl3oDldpRFu,161_976,MarineSediment,"Martrat, Belen ; Jimenez-Amat, Patricia ; Zahn, Rainer ; Grimalt, Joan O.",2014,10.1016/j.quascirev.2014.06.016,"Jimenez-Amat, Patricia ; Zahn, Rainer",2015,10.1002/2014PA002710,,36.2054,-4.3127,-1108,161_976,,150,146260,,planktic foraminifera calcite,planktic.MgCa,,mmol_mol,G_bulloides_Mg_Ca_mmol_mol,"cleaning protocol followed Boyle (1983) and Boyle and Keigwin (1985), implementing modifications developed in Barker et al. (2003) and Pena et al. (2005)",,,,,,,,FALSE,,,http://lipdverse.org/globalHolocene/0_23_0/161_976.html
RscxCqgnTot,161_976,MarineSediment,"Martrat, Belen ; Jimenez-Amat, Patricia ; Zahn, Rainer ; Grimalt, Joan O.",2014,10.1016/j.quascirev.2014.06.016,"Jimenez-Amat, Patricia ; Zahn, Rainer",2015,10.1002/2014PA002710,,36.2054,-4.3127,-1108,161_976,,150,146260,Mg/Ca,MgCa,temperature,surface.temp,degC,SST_1_12_degC,calculated after Elderfield and Ganssen (2000),T,sea@surface,LOOKUP,positive,,,,FALSE,RV,fails chronology (> 3000 yr gap). The time series extends to 140 ka. The Holocene is well sampled.,http://lipdverse.org/globalHolocene/0_23_0/161_976.html
Rlf3YywN7Sz,3MPond.Pellatt.2000,LakeSediment,,,10.1007/s10933-012-9656-8,,,,,49.9833,-121.2167,1950,3M Pond,,0,10714.2782469452,chironomid,,temperature,TemperatureReconstruction1,degC,,,T,,July air,positive,,WA-PLS,,,,,http://lipdverse.org/globalHolocene/0_23_0/3MPond.Pellatt.2000.html
