"","x"
"1","CO04INMI"
"2","CO07CAFR"
"3","CO13GIBO"
"4","CO14ZIMG"
"5","CO16RENI"
"6","CO17LITW01A"
"7","CO17RAPA01A"
"8","CO17WUBO1A"
"9","CO17WUBO1B"
"10","CO17WUBO1C"
"11","CO17WUBO1D"
"12","CO17WUBO1E"
"13","CO17WUBO1F"
"14","CO17WUBO1G"
"15","CO18DATO01A"
"16","CO18HECO01A"
"17","CO18HECO01B"
"18","CO18RELC01A"
"19","CO99SWFB"
"20","GW00AGBE"
"21","GW00BABA"
"22","GW00KUOM"
"23","GW00WEBA"
"24","GW01HIRI"
"25","GW01LEIL"
"26","GW02AEAQ"
"27","GW02LAZI"
"28","GW03CHNO"
"29","GW03EDGR"
"30","GW03RALO"
"31","GW04ALAL"
"32","GW04KUKA"
"33","GW04ZUMA"
"34","GW06MACH"
"35","GW07DOCO"
"36","GW08BOSO"
"37","GW08GASA"
"38","GW09CELO"
"39","GW09EDCH"
"40","GW09EDMA"
"41","GW09KUTI"
"42","GW09NOSO"
"43","GW09SCID"
"44","GW09YEIS"
"45","GW10CUYU"
"46","GW10HAMA"
"47","GW11CHSO"
"48","GW11HACA"
"49","GW11HUTA"
"50","GW11VAPA"
"51","GW12ALAL"
"52","GW12DEKA"
"53","GW12DUHI"
"54","GW13SAS."
"55","GW14ARKA"
"56","GW14MAEM"
"57","GW14VABE"
"58","GW74CASE"
"59","GW74SAPO"
"60","GW82GADE"
"61","GW83GOBO"
"62","GW86HEUI"
"63","GW86PHSA"
"64","GW87CLNA"
"65","GW88DACH"
"66","GW89GEJA"
"67","GW89STGR"
"68","GW90WALE"
"69","GW94ANIR"
"70","GW95DUHI"
"71","GW96LEAQ"
"72","GW97CLFL"
"73","GW97DALI"
"74","GW97DODJ"
"75","GW98SUCU"
"76","GW99SHNU"
"77","IC02WAEC"
"78","IC05FRAN"
"79","IC05ISLO"
"80","IC05MAGR"
"81","IC06THPR"
"82","IC06TIMU"
"83","IC07KAGE"
"84","IC07KANY"
"85","IC09CC01"
"86","IC09VID3"
"87","IC09VIGR"
"88","IC09VING"
"89","IC10VIGR"
"90","IC11DIHO"
"91","IC11MAMI"
"92","IC12ZHNK"
"93","IC13JOLZ"
"94","IC13THQU"
"95","IC14SAUS"
"96","IC15TSAP"
"97","IC16ANCH"
"98","IC16ANZK"
"99","IC16KOEL"
"100","IC75DAMI"
"101","IC95FI84"
"102","LS00ABTA"
"103","LS00LATI"
"104","LS00LIOW"
"105","LS00XIBF"
"106","LS01ANME"
"107","LS01TEBA"
"108","LS02SHDA"
"109","LS03WIVA"
"110","LS05SANA"
"111","LS06HOBP"
"112","LS09BUWI"
"113","LS09NIBB"
"114","LS09RUWA"
"115","LS10NIMB"
"116","LS10NIPA"
"117","LS12GOKE"
"118","LS12NIGH"
"119","LS13KOKO"
"120","LS14NICB"
"121","LS15ALCI"
"122","LS15LIDC"
"123","LS15OCCU"
"124","LS15YAPO"
"125","LS16THN301"
"126","LS17BAHA01"
"127","LS17STNU01"
"128","LS17VAWA01"
"129","LS89LATI"
"130","LS95KRAL"
"131","LS99FINE"
"132","LS99MAST"
"133","MS02FLPC"
"134","MS09JWCR"
"135","MS11FAPM"
"136","MS11KDMS"
"137","SH18ME"
"138","SP04DEMC"
"139","SP04DEMN"
"140","SP04YAIN"
"141","SP05WACN"
"142","SP06RACA"
"143","SP07PAMY"
"144","SP10HENZ"
"145","SP11BASC"
"146","SP11LUCH"
"147","SP11SIIN"
"148","SP13DEAU"
"149","SP13SUSA"
"150","SP14LAUS"
"151","SP14MASI"
"152","SP98KUCN"
"153","TR08VODA"
"154","TR08VOIR"
"155","TR15YOAM"
"156","TR15YODF"
"157","TR15YOMD"
"158","TR17THSW"
