failed
Ant-DSS.DahlJensen.1999
Ant-TaylorDome.Steig.2000
Ant-WDC06A.Steig.2013
Arc-BrayaSø.D'Andrea.2011
Arc-HudsonLake.Clegg.2011
Arc-Kongressvatnet.D'Andrea.2012
Arc-LakeE.D'Andrea.2011
Arc-MooseLake.Clegg.2010
Arc-ScreamingLynxLake.Clegg.2011
Arc-StoreggaSlide.Sejrup.2011
Arc-Tornetrask.Melvin.2012
Arc-VøringPlateau.Berner.2011
Arc-Yukon.D'Arrigo.2006
Asi-INDO005.D'Arrigo.2010
Asi-SO90-39KG_SO130-275KL.Munz.2015
Aus-MtRead.Cook.2006
Aus-StewartIsland.D'Arrigo.1996
Eur-EuropeanAlps.Büntgen.2011
Eur-NorthernScandinavia.Esper.2012
Eur-NorthernSpain.Martín-Chivelet.2011
Eur-SpannagelCave.Mangini.2005
NAm-AlmondButterLower.D'Arrigo.2005
NAm-AlmondButterUpper.D'Arrigo.2005
NAm-BurntOver.D'Arrigo.2005
NAm-HellsKitchenLake.Gajewski.1988
NAm-IttyhaukBay.D'Arrigo.2011
NAm-Manitoba.D'Arrigo.2006
NAm-NorthernAlaskaComposite.D'Arrigo.2006
NAm-OregonCaves.Ersek.2012
NAm-SewardComposite.D'Arrigo.2006
NAm-SouthernAlaskacomposite.D'Arrigo.2006
NAm-UpperWrightLakes.Graumlich.2005
NAm-WindyRidgeAlaska.D'Arrigo.2005
NAm-WrangellsComposite.D'Arrigo.2006
Ocn-ArabianSea.Doose-Rolinski.2001
Ocn-CapeGhir.Doose-Rolinski.2007
Ocn-CapeGhir.McGregor.2007
Ocn-CapeHatteras.Cleroux.2008
Ocn-CariacoBasin.Lea.2003
Ocn-ChileanMargin.Lamy.2002
Ocn-EasternTropicalNorthAtlantic.Kuhnert.2011
Ocn-EmeraldBasin.Keigwin.2007
Ocn-FeniDrift.Richter.2009
Ocn-GulfofGuinea.Weldeab.2007
Ocn-KNR140‐2‐59GGC.Saenger.2011
Ocn-KuroshioCurrent.Isono.2009
Ocn-LaurentianFan.Keigwin.2005
Ocn-MakassarStrait.Oppo.2009
Ocn-MD95-2011.Grimalt.2002
Ocn-MD98-2160.Newton.2010
Ocn-MinorcaContourite.Moreno.2012
Ocn-NorthwestPacificOcean.Harada.2004
Ocn-ODP984.Came.2007
Ocn-OkinawaTrough.Wu.2012
Ocn-RAPiD-12-1K.Thornalley.2009
"Ocn-SinaiPeninsula,RedSea.Moustafa.2000"
Ocn-SouthAtlanticWestAfrica.Leduc.2010
Ocn-SouthChinaSea.Zhao.2006
Ocn-SouthernChileMargin.Mohtadi.2007
Ocn-SouthIceland.Sicre.2011
Ocn-SubTropicalEasternNorthAtlantic.deMenocal.2000
Ocn-SWCoastOfIndia.Saraswat.2013
Ocn-TagusMudPatch.Abrantes.2005
Ocn-WesternAntarcticPeninsula.Shevenell.2011
Ocn-WesternSvalbard.Spielhagen.2011
Ocn-WestSpitzberg.Bonnet.2010
SAm-LagunaChepical.deJong.2013
