depth (cm),age (BP),temperature (degC),temperature (missing),reliable (missing),uncertainty (missing),uncertainty (missing),reliable (missing)
0,-49,-0.01,0.435,Y,1.5,-0.63,Y
4,781,-0.03,0.425,Y,1.48,-0.63,Y
10,1450,0.48,0.2,Y,1.05,-0.65,Y
14,2003,-2.06,0.225,Y,1.12,-0.67,Y
20,2832,0.86,0.91,Y,2.47,-0.65,Y
24,3313,-1.58,0.635,Y,1.92,-0.65,Y
28,3722,2.45,1.32,Y,3.28,-0.64,Y
32,4132,0.96,0.985,Y,2.59,-0.62,Y
36,4541,1.47,4.305,Y,5.25,3.36,Y
40,4950,-2.1,0.33,Y,1.25,-0.59,Y
44,5634,3.03,3.695,Y,5.25,2.14,Y
48,6593,0.51,0.665,Y,2.02,-0.69,Y
54,8031,0.9,0.37,Y,1.42,-0.68,Y
58,8989,1.05,0.28,Y,1.24,-0.68,Y
64,9303,-0.58,0.165,Y,0.98,-0.65,Y
68,9513,0.5,1.255,Y,1.46,1.05,Y
74,9827,1,1.28,Y,1.53,1.03,Y
78,10037,1.48,1.395,Y,1.79,1,Y
82,10247,0.52,1.255,Y,1.51,1,Y
88,10561,0.96,1.185,Y,1.39,0.98,Y
