year (AD) [1-1],age (BP) [1-1],d18O_SMOW (permil) [1-1],dD (permil) [1-1],year (AD) [2-1],age (BP) [2-1],d18O_PDB (permil) [2-1],year (AD) [3-1],age (BP) [3-1],d18O_PDB (permil) [3-1]
1915,35,-6.09,-40,1926,24,-7.19,-1286,3236,-6.29
513,1437,-6.74,-42.7,1915,35,NA,-1326,3276,-7.28
81,1869,-6.37,-40.9,1903,47,NA,-1365,3315,-6.88
-911,2861,-6.91,-41.7,1891,59,NA,-1405,3355,-6.1
-1405,3355,-6.57,-41.7,1879,71,-7.39,-1445,3395,-7.15
-2192,4142,NA,-41.6,1867,83,NA,-1485,3435,-6.82
-3477,5427,-5.64,-36.9,1856,94,-6.87,-1525,3475,-6.52
-4227,6177,-5.66,-35.3,1844,106,NA,-1565,3515,-7.41
-5001,6951,-5.53,-34.7,1832,118,-6.74,-1604,3554,-7.81
-6678,8628,-4.49,-29,1820,130,NA,-1644,3594,-7.28
-7868,9818,-4.94,-32.7,1808,142,-6.62,-1684,3634,-6.98
-8421,10371,-5.31,-31.9,1797,153,NA,-1724,3674,-7.02
-8421,10371,NA,-34.2,1785,165,-7.27,-1764,3714,-6.7
-9874,11824,-5.59,-35.1,1773,177,NA,-1803,3753,-6.64
-10075,12025,-5.37,-34.3,1761,189,-6.74,-1848,3798,-7.03
-10658,12608,-6.29,-40.8,1750,200,NA,-1887,3837,-6.84
-11405,13355,NA,-42.3,1738,212,-7.06,-1926,3876,-6.78
-11405,13355,-6.04,-41.4,1726,224,NA,-1972,3922,-6.59
NA,NA,NA,NA,1714,236,-6.66,-2009,3959,-6.93
NA,NA,NA,NA,1702,248,NA,-2044,3994,-6.78
NA,NA,NA,NA,1691,259,-7.08,-2085,4035,-7
NA,NA,NA,NA,1685,265,NA,-2117,4067,-6.8
NA,NA,NA,NA,1678,272,-6.91,-2155,4105,-6.78
NA,NA,NA,NA,1673,277,NA,-2188,4138,-6.99
NA,NA,NA,NA,1668,282,-6.26,-2220,4170,-6.57
NA,NA,NA,NA,1662,288,-7.72,-2259,4209,-6.45
NA,NA,NA,NA,1658,292,-7.02,-2291,4241,-6.39
NA,NA,NA,NA,1654,296,-6.86,-2323,4273,-6.91
NA,NA,NA,NA,1650,300,-7.22,-2361,4311,-6.82
NA,NA,NA,NA,1646,304,-7.45,-2395,4345,-7.17
NA,NA,NA,NA,1641,309,-7.13,-2431,4381,-6.96
NA,NA,NA,NA,1636,314,-7.51,-2478,4428,-7.12
NA,NA,NA,NA,1629,321,-7.66,-2519,4469,-7.19
NA,NA,NA,NA,1614,336,NA,-2569,4519,-7.12
NA,NA,NA,NA,1586,364,-7.5,-2614,4564,-6.96
NA,NA,NA,NA,1539,411,-7.28,-2662,4612,-6.92
NA,NA,NA,NA,1498,452,-6.98,-2717,4667,-6.93
NA,NA,NA,NA,1456,494,-6.39,-2760,4710,-6.64
NA,NA,NA,NA,1403,547,-7,-2802,4752,-6.75
NA,NA,NA,NA,1362,588,NA,-2853,4803,-6.75
NA,NA,NA,NA,1323,627,-6.81,-2894,4844,-7.06
NA,NA,NA,NA,1277,673,-7.25,-2936,4886,-6.74
NA,NA,NA,NA,1239,711,-6.72,-2987,4937,-6.55
NA,NA,NA,NA,1195,755,-6.98,-3030,4980,-6.46
NA,NA,NA,NA,1158,792,-7.13,-3084,5034,-6.64
NA,NA,NA,NA,1122,828,-7.09,-3131,5081,-6.61
NA,NA,NA,NA,1080,870,-7.55,-3175,5125,-6.42
NA,NA,NA,NA,1043,907,-7.68,-3223,5173,-6.38
NA,NA,NA,NA,999,951,-7.51,-3262,5212,-6.91
NA,NA,NA,NA,962,988,-7.01,-3303,5253,-6.97
NA,NA,NA,NA,924,1026,-7.04,-3352,5302,-6.88
NA,NA,NA,NA,875,1075,-7.24,-3392,5342,-6.44
NA,NA,NA,NA,834,1116,-6.78,-3430,5380,-6.8
NA,NA,NA,NA,791,1159,-7.2,-3477,5427,-6.64
