depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
295,Carbon-14,108181,95,3275,Gyttja,NA
495,Carbon-14,108182,95,4790,Gyttja,NA
695,Carbon-14,108183,120,7180,Gyttja,NA
830,Carbon-14,108184,150,10250,Gyttja,NA
