year (AD) [1-1],age (BP) [1-1],hole (missing) [1-1],section (missing) [1-1],interval (missing) [1-1],varveCountedAgeKa (missing) [1-1],varveCountedAgeAD0x2FBC (AD) [1-1],radiocarbonDatesAD0x2FBC (missing) [1-1],d18O (missing) [1-1],d18O (missing) [1-1],d18O (missing) [1-1],d18O (missing) [1-1],year (AD) [2-1],age (BP) [2-1],bulloidesTemp (degC) [2-1]
1949.99,0.01,893A,01H,2004.0,69,1881,NA,NA,NA,-0.041,-0.041,1941.03,8.97,13.02
1949.94,0.06,NA,01H,14016.0,102,1848,NA,0.335,0.335,-0.301,-0.301,1887.212,62.788,14.18
1949.93,0.07,NA,01H,16018.0,107,1843,NA,0.459,0.459,-0.066,-0.066,1878.242,71.758,13.13
1949.91,0.09,NA,01H,20022.0,116,1834,NA,0.195,0.195,-0.33,-0.33,1860.303,89.697,14.31
1949.89,0.11,NA,01H,25027.0,129,1821,NA,0.223,0.223,-0.26,-0.26,1837.879,112.121,14
1949.87,0.13,NA,01H,29031.0,140,1810,NA,0.279,0.279,-0.455,-0.455,1819.939,130.061,14.87
NA,NA,NA,NA,33.0,NA,1800,148,NA,NA,NA,NA,1786.412,163.588,13.63
1949.84,0.16,NA,01H,36038.0,158,1792,NA,0.139,0.139,-0.177,-0.177,1765.629,184.371,14.68
1949.82,0.18,NA,01H,39041.0,164,1786,NA,0.258,0.258,-0.411,-0.411,1713.67,236.33,14.02
1949.76,0.24,NA,01H,49051.0,185,1765,NA,0.307,0.307,-0.264,-0.264,1698.082,251.918,15.04
NA,NA,NA,NA,55.0,NA,1760,310,NA,NA,NA,NA,1630.536,319.464,13.19
1949.75,0.25,NA,01H,52054.0,191,1759,NA,0.245,0.245,-0.493,-0.493,1609.753,340.247,13.29
1949.68,0.32,NA,01H,65067.0,214,1736,NA,0.213,0.213,-0.08,-0.08,1542.206,407.794,13.26
1949.66,0.34,NA,01H,69071.0,221,1729,NA,-0.073,-0.073,-0.101,-0.101,1531.814,418.186,13.19
1949.59,0.41,NA,01H,82084.0,244,1706,NA,0.078,0.078,-0.095,-0.095,1490.247,459.753,14.11
1949.58,0.42,NA,01H,84086.0,247,1703,NA,0.079,0.079,-0.079,-0.079,1469.464,480.536,11.73
1949.54,0.46,NA,01H,92094.0,261,1689,NA,0.2,0.2,-0.284,-0.284,1438.289,511.711,13.99
1949.52,0.48,NA,01H,96098.0,268,1682,NA,0.217,0.217,0.247,0.247,1417.505,532.495,14.53
1949.49,0.51,NA,01H,102105.0,278,1672,NA,-0.149,-0.149,-0.258,-0.258,1381.134,568.866,11.38
1949.47,0.53,NA,01H,106108.0,285,1665,432,-0.098,-0.098,-0.379,-0.379,1370.742,579.258,10.55
1949.43,0.57,NA,01H,112114.0,314,1636,NA,0.463,0.463,0.324,0.324,1360.351,589.649,NA
1949.42,0.58,NA,01H,114116.0,324,1626,NA,0.821,0.821,0.511,0.511,1339.567,610.433,14.09
1949.41,0.59,NA,01H,116118.0,334,1616,NA,-0.087,-0.087,NA,NA,1280.24,669.76,13.67
1949.39,0.61,NA,01H,120122.0,354,1596,NA,0.5,0.5,-0.28,-0.28,1262.48,687.52,11.61
NA,NA,NA,NA,128.0,NA,1550,652,NA,NA,NA,NA,1244.72,705.28,11.58
1949.33,0.67,NA,01H,131133.0,410,1540,NA,0.183,0.183,-0.186,-0.186,1215.12,734.88,13.51
1949.31,0.69,NA,01H,134136.0,429,1521,NA,0.268,0.268,0.274,0.274,1191.44,758.56,NA
1949.29,0.71,NA,01H,137139.0,447,1503,NA,0.304,0.304,0.28,0.28,1167.76,782.24,11.13
