depth (cm),age (bp),age14C (bp),age_error (years),age_type (),lab_id (),material_dated ()
16,1303.873,1410,100,1,4,1
29,3580.484,3350,120,1,2,1
85,5532.971,4760,110,1,3,1
125,7550.349,6740,200,1,1,1
