depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
342.5,Carbon-14,108838,70,1300,organic clay,NA
387.5,Carbon-14,108839,70,240,5 Heliotropium seeds,NA
410.5,Carbon-14,108840,80,4550,organic clay,NA
470,Carbon-14,108841,100,9810,organic clay,NA
486.5,Carbon-14,108842,140,2800,2 Heliotropium seeds/charcoal,NA
551,Carbon-14,108843,110,11430,organic clay,NA
571,Carbon-14,108844,70,8090,57 Chenopodium-type seeds,NA
571,Carbon-14,108845,90,8110,21 Polygonum seeds,NA
608,Carbon-14,108846,70,8020,36 Polygonum seeds,NA
620.5,Carbon-14,108847,100,9380,organic clay,NA
694.5,Carbon-14,108848,110,11060,organic clay,NA
729,Carbon-14,108849,90,9540,wood fragments,NA
764.5,Carbon-14,108850,110,11060,organic clay,NA
794,Carbon-14,108851,80,10080,charcoal flakes,NA
840.5,Carbon-14,108852,110,11060,organic clay,NA
870,Carbon-14,108853,90,9770,charcoal flakes,NA
908.5,Carbon-14,108854,110,12130,organic clay,NA
917.5,Carbon-14,108855,80,10300,charcoal flakes,NA
963,Carbon-14,108856,120,13410,organic clay,NA
972.5,Carbon-14,108857,180,11690,Picea needle fragments,NA
981.5,Carbon-14,108858,210,19860,organic clay,NA
1014,Carbon-14,108859,NA,41400,wood fragments,NA
