year (AD),age (BP),d18O_VPBD (permil)
2006,-56,-12.531
1997.671,-47.671,-12.937
1981.013,-31.013,-13.421
1964.355,-14.355,-13.019
1947.697,2.303,-12.934
1931.039,18.961,-12.644
1914.382,35.618,-12.957
1897.724,52.276,-12.999
1881.066,68.934,-12.841
1864.408,85.592,-12.669
1847.75,102.25,-13.688
1831.092,118.908,-14.018
1814.434,135.566,-13.843
1797.776,152.224,-13.471
1781.118,168.882,-13.308
1764.461,185.539,-13.466
1747.803,202.197,-13.379
1712.121,237.879,-13.523
1679.036,270.964,-13.489
1646.128,303.872,-12.971
1613.395,336.605,-13.003
1580.837,369.163,-13.544
1548.453,401.547,-14.17
1516.242,433.758,-13.682
1484.203,465.797,-13.665
1452.337,497.663,-13.38
1420.641,529.359,-13.821
1389.116,560.884,-13.741
1357.76,592.24,-13.806
1326.573,623.427,-13.587
1295.554,654.446,-13.175
1264.702,685.298,-13.524
1234.017,715.983,-13.246
1203.497,746.503,-13.181
1173.142,776.858,-12.446
1142.952,807.048,-12.557
1112.925,837.075,-12.784
1083.06,866.94,-12.818
1053.358,896.642,-12.58
1023.817,926.183,-13.481
994.436,955.564,-13.686
965.215,984.785,-13.663
936.153,1013.847,-13.651
878.503,1071.497,-13.311
849.914,1100.086,-13.431
821.48,1128.52,-13.581
793.202,1156.798,-14.003
751.073,1198.927,-13.624
723.179,1226.821,-13.435
695.438,1254.562,-13.455
667.849,1282.151,-12.931
640.41,1309.59,-12.987
613.122,1336.878,-13.2
585.983,1364.017,-13.4
558.994,1391.006,-13.417
532.152,1417.848,-13.364
505.457,1444.543,-13.834
478.909,1471.091,-13.464
452.507,1497.493,-14.351
426.25,1523.75,-13.24
400.137,1549.863,-13.14
374.168,1575.832,-13.924
348.341,1601.659,-13.792
322.657,1627.343,-13.457
297.113,1652.887,-13.457
271.71,1678.29,-13.72
246.447,1703.553,-14.03
221.323,1728.677,-13.032
196.337,1753.663,-13.5
171.489,1778.511,-13.129
146.777,1803.223,-13.655
122.202,1827.798,-13.701
97.761,1852.239,-13.56
73.455,1876.545,-13.343
49.283,1900.717,-13.007
25.244,1924.756,-13.017
1.337,1948.663,-13.424
-22.438,1972.438,-13.563
-46.083,1996.083,-12.65
-69.598,2019.598,-13.668
-92.984,2042.984,-12.69
-116.241,2066.241,-13.773
-139.37,2089.37,-13.661
-162.373,2112.373,-13.31
-185.249,2135.249,-13.414
-208,2158,-13.521
-253.128,2203.128,-13.903
-275.507,2225.507,-13.12
-297.764,2247.764,-13.636
-319.899,2269.899,-12.804
-341.913,2291.913,-13.622
-363.807,2313.807,-14.532
-385.581,2335.581,-14.039
-407.237,2357.237,-13.583
-428.775,2378.775,-12.701
-450.195,2400.195,-13.253
-471.5,2421.5,-13.943
-492.688,2442.688,-13.341
-513.762,2463.762,-13.425
-534.722,2484.722,-13.66
-555.568,2505.568,-13.575
-576.301,2526.301,-14.22
-596.923,2546.923,-13.974
-617.433,2567.433,-13.883
-637.833,2587.833,-13.346
-658.124,2608.124,-14.056
-678.305,2628.305,-14.009
-698.379,2648.379,-13.718
-718.345,2668.345,-13.495
-738.204,2688.204,-13.765
-757.958,2707.958,-13.707
-777.607,2727.607,-13.967
-797.151,2747.151,-14.035
-816.591,2766.591,-13.897
-835.929,2785.929,-13.669
-855.164,2805.164,-13.957
-874.299,2824.299,-14.209
-893.332,2843.332,-13.437
-912.266,2862.266,-13.565
-931.101,2881.101,-13.455
-949.837,2899.837,-13.373
-968.476,2918.476,-13.442
-987.018,2937.018,-13.302
-1005.464,2955.464,-13.929
-1023.814,2973.814,-13.477
-1042.07,2992.07,-13.735
-1060.232,3010.232,-13.741
-1078.301,3028.301,-13.645
-1096.278,3046.278,-13.726
-1114.163,3064.163,-13.373
-1131.958,3081.958,-14.031
-1149.662,3099.662,-13.856
-1167.277,3117.277,-14.06
-1184.803,3134.803,-14.296
-1202.242,3152.242,-14.057
-1219.594,3169.594,-13.753
-1236.859,3186.859,-13.168
-1254.039,3204.039,-13.535
-1271.134,3221.134,-13.76
-1305.073,3255.073,-13.425
-1371.966,3321.966,-13.57
-1437.587,3387.587,-12.493
-1501.984,3451.984,-12.948
-1565.205,3515.205,-12.993
-1627.299,3577.299,-13.721
-1688.313,3638.313,-12.914
-1748.296,3698.296,-13.117
-1807.296,3757.296,-13.232
-1865.361,3815.361,-13.291
-1922.539,3872.539,-13.596
-1978.879,3928.879,-13.328
-2034.429,3984.429,-13.385
-2089.237,4039.237,-12.974
-2143.35,4093.35,-13.073
-2196.818,4146.818,-13.246
-2249.689,4199.689,-13.694
-2302.01,4252.01,-12.724
-2353.83,4303.83,-13.628
-2405.197,4355.197,-13.693
-2456.16,4406.16,-12.68
-2557.063,4507.063,-13.182
-2607.1,4557.1,-13.226
-2656.926,4606.926,-13.316
-2706.587,4656.587,-12.42
-2756.133,4706.133,-11.743
-2805.612,4755.612,-12.295
-2855.071,4805.071,-13.388
-2904.56,4854.56,-13.349
-2954.125,4904.125,-13.074
-3003.816,4953.816,-12.473
