depth (cm),age (yr BP),error (yr)
23,1762,50
52,2309,50
69,1945,50
71,2785,48
76,3041,53
82,3078,51
142,4554,76
166,6090,50
215,7445,50
232,7020,40
233,7810,50
325,8520,50
446,14730,90
