year (AD) [1-1],age (BP) [1-1],temperature (degC) [1-1],year (AD) [2-1],age (BP) [2-1],temperature (degC) [2-1]
1950,0,18.9,1977.59,-27.59,18.5
1913.21,36.79,19,1950,0,18.9
1876.42,73.58,18.9,1913.21,36.79,19
1839.62,110.38,18.8,1876.42,73.58,18.9
1802.83,147.17,19,1839.62,110.38,18.8
1766.04,183.96,19,1802.83,147.17,19
1729.25,220.75,19.1,1766.04,183.96,19
1692.45,257.55,19.2,1729.25,220.75,19.1
1655.66,294.34,19.3,1692.45,257.55,19.2
1618.87,331.13,19.2,1655.66,294.34,19.3
1582.08,367.92,18.9,1618.87,331.13,19.2
1545.28,404.72,18.9,1582.08,367.92,18.9
1508.49,441.51,18.9,1545.28,404.72,18.9
1471.7,478.3,18.7,1508.49,441.51,18.9
1434.91,515.09,19.1,1471.7,478.3,18.7
1398.11,551.89,19,1434.91,515.09,19.1
1361.32,588.68,19,1398.11,551.89,19
1324.53,625.47,18.9,1361.32,588.68,19
1287.74,662.26,19.1,1324.53,625.47,18.9
1250.94,699.06,19,1287.74,662.26,19.1
1214.15,735.85,19.3,1250.94,699.06,19
1177.36,772.64,19.3,1214.15,735.85,19.3
1140.57,809.43,19.4,1177.36,772.64,19.3
1103.77,846.23,19.4,1140.57,809.43,19.4
1066.98,883.02,19.6,1103.77,846.23,19.4
1030.19,919.81,19.6,1066.98,883.02,19.6
993.4,956.6,19.5,1030.19,919.81,19.6
964,986,19.5,993.4,956.6,19.5
942,1008,19.5,964,986,19.5
920,1030,19.5,942,1008,19.5
898,1052,19.4,920,1030,19.5
876,1074,19.4,898,1052,19.4
854,1096,19.4,876,1074,19.4
832,1118,19.5,854,1096,19.4
811.38,1138.62,19.4,832,1118,19.5
792.13,1157.87,19.5,811.38,1138.62,19.4
772.88,1177.12,19.5,792.13,1157.87,19.5
753.63,1196.37,19.4,772.88,1177.12,19.5
NA,NA,NA,753.63,1196.37,19.4
NA,NA,NA,724.86,1225.14,19.5
NA,NA,NA,686.57,1263.43,19.4
NA,NA,NA,648.29,1301.71,19.3
NA,NA,NA,610,1340,19.4
NA,NA,NA,571.71,1378.29,19.3
NA,NA,NA,533.43,1416.57,19.3
NA,NA,NA,495.14,1454.86,19.3
NA,NA,NA,456.86,1493.14,19.3
NA,NA,NA,418.57,1531.43,19.3
NA,NA,NA,380.29,1569.71,19.2
NA,NA,NA,342,1608,19.4
NA,NA,NA,303.71,1646.29,19.4
NA,NA,NA,265.43,1684.57,19.2
NA,NA,NA,227.14,1722.86,19.2
NA,NA,NA,188.86,1761.14,19.2
NA,NA,NA,150.57,1799.43,19.1
NA,NA,NA,112.29,1837.71,19.1
NA,NA,NA,74,1876,19.2
NA,NA,NA,35.71,1914.29,19.2
NA,NA,NA,-2.57,1952.57,19.1
NA,NA,NA,-40.86,1990.86,19
NA,NA,NA,-79.14,2029.14,19.1
NA,NA,NA,-117.43,2067.43,19.2
NA,NA,NA,-155.71,2105.71,19.1
NA,NA,NA,-194,2144,19.1
NA,NA,NA,-232.29,2182.29,19.1
NA,NA,NA,-270.57,2220.57,19.1
NA,NA,NA,-308.86,2258.86,19.1
NA,NA,NA,-347.14,2297.14,19.1
NA,NA,NA,-385.43,2335.43,19.1
NA,NA,NA,-423.71,2373.71,19.1
NA,NA,NA,-462,2412,19.1
NA,NA,NA,-500.29,2450.29,19.1
NA,NA,NA,-538.57,2488.57,19.1
NA,NA,NA,-576.86,2526.86,19.2
NA,NA,NA,-720,2670,19.1
NA,NA,NA,-739,2689,19.2
NA,NA,NA,-759,2709,19.1
NA,NA,NA,-778,2728,19.2
NA,NA,NA,-798,2748,19.4
NA,NA,NA,-817,2767,19.2
NA,NA,NA,-837,2787,19.3
NA,NA,NA,-856,2806,19.1
NA,NA,NA,-876,2826,19.2
NA,NA,NA,-895,2845,19.3
NA,NA,NA,-914,2864,19.4
NA,NA,NA,-934,2884,19.5
NA,NA,NA,-953,2903,19.4
NA,NA,NA,-973,2923,19.4
NA,NA,NA,-992,2942,19.4
NA,NA,NA,-1012,2962,19.4
NA,NA,NA,-1031,2981,19.4
NA,NA,NA,-1051,3001,19.4
NA,NA,NA,-1070,3020,19.4
NA,NA,NA,-1090,3040,19.2
NA,NA,NA,-1109,3059,19.2
NA,NA,NA,-1129,3079,19.2
NA,NA,NA,-1148,3098,19.3
NA,NA,NA,-1168,3118,19.3
NA,NA,NA,-1187,3137,19.3
NA,NA,NA,-1207,3157,19.2
NA,NA,NA,-1226,3176,19.2
NA,NA,NA,-1246,3196,19.2
NA,NA,NA,-1265,3215,19.3
NA,NA,NA,-1284,3234,19.4
