depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
90,Carbon-14,110153,80,2570,NA,NA
150,Carbon-14,110154,100,3360,NA,NA
298,Carbon-14,110155,90,4900,NA,NA
470,Carbon-14,110156,110,6360,NA,NA
570,Carbon-14,110157,160,7330,NA,NA
666,Carbon-14,110158,100,8990,NA,NA
678,Carbon-14,110159,180,9820,NA,NA
691,Carbon-14,110160,180,11100,NA,NA
