depth (cm),age (BP),temperature (degC)
936,-43.5,11.877
940,268.36,11.438
944,593.38,11.804
948,902.4,11.69
952,1187.12,11.531
956,1439.75,11.972
960,1658.98,11.767
964,1848.22,11.642
968,2010.99,11.463
972,2150.78,12.127
976,2271.1,12.242
980,2375.47,12.46
982,2422.77,12.403
986,2509.79,11.695
990,2589.62,12.189
994,2665.7,12.47
998,2740.1,12.312
1002,2813.78,12.012
1006,2887.62,12.181
1010,2962.53,12.025
1014,3039.42,12.17
1018,3119.18,11.888
1022,3202.72,11.985
1026,3290.94,12.155
1030,3384.73,12.184
1034,3485.01,12.494
1038,3592.64,12.727
1042,3707.89,12.962
1046,3830.53,12.675
1050,3960.32,12.564
1054,4097.01,13.32
1058,4240.35,12.591
1062,4390.1,12.332
1066,4546,12.664
1070,4707.82,12.795
1074,4875.3,13.137
1078,5048.21,13.297
1082,5226.28,13.046
1086,5409.28,13.03
1090,5597.04,12.644
1094,5789.43,12.682
1098,5986.33,13.045
1102,6187.63,12.654
1106,6393.2,12.967
1110,6602.94,12.804
1114,6816.71,12.403
1118,7034.41,12.945
1122,7255.91,13.453
1126,7481.1,13.044
1130,7709.85,13.584
1134,7941.8,13.029
1138,8176.4,13.039
1140,8294.51,12.726
1142,8413.07,12.836
1144,8531.98,12.467
1146,8651.18,13.656
1148,8770.58,11.892
1150,8890.1,12.597
