depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
879,Carbon-14,109619,80,430,gyttja,NA
938,Carbon-14,109620,80,1480,gyttja,NA
994,Carbon-14,109621,80,2670,gyttja,NA
1053,Carbon-14,109622,80,3350,gyttja,NA
1112,Carbon-14,109623,80,4270,gyttja,NA
1171,Carbon-14,109624,130,5970,gyttja,NA
1230,Carbon-14,109625,120,7500,gyttja,NA
1289,Carbon-14,109626,140,8610,gyttja,NA
1348,Carbon-14,109627,130,9130,gyttja,NA
1404,Carbon-14,109628,150,10400,gyttja,NA
