depth (cm),age (yr bp),error (yr),material (unitless),type (unitless)
218.5,6370,30,mixed benthic foraminifers,AMS14C
317,8490,40,bivalve fragments shell,AMS14C
525,9770,50,bivalve fragments shell,AMS14C
571.5,10480,40,mixed benthic foraminifers,AMS14C
