age (BP),depth (cm),temperature (degC),salinity (psu),Sea_Ice_months (months/year),Sea_Ice_conc (0-10),productivity (gcm2),C (missing),age (BP),temperature (degC)
225.35,12,5.642,30.288,7.034,5.577,128.398,1,225.35,1.983
277.09,20,4.494,29.182,6.902,5.564,154.219,NA,277.09,1.575
328.83,28,4.253,26.814,7.049,5.63,237.391,1,328.83,1.596
380.57,36,11.086,31.329,2.022,1.626,244.581,2,380.57,5.392
432.31,44,5.969,29.004,6.891,5.508,144.646,2,432.31,2.175
484.05,52,10.225,31.354,2.372,1.87,208.777,2,484.05,4.813
535.79,60,5.01,30.367,7.44,5.977,114.513,2,535.79,1.644
587.53,68,7.865,30.487,5.026,4.011,173.585,2,587.53,3.467
639.27,76,4.389,30.534,7.415,5.987,129.818,2,639.27,1.329
691.01,84,5.904,30.107,6.729,5.403,143.573,2,691.01,2.183
742.75,92,4.821,30.775,7.497,6.066,136.996,2,742.75,1.512
794.49,100,4.715,30.395,7.44,5.99,118.381,2,794.49,1.493
855.93,109.5,4.302,29.096,7.466,5.996,209.97,2,855.93,1.351
907.67,117.5,7.131,29.842,6.555,5.255,154.821,2,907.67,2.788
959.41,125.5,5.595,30.16,7.463,5.994,111.273,2,959.41,1.965
1011.1,133.5,4.338,29.753,7.645,6.159,113.827,2,1011.1,1.302
1062.9,141.5,4.369,29.766,7.608,6.123,115.599,2,1062.9,1.318
1114.6,149.5,4.918,28.55,7.978,6.456,176.772,2,1114.6,1.594
1166.4,157.5,5.028,29.11,6.873,5.474,163.729,2,1166.4,1.729
1218.1,165.5,4.367,29.362,8.194,6.637,89.626,2,1218.1,1.362
1269.8,173.5,4.099,29.696,7.753,6.234,116.557,2,1269.8,1.19
1321.6,181.5,5.265,29.405,7.746,6.252,86.376,2,1321.6,1.826
1373.3,189.5,3.904,26.368,8.396,6.794,183.249,2,1373.3,1.19
1425.1,197.5,3.783,30.165,7.906,6.393,105.223,2,1425.1,1.07
1476.8,205.5,3.904,30.178,7.715,6.195,116.361,2,1476.8,1.123
1528.5,213.5,4.147,26.441,8.249,6.636,216.265,2,1528.5,1.295
1580.3,221.5,5.316,29.688,7.497,6.014,87.118,2,1580.3,1.888
1632,229.5,4.919,30.618,7.339,5.913,136.197,2,1632,1.565
1683.8,237.5,5.483,29.196,7.434,5.955,104.301,2,1683.8,1.905
1735.5,245.5,5.433,29.315,7.896,6.36,104.823,2,1735.5,1.907
1787.2,253.5,7.25,30.903,5.682,4.59,179.766,2,1787.2,2.978
1842.2,262,3.566,28.044,8.091,6.523,155.145,2,1842.2,0.941
1894,270,3.925,26.216,8.249,6.638,189.701,2,1894,1.235
1945.7,278,4.12,26.377,8.842,7.083,125.002,2,1945.7,1.36
2049.2,294,5.829,27.103,7.472,5.964,172.171,2,2049.2,2.123
2100.9,302,3.799,25.628,8.808,7.128,137.543,2,2100.9,1.114
2307.9,334,5.297,29.44,6.621,5.237,198.789,3,2307.9,1.907
2514.8,366,4.999,29.057,7.847,6.351,176.468,3,2514.8,1.628
2721.8,398,3.875,27.93,8.265,6.639,209.391,3,2721.8,1.17
2909.3,427,5.812,29.467,7.651,6.17,131.729,2,2909.3,2.097
3116.3,459,4.611,27.433,8.372,6.786,141.563,2,3116.3,1.616
3219.8,475,4.473,30.926,6.898,5.459,146.473,2,3219.8,1.401
3323.3,491,5.729,30.203,7.269,5.825,120.202,2,3323.3,2.004
3530.2,523,5.803,29.584,6.149,4.894,174.457,2,3530.2,2.09
3685.4,547,6.527,30.955,5.045,3.949,168.874,2,3685.4,2.459
3824.5,568.5,4.227,28.802,7.335,5.885,155.761,2,3824.5,1.361
4134.9,616.5,5.641,30.979,5.753,4.567,159.341,2,4134.9,2.018
4290.2,640.5,5.252,31.389,6.643,5.323,184.278,2,4290.2,1.744
4445.4,664.5,4.128,24.956,8.728,7.054,168.584,2,4445.4,1.201
4600.6,688.5,3.644,27.471,8.793,7.029,169.706,2,4600.6,1.036
4746.1,711,3.124,29.021,8.077,6.465,128.454,2,4746.1,0.874
4901.3,735,3.648,23.896,8.719,6.996,238.284,3,4901.3,0.969
5056.5,759,4.623,23.375,8.576,6.9,232.167,3,5056.5,1.602
5418.7,815,5.45,28.077,7.464,5.971,163.16,2,5418.7,1.987
5573.9,839,3.308,28.232,8.536,6.868,117.093,2,5573.9,0.871
5732.4,863.5,5.937,27.601,7.531,5.987,201.566,2,5732.4,2.218
5887.6,887.5,6.079,30.713,6.366,5.097,193.563,2,5887.6,2.276
6042.8,911.5,3.851,29.403,7.626,6.116,129.325,4,6042.8,1.183
6198.1,935.5,4.016,28.303,8.245,6.594,143.883,2,6198.1,1.139
6353.3,959.5,13.159,28.917,4.14,3.281,340.55,2,6353.3,6.005
6508.5,983.5,3.463,28.054,7.645,6.153,165.36,2,6508.5,0.958
6822.2,1032,3.455,28.459,6.8,5.482,156.459,3,6822.2,1.042
6977.4,1056,2.613,27.221,8.612,6.95,144.938,3,6977.4,0.474
7132.6,1080,4.83,30.845,6.558,5.152,127.24,2,7132.6,1.723
7443,1128,4.274,29.331,6.415,5.188,151.528,2,7443,1.482
7598.3,1152,3.615,28.969,7.826,6.231,135.59,2,7598.3,0.974
7743.8,1174.5,4.67,22.019,9.059,7.336,172.51,2,7743.8,1.577
7834.3,1188.5,3.884,27.702,8.595,6.895,118.194,3,7834.3,1.429
8054.2,1222.5,3.901,26.543,6.705,5.365,211.721,2,8054.2,1.315
8209.4,1246.5,5.005,28.483,7.662,6.098,112.544,2,8209.4,1.704
NA,1270.5,2.058,29.374,8.067,6.389,101.431,2,NA,NA
NA,1289.5,6.335,29.272,5.856,4.74,170.773,3,NA,NA
NA,1313.5,6.509,28.503,5.625,4.687,179.497,4,NA,NA
