year (AD),age (BP),age (BP),temperature (degC),Mg/Ca (mmol/mol),ageUncertainty (yr)
1890,60,279.018,26.05,3.96,138.332
1260,690,686.995,26.4,4.09,157.471
910,1040,1039.958,25.86,3.9,249.066
560,1390,1392.339,26.02,3.95,288.857
210,1740,1744.377,25.96,3.93,298.215
70,1880,1885.108,26.44,4.11,294.392
-70,2020,2025.787,26.59,4.16,286.092
-140,2090,2096.107,26.13,3.99,280.147
-420,2370,2377.223,25.72,3.85,242.133
-490,2440,2447.451,25.09,3.63,228.182
-850,2800,2797.865,25.26,3.69,98.321
-1180,3130,3136.507,24.92,3.58,198.056
-1520,3470,3472.26,25.71,3.84,263.789
-2190,4140,4142.667,25.7,3.84,294.248
-2520,4470,4477.45,26.47,4.11,270.721
-3200,5150,5144.701,26.53,4.14,61.714
-3630,5580,5577.17,26.74,4.22,236.682
-3800,5750,5756.652,27.32,4.44,267.388
-3910,5860,5864.285,25.81,3.88,281.003
-4060,6010,6007.744,26.26,4.04,294.6
-4160,6110,6115.304,26.85,4.26,301.763
-4230,6180,6186.996,27.03,4.33,305.2
-4270,6220,6222.837,25.7,3.84,306.532
-4450,6400,6402.001,25.84,3.89,309.432
-4520,6470,6473.647,26.14,3.99,308.861
-4590,6540,6545.282,26.58,4.16,307.298
-4630,6580,6581.096,27.34,4.45,306.14
-4810,6760,6760.119,27.6,4.55,296.451
-4880,6830,6831.706,27.15,4.38,290.655
-5350,7300,7296.63,26.94,4.29,217.965
-5520,7470,7475.132,26.43,4.1,162.671
-5600,7550,7546.41,26.12,3.99,130.375
-5700,7650,7652.513,25.98,3.94,42.908
-5890,7840,7836.703,26.37,4.08,160.924
-6070,8020,8019.738,26.09,3.98,210.855
-6250,8200,8202.529,25.82,3.88,239.393
-6800,8750,8750.032,25.55,3.79,247.833
-6980,8930,8932.262,26.75,4.22,226.511
-7350,9300,9295.946,27.34,4.45,118.055
-7530,9480,9553.765,25.96,3.93,158.203
-7710,9660,9873.275,25.83,3.89,225.429
-8080,10030,10510.6,27.32,4.44,207.606
-8870,10820,10827.431,26.69,4.2,103.119
-9050,11000,11003.08,25.96,3.93,176.183
-9240,11190,11177.631,26.47,4.12,216.193
-9560,11510,11491.284,25.9,3.91,248.431
-9780,11730,11700.133,25.46,3.76,249.308
-9960,11910,11874.029,25.28,3.7,238.097
-10140,12090,12047.769,25.02,3.61,214.379
-10320,12270,12221.274,26.07,3.97,173.325
-10500,12450,12393.68,26.25,4.03,98.606
-10570,12520,12462.706,25.62,3.81,133.837
-10670,12620,12565.076,25.51,3.78,171.706
-10730,12680,12633.184,25.18,3.67,190.382
-10800,12750,12701.231,25.38,3.73,205.442
-10830,12780,12735.236,25.99,3.94,211.854
-10990,12940,12905.13,26.22,4.02,234.877
-11150,13100,13074.848,25.05,3.62,245.454
-11320,13270,13244.418,25.44,3.75,245.111
-11480,13430,13413.84,25.49,3.77,233.747
-11640,13590,13583.087,25.31,3.71,209.533
-11970,13920,13919.811,25.9,3.91,81.742
-12200,14150,14196.606,26.32,4.06,207.625
-12430,14380,14471.872,25.68,3.83,270.183
-12660,14610,14746.795,26.98,4.31,309.933
