depth (cm),age14C (bp),age_error (age_error),age_type (),material_dated (),note ()
554.5,670,70,2,NA,1
618.5,1345,65,1,1,NA
714.5,2905,65,1,1,NA
774.5,3820,65,1,1,NA
870.5,6365,70,1,1,NA
922.5,8130,75,1,1,NA
930.5,8690,75,1,1,NA
946,9750,85,1,1,NA
