depth (cm),age (BP),temperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing)
1.75,47.195,4.522,6.43,2.613,Y
3.75,101.133,5.495,7.383,3.607,Y
4.75,128.102,5.823,7.726,3.921,Y
5.75,157.36,5.448,7.335,3.561,Y
7.75,231.224,5.526,7.413,3.639,Y
9.75,305.089,5.589,7.47,3.709,Y
10.75,342.021,5.784,7.669,3.899,Y
11.75,378.833,5.813,7.713,3.914,Y
12.75,415.596,4.954,6.87,3.038,Y
13.75,452.36,5.119,7.019,3.219,Y
15.75,525.886,5.056,6.942,3.17,Y
17.75,598.815,6.096,7.99,4.201,Y
19.75,671.337,6.132,8.029,4.234,Y
24.5,841.548,6.234,8.125,4.343,Y
28.5,982.184,6.288,8.18,4.397,Y
33.5,1152.87,6.354,8.257,4.451,Y
43.5,1472.74,6.094,7.987,4.201,Y
44.5,1503.28,6.366,8.257,4.476,Y
45.5,1532.63,6.531,8.419,4.643,Y
49.5,1650.05,6.647,8.58,4.715,Y
51.5,1705.24,5.946,7.845,4.046,Y
54.5,1787.49,6.019,7.911,4.127,Y
58.5,1890.26,6.268,8.17,4.366,Y
59.5,1915.59,5.76,7.675,3.846,Y
60.5,1940.92,6.636,8.552,4.719,Y
64.5,2034.13,6.764,8.661,4.867,Y
69.5,2143.72,5.852,7.759,3.944,Y
70.5,2164.96,6.568,8.467,4.668,Y
73.5,2225.74,6.674,8.564,4.784,Y
85.5,2445.12,5.926,7.816,4.036,Y
93.5,2575.29,6.203,8.091,4.315,Y
108.5,2797.92,5.684,7.572,3.796,Y
113.5,2869.1,7.12,9.012,5.229,Y
118.5,2939.74,6.015,7.913,4.116,Y
123.5,3010.43,6.368,8.267,4.469,Y
128.5,3081.77,6.696,8.601,4.791,Y
133.5,3154.34,6.55,8.448,4.651,Y
138.5,3228.71,7.406,9.301,5.512,Y
143.5,3305.51,6.78,8.672,4.888,Y
148.5,3385.71,7.507,9.411,5.603,Y
153.5,3469.65,5.469,7.362,3.576,Y
158.5,3557.56,6.378,8.266,4.49,Y
163.5,3649.06,6.336,8.228,4.444,Y
168.5,3743.58,6.474,8.376,4.571,Y
173.5,3840.52,6.479,8.375,4.584,Y
178.5,3939.27,5.872,7.762,3.982,Y
188.5,4139.82,6.316,8.247,4.386,Y
189.5,4159.95,6.206,8.101,4.311,Y
191.5,4200.2,6.903,8.813,4.992,Y
193.5,4240.41,5.931,7.848,4.014,Y
194.5,4260.4,6.747,8.633,4.861,Y
198.5,4340.35,6.084,7.985,4.183,Y
199.5,4360.11,6.583,8.473,4.692,Y
203.5,4438.9,6.492,8.39,4.594,Y
204.5,4458.49,6.536,8.423,4.649,Y
208.5,4535.5,6.396,8.295,4.498,Y
209.5,4554.76,6.773,8.663,4.883,Y
213.5,4629.55,6.294,8.194,4.394,Y
214.5,4648.21,6.53,8.43,4.631,Y
233.5,4969.61,6.505,8.388,4.623,Y
238.5,5044.36,6.052,7.945,4.16,Y
239.5,5058.6,6.441,8.331,4.55,Y
243.5,5114.99,6.505,8.392,4.618,Y
248.5,5181.55,6.669,8.568,4.771,Y
249.5,5193.97,6.364,8.256,4.471,Y
253.5,5243.67,6.198,8.095,4.302,Y
258.5,5301.71,5.502,7.405,3.598,Y
259.5,5313.2,6.235,8.131,4.338,Y
263.5,5355.79,6.346,8.237,4.455,Y
268.5,5405.94,6.509,8.422,4.596,Y
269.5,5415.72,6.449,8.346,4.552,Y
273.5,5452.21,6.557,8.445,4.669,Y
278.5,5494.61,6.869,8.763,4.976,Y
279.5,5502.66,6.6,8.493,4.706,Y
288.5,5568,6.393,8.29,4.495,Y
308.5,5670.49,6.658,8.547,4.768,Y
313.5,5688.36,6.896,8.798,4.993,Y
318.5,5704.22,6.728,8.63,4.827,Y
323.5,5718.57,6.208,8.1,4.316,Y
328.5,5731.9,5.966,7.874,4.057,Y
333.5,5744.72,6.625,8.506,4.744,Y
338.5,5757.52,6.692,8.582,4.802,Y
343.5,5770.8,7.496,9.386,5.606,Y
347.5,5782.02,6.648,8.543,4.753,Y
348.5,5785.07,6.505,8.409,4.6,Y
353.5,5800.81,6.675,8.579,4.772,Y
358.5,5818.73,6.349,8.244,4.453,Y
388.5,6002.04,6.932,8.821,5.044,Y
389.5,6011.22,6.919,8.807,5.03,Y
393.5,6050.14,7.076,8.971,5.181,Y
398.5,6104.51,6.789,8.684,4.894,Y
403.5,6164.98,6.335,8.242,4.427,Y
408.5,6230.59,6.507,8.411,4.604,Y
409.5,6244.6,6.544,8.447,4.641,Y
413.5,6300.65,6.856,8.75,4.962,Y
423.5,6448.3,7.248,9.141,5.355,Y
424.5,6463.33,6.992,8.884,5.099,Y
428.5,6523.85,6.972,8.873,5.07,Y
429.5,6538.99,6.877,8.766,4.989,Y
433.5,6599.18,6.83,8.722,4.939,Y
438.5,6673.29,7.359,9.248,5.47,Y
439.5,6687.91,6.78,8.673,4.888,Y
443.5,6745.16,7.118,9.002,5.234,Y
448.5,6813.78,7.34,9.232,5.449,Y
449.5,6826.84,7.227,9.117,5.336,Y
453.5,6878.13,7.083,8.974,5.192,Y
458.5,6937.38,7.121,9.013,5.229,Y
463.5,6991.15,6.905,8.799,5.011,Y
468.5,7039.66,6.687,8.587,4.787,Y
469.5,7049.03,6.656,8.548,4.763,Y
480.5,7138.34,6.851,8.747,4.955,Y
