depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
52.5,Carbon-14,108521,70,1600,gyttja,NA
152.5,Carbon-14,108522,70,2500,gyttja,NA
253,Carbon-14,108523,70,2870,gyttja,NA
422.5,Carbon-14,108524,70,4000,gyttja,NA
523,Carbon-14,108525,70,4630,gyttja,NA
582.5,Carbon-14,108526,70,4820,gyttja,NA
652.5,Carbon-14,108527,80,5510,gyttja,NA
753,Carbon-14,108528,80,6700,gyttja,NA
822.5,Carbon-14,108529,80,7340,gyttja,NA
942.5,Carbon-14,108530,90,8250,gyttja,NA
983,Carbon-14,108531,90,8730,gyttja,NA
