year (AD),age (BP),depth (m),dD (permil),sampleID (missing),d18O (missing),deutEx (missing)
1907.5,42.5,6.6,-390.9,13,-50.12,10.1
1898.85,51.15,7.15,-385.1,14,-49.16,8.2
1889.92,60.08,7.7,-377.8,15,-48.14,7.3
1880.64,69.36,8.25,-394.1,16,-50.35,8.7
1871.42,78.58,8.8,-398.7,17,-50.94,8.8
1862.23,87.77,9.35,-395.9,18,-50.6,8.9
1852.94,97.06,9.9,-395.9,19,-50.52,8.3
1843.57,106.43,10.45,-399.3,20,-51.07,9.3
1833.89,116.11,11,-391.4,21,-49.97,8.4
1824.17,125.83,11.55,-399.5,22,-50.89,7.6
1814.53,135.47,12.1,-402.9,23,-51.6,9.9
1804.65,145.35,12.65,-393.9,24,-50.45,9.7
1794.39,155.61,13.2,-398.6,25,-50.81,7.9
1784.07,165.93,13.75,-389.8,26,-49.98,10
1773.71,176.29,14.3,-394.5,27,-50.62,10.5
1763.31,186.69,14.85,-400.5,28,-51.07,8.1
1752.9,197.1,15.4,-403.6,29,-51.72,10.2
1742.47,207.53,15.95,-393.1,30,-50.11,7.8
1731.95,218.05,16.5,-410.9,31,-52.51,9.2
1721.06,228.94,17.05,-393.6,32,-50.22,8.2
1710.03,239.97,17.6,-391.1,33,-49.92,8.3
1698.78,251.22,18.15,-391.9,34,-49.86,7
1687.43,262.57,18.7,-396.3,35,-50.44,7.2
1675.98,274.02,19.25,-397,36,-50.7,8.6
1664.42,285.58,19.8,-404.7,37,-51.7,8.9
1652.79,297.21,20.35,-398.2,38,-50.98,9.6
1640.93,309.07,20.9,-395.2,39,-50.72,10.6
1628.99,321.01,21.45,-403.5,40,-51.68,9.9
1616.97,333.03,22,-398.6,41,-51.17,10.8
1604.9,345.1,22.55,-399.7,42,-51.26,10.4
1592.75,357.25,23.1,-396,43,-50.64,9.1
1580.53,369.47,23.65,-400.2,44,-51.5,11.8
1568.21,381.79,24.2,-401.6,45,-51.56,10.9
1555.78,394.22,24.75,-405.4,46,-51.89,9.7
1543.25,406.75,25.3,-399,47,-51,9
1530.72,419.28,25.85,-396.9,48,-50.55,7.5
1518.19,431.81,26.4,-394.9,49,-50.58,9.7
1505.59,444.41,26.95,-406.6,50,-51.93,8.8
1492.95,457.05,27.5,-395.2,51,-50.5,8.8
1480.2,469.8,28.05,-395.3,52,-50.49,8.6
1467.4,482.6,28.6,-399.5,53,-51.06,9
1454.54,495.46,29.15,-401,54,-51.24,8.9
1441.69,508.31,29.7,-393.6,55,-50.23,8.2
1428.87,521.13,30.25,-410.4,56,-52.52,9.8
1415.97,534.03,30.8,-401.3,57,-51.03,6.9
1403.04,546.96,31.35,-398.3,58,-50.94,9.2
1390.19,559.81,31.9,-388.5,59,-49.54,7.8
1377.36,572.64,32.45,-391.9,60,-50.14,9.2
1364.5,585.5,33,-400.8,61,-51.18,8.6
1351.62,598.38,33.55,-387.7,62,-49.53,8.5
1338.7,611.3,34.1,-401.4,63,-51.2,8.2
1325.71,624.29,34.65,-401,64,-51.18,8.4
1312.6,637.4,35.2,-387.3,65,-49.33,7.3
1299.4,650.6,35.75,-390.2,66,-49.82,8.4
1286.11,663.89,36.3,-394.5,67,-50.43,8.9
1272.67,677.33,36.85,-401.9,68,-51.31,8.6
1259.16,690.84,37.4,-399.8,69,-51.06,8.7
1245.56,704.44,37.95,-399.9,70,-51.1,8.9
1231.97,718.03,38.5,-399.1,71,-51.02,9.1
1218.49,731.51,39.05,-401.9,72,-51.49,10
1204.93,745.07,39.6,-404.8,73,-51.68,8.6
1191.18,758.82,40.15,-401.6,74,-51.58,11
1177.75,772.25,40.7,-396.7,75,-50.7,8.9
1164.73,785.27,41.25,-397.1,76,-50.82,9.5
1151.66,798.34,41.8,-394.2,77,-50.44,9.3
1138.56,811.44,42.35,-395.9,78,-50.65,9.3
1125.37,824.63,42.9,-392.7,79,-50.24,9.2
1112.17,837.83,43.45,-390.4,80,-49.93,9
1099.01,850.99,44,-389,81,-49.7,8.6
1085.83,864.17,44.55,-387,82,-49.57,9.6
1072.52,877.48,45.1,-402.3,83,-51.58,10.3
1059.19,890.81,45.65,-392.5,84,-50.27,9.7
1045.81,904.19,46.2,-404.6,85,-51.79,9.7
1032.3,917.7,46.75,-390.5,86,-49.99,9.4
