age (BP) [1-1],d18O (permil v smow) [1-1],age (BP) [1-2],d18O (permil v smow) [1-2],age (BP) [2-1],ice_melt_fraction (percent) [2-1]
0,-27.36,0,-27.03,-34,35.609
20,-26.99,20,-27.235,-9,19.661
40,-27.17,40,-27.245,16,20.856
60,-27.8,60,-27.67,41,16.216
80,-28.49,80,-28.485,66,7.061
100,-27.96,100,-28.02,91,11.571
120,-27.99,120,-27.84,116,3.613
140,-28.07,140,-27.795,141,3.03
160,-27.8,160,-27.62,166,2.161
180,-27.62,180,-27.62,191,6.585
200,-28.34,200,-28.31,216,1.194
220,-27.82,220,-28.47,241,2.903
240,-28.76,240,-28.55,266,0.491
260,-28.6,260,-28.53,291,2.546
280,-27.83,280,-28.015,316,4.894
300,-28.17,300,-28.36,341,2.008
320,-27.7,320,-27.79,366,5.087
340,-28.06,340,-28.135,391,4.115
360,-27.85,360,-27.715,416,3.149
380,-28.34,380,-28.36,441,4.367
400,-27.71,400,-27.97,466,4.409
420,-28.07,420,-28.12,491,3.324
440,-28.19,440,-28.755,516,2.11
460,-27.94,460,-28.05,541,7.985
480,-27.19,480,-27.86,566,1.868
500,-27.49,500,-27.615,591,0.998
520,-27.85,520,-27.81,616,5.455
540,-28.06,540,-28.045,641,5.154
560,-27.75,560,-27.89,666,6.328
580,-27.6,580,-27.85,691,1.6
600,-27.97,600,-28.15,716,0.146
620,-28.43,620,-28.135,741,1.62
640,-27.26,640,-27.43,766,0.509
660,-28.27,660,-27.82,791,1.308
680,-27.91,680,-28.225,816,8.029
700,-27.99,700,-28.01,841,1.286
720,-27.8,720,-27.675,866,8.57
740,-28.18,740,-27.595,891,2.287
760,-27.37,760,-27.57,916,3.004
780,-28.12,780,-28.1,941,5.505
800,-26.74,800,-27.575,966,4.982
820,-27.28,820,-27.15,991,2.838
840,-27.92,840,-28.445,1016,10.117
860,-28.25,860,-28.25,1041,1.705
880,-27.76,880,-28.105,1066,1.667
