age (BP),temperature (degC)
95.141,-31.591
107.13,-31.622
113.149,-31.603
119.205,-31.6
119.205,-31.598
125.451,-31.666
132.407,-31.724
138.807,-31.758
145.126,-31.81
152.263,-31.841
152.263,-31.881
159.38,-31.956
165.464,-32.024
171.847,-32.038
179.421,-31.987
186.623,-31.969
193.605,-31.995
200.585,-32.022
200.585,-32.029
208.106,-32.02
215.304,-32.013
223.068,-32.025
231.056,-32.026
238.562,-32.021
245.663,-32.012
253.461,-32.034
261.287,-32.081
268.471,-32.072
275.943,-32.027
284.122,-32
292.523,-31.988
292.523,-32.002
299.88,-32.001
307.306,-32.013
314.683,-32.034
322.114,-32.09
330.199,-32.085
338.479,-32.085
346.279,-32.037
354.187,-32.005
361.642,-31.988
369.36,-31.981
377.252,-31.981
385.137,-31.993
393.705,-31.971
402.092,-31.942
409.803,-31.919
417.837,-31.913
426.195,-31.939
435.395,-31.959
444.124,-31.965
444.124,-32.009
452.151,-32.024
460.146,-31.989
468.21,-31.942
477.154,-31.885
485.86,-31.877
493.906,-31.857
502.128,-31.884
510.547,-31.858
519.61,-31.844
529.979,-31.808
538.161,-31.811
546.961,-31.902
555.786,-31.947
563.878,-32.013
571.734,-32.031
579.811,-32.016
588.184,-31.99
596.972,-31.949
604.848,-31.914
613.338,-31.879
621.464,-31.832
629.783,-31.79
638.325,-31.718
646.9,-31.724
655.271,-31.782
663.814,-31.773
672.368,-31.701
681.144,-31.659
689.778,-31.72
698.622,-31.744
707.583,-31.809
716.254,-31.83
724.727,-31.89
733.744,-31.974
742.976,-31.996
751.827,-31.902
760.574,-31.714
769.708,-31.547
779.45,-31.451
789.362,-31.385
798.428,-31.375
807.722,-31.346
816.94,-31.313
826.615,-31.316
835.738,-31.344
844.395,-31.36
852.799,-31.366
860.838,-31.384
869.22,-31.378
878.411,-31.322
886.462,-31.25
895.097,-31.278
903.091,-31.262
912.228,-31.208
922.222,-31.028
931.148,-30.929
939.188,-30.827
947.684,-30.624
955.867,-30.496
964.939,-30.463
973.903,-30.528
981.625,-30.635
990.328,-30.673
998.549,-30.675
1008.06,-30.701
1016.75,-30.744
1024.98,-30.886
1033.73,-30.986
1042.65,-31.079
1051.26,-31.082
1059.27,-31.088
1068.18,-31.081
1077.16,-31.14
1086.41,-31.197
1095.54,-31.225
1104.13,-31.26
1113.06,-31.323
1121.25,-31.45
1130.51,-31.565
1139.04,-31.587
1147.35,-31.617
1155.86,-31.666
1164.76,-31.834
1173.28,-31.968
1180.46,-32.059
1188.87,-32.131
1197.94,-32.157
1206.26,-32.188
1214.72,-32.173
1224,-32.162
1232.59,-32.142
1241.54,-32.059
1249.54,-32
1258.01,-31.918
1266.91,-31.914
1276.08,-31.882
1285.9,-31.829
1285.9,-31.766
1295.24,-31.731
1295.24,-31.77
1304.04,-31.79
1304.04,-31.797
1312.23,-31.742
1312.23,-31.757
1320.75,-31.815
1329.46,-31.876
1337.92,-31.822
1346.97,-31.678
1356.1,-31.606
1356.1,-31.54
1365.15,-31.414
1375.5,-31.337
1455.17,-31.206
1465.24,-31.122
1474.77,-31.05
1484.54,-30.972
1495.5,-30.862
1505.24,-30.613
1514.86,-30.406
1561.5,-30.854
1570.94,-30.868
1581.2,-30.853
1586.1,-30.825
1586.1,-30.803
1610.08,-30.691
1615.43,-30.604
1620.76,-30.474
1639.27,-30.514
1649.24,-30.548
1659.27,-30.603
1668.52,-30.674
1678.68,-30.784
1688.81,-30.929
1688.81,-31.054
1699.48,-31.062
1709.41,-31.037
1718.93,-31.124
1728.94,-31.038
1739.28,-31.095
1749.62,-31.06
1759.46,-31.062
1769.2,-31.036
1780.29,-30.957
1789.71,-30.928
1800.35,-30.984
1811.42,-31.049
1823.15,-31.044
1833.3,-31.045
1842.87,-31.138
1862.51,-31.224
1871.47,-31.204
1881.88,-31.19
1892.14,-31.105
