depth (cm) [1-1],age (BP) [1-1],d18O (permil) [1-1],depth (cm) [2-1],age (BP) [2-1],temperature (degC) [2-1],precipitation (mm) [2-1],error (mm) [2-1]
0.5,11.4,-13.7,0,50.7,15.191,221.881,40.78
5.5,125.4,-13.4,7.5,206.45,15.197,223.775,40.78
10.5,239.4,-20.2,20.5,669.45,14.998,221.463,40.78
15.5,353.4,-17.6,28.5,888.15,15.509,233.718,40.78
20.5,467.3,-20.5,39,1224.4,15.711,202.153,40.78
25.5,581.3,-19.4,46,1401.6,15.1,210.163,40.78
30.5,695.3,-19,53,1643.8,14.554,216.295,40.78
35.5,809.3,-16.2,61,1893.9,15.69,214.198,40.78
42.5,968.9,-23.2,64.5,2013.8,15.078,218.861,40.78
49.5,1128.5,-19.6,71.5,2256.65,16.191,244.636,40.78
56.5,1288,-16.6,78.5,2549.7,15.601,246.074,40.78
61,1390.6,-24.1,85.5,2766.65,15.059,243.831,40.78
68,1550.2,-12.3,92.5,3164.65,15.995,257.746,40.78
75,1795.4,-18.3,99.5,3482.65,15.271,235.006,40.78
82,2126.2,-13.2,106.5,3742,16.288,229.024,40.78
89,2456.9,-18.9,113.5,4012.05,17.008,248.566,40.78
96,2787.7,-18.8,117,4190.5,16.863,235.976,40.78
103,3118.5,-13.3,120.5,4402.65,16.585,249.023,40.78
110,3449.2,-13.2,124,4666.9,17.729,260.773,40.78
117,3780,-15.4,127.5,4873.15,16.864,260.897,40.78
124,4122.5,-19.2,131,5079.9,17.283,236.838,40.78
131,4465,-13.7,138,5490.3,17.841,252.993,40.78
138,4807.5,-18.5,145,5794,17.286,251.065,40.78
145,5150,-13.3,152,6153.8,17.03,259.392,40.78
152,5456.3,-16.7,159,6497.1,17.329,229.883,40.78
159,5762.5,-12,166,6774.6,17.197,237.783,40.78
166,6068.8,-15.1,169.5,7065.1,17.265,272.941,40.78
173,6375,-12.3,173,7310.9,16.736,229.648,40.78
180,6681.3,-9.4,176.5,7512.25,16.271,253.167,40.78
187,6987.5,-8.5,180,7664.3,17.026,227.632,40.78
194,7321.7,-10.1,183.5,7782.35,16.718,229.089,40.78
201,7823.3,-11.3,187,7927,16.985,249.334,40.78
208,8325,-11.7,190.5,8087.6,16.476,246.613,40.78
215,8826.7,-10.1,194,8223.2,16.649,240.18,40.78
222,9328.3,-14.7,197.5,8385.75,16.74,227.763,40.78
229,9830,-16.8,201,8631.7,16.107,232.968,40.78
236,9952.1,-16.7,204.5,9059.4,16.521,225.474,40.78
NA,NA,NA,208,9249,17.02,246.731,40.78
NA,NA,NA,211.5,9398.5,16.391,240.504,40.78
NA,NA,NA,215,9547.4,16.294,233.353,40.78
NA,NA,NA,218.5,9902.3,16.186,224.328,40.78
NA,NA,NA,222,10186.4,16.176,228.284,40.78
NA,NA,NA,225.5,10439.4,16.379,228.267,40.78
NA,NA,NA,229,10825.3,15.813,216.731,40.78
NA,NA,NA,232.5,11021.5,16.14,239.737,40.78
NA,NA,NA,236,11153.1,15.074,223.548,40.78
NA,NA,NA,239.5,11312.8,14.87,204.602,40.78
NA,NA,NA,243,11396.5,13.893,208.752,40.78
NA,NA,NA,246.5,11522.05,15.026,228.062,40.78
NA,NA,NA,249,11663.8,14.336,207.638,40.78
NA,NA,NA,252.5,11832.1,14.298,217.783,40.78
NA,NA,NA,256,11968.9,14.244,215.112,40.78
NA,NA,NA,259.5,12057.2,12.943,196.934,40.78
NA,NA,NA,263,12251.9,14.319,196.362,40.78
NA,NA,NA,266.5,12418.8,13.809,204.95,40.78
NA,NA,NA,270,12524.7,14.194,208.174,40.78
NA,NA,NA,273.5,12691.75,15.157,228.107,40.78
NA,NA,NA,277,12840,14.595,202.021,40.78
NA,NA,NA,280.5,12995.8,14.23,200.847,40.78
NA,NA,NA,284,13280.2,14.557,238.705,40.78
NA,NA,NA,287.5,13459.75,14.68,209.536,40.78
NA,NA,NA,291,13621.6,14.118,191.95,40.78
NA,NA,NA,294.5,13843.85,14.353,211.414,40.78
NA,NA,NA,298,14108.5,14.551,211.153,40.78
NA,NA,NA,301.5,NA,13.697,185.991,40.78
NA,NA,NA,305,NA,14.202,187.477,40.78
NA,NA,NA,308.5,NA,13.479,177.215,40.78
NA,NA,NA,312,NA,12.606,187.072,40.78
NA,NA,NA,315.5,NA,11.679,172.593,40.78
NA,NA,NA,322.5,NA,11.652,175.906,40.78
NA,NA,NA,329.5,NA,14.248,200.368,40.78
NA,NA,NA,333,NA,13.257,209.418,40.78
NA,NA,NA,336.5,NA,14.056,209.869,40.78
