depth (cm),age (bp),age14C (bp),age_error (years),age_type (),lab_id (),material_dated ()
5,606,630,70,1,3,2
21,1375,1510,80,1,10,3
33,1407,1530,80,1,12,2
35,1176,1250,75,1,1,2
35,1214,1280,75,1,2,2
55,2769,2670,105,1,11,3
73,3365,3140,105,1,4,5
89,3956,3650,100,1,7,6
109,5533,4800,90,1,5,4
131,6361,5570,100,1,8,1
131,6495,5720,110,1,9,1
149,6599,5780,110,1,6,1
