depth (cm),age (yr BP),error (yr),type (NA)
0,-56,NA,surface
19,548,67,AMS14C
44,2186,70,AMS14C
85,3180,45,AMS14C
127,5180,NA,tephra calibrated
140,5115,30,AMS14C
188,5725,30,AMS14C
202,6235,30,AMS14C
216,7200,35,AMS14C
241,8900,35,AMS14C
