depth (m),age (BP),temperature (degC),label (missing),Uk37 (missing),C37.concentration (g),depth (m),age (BP),label (missing),planktic.d18O (permil)
0.17,690,24.8,"165-1002C-1H-1,16-17",0.883,7.43e-6,0.75,2000,"165-1002C-1H-1,75",-1.39
0.37,1140,25.4,"165-1002C-1H-1,36-37",0.901,4.51e-6,2.07,4950,"165-1002C-1H-2,57",-1.28
0.57,1590,25.8,"165-1002C-1H-1,56-57",0.916,4.98e-6,2.25,5350,"165-1002C-1H-2,75",-1.33
0.75,1990,25.5,"165-1002C-1H-1,74-75",0.905,6.14e-6,3.17,7410,"165-1002C-1H-3,17",-1.45
0.97,2480,25.6,"165-1002C-1H-1,96-97",0.908,7.38e-6,3.37,7860,"165-1002C-1H-3,37",-1.37
1.17,2930,25.7,"165-1002C-1H-1,116-117",0.914,5.39e-6,3.75,8710,"165-1002C-1H-3,75",-1.48
1.37,3370,25.7,"165-1002C-1H-1,136-137",0.912,5.22e-6,3.97,9200,"165-1002C-1H-3,97",-1.54
1.67,4040,25.7,"165-1002C-1H-2,16-17",0.914,3.71e-6,4.17,9650,"165-1002C-1H-3,117",-1.43
1.87,4490,25.5,"165-1002C-1H-2,36-37",0.907,3.67e-6,4.67,10760,"165-1002C-1H-4,17",-1.17
2.07,4940,25.5,"165-1002C-1H-2,56-57",0.905,4.67e-6,4.87,11210,"165-1002C-1H-4,37",-1.52
2.25,5340,25.5,"165-1002C-1H-2,74-75",0.907,4.12e-6,5.07,11660,"165-1002C-1H-4,57",-0.76
2.47,5840,25.8,"165-1002C-1H-2,96-97",0.915,3.65e-6,5.25,12060,"165-1002C-1H-4,75",0.01
2.87,6730,24.9,"165-1002C-1H-2,136-137",0.885,4.06e-6,5.47,12550,"165-1002C-1H-4,97",-0.1
3.17,7400,25.1,"165-1002C-1H-3,16-17",0.893,3.2e-6,5.67,13000,"165-1002C-1H-4,117",0.39
3.37,7850,25.2,"165-1002C-1H-3,36-37",0.896,3.77e-6,5.87,13450,"165-1002C-1H-4,137",0.36
3.57,8290,24.7,"165-1002C-1H-3,56-57",0.88,4.25e-6,6.17,13900,"165-1002C-1H-5,17",-0.27
3.75,8700,25,"165-1002C-1H-3,74-75",0.89,4.71e-6,6.37,14570,"165-1002C-1H-5,37",0.43
3.96,9180,24.8,"165-1002C-1H-3,96-97",0.882,6.98e-6,6.57,14870,"165-1002C-1H-5,57",0.5
4.16,9620,25.1,"165-1002C-1H-3,116-117",0.892,3.13e-6,6.75,15080,"165-1002C-1H-5,75",0.12
4.36,10070,24.5,"165-1002C-1H-3,136-137",0.873,2.38e-6,6.97,15340,"165-1002C-1H-5,97",-0.03
4.67,10750,24.1,"165-1002C-1H-4,16-17",0.858,1.07e-6,7.17,15580,"165-1002C-1H-5,117",0.06
4.87,11200,24.5,"165-1002C-1H-4,36-37",0.871,2.1e-6,7.37,15820,"165-1002C-1H-5,137",0.09
5.07,11650,24.4,"165-1002C-1H-4,56-57",0.869,1.73e-6,7.67,16170,"165-1002C-1H-6,17",-0.09
5.25,12050,24.5,"165-1002C-1H-4,74-75",0.873,2.46e-6,7.82,16350,"165-1002C-1H-6,32",-0.32
5.47,12540,24.4,"165-1002C-1H-4,96-97",0.867,4.08e-6,7.84,16380,"165-1002C-1H-6,34",-0.44
5.67,12990,23.9,"165-1002C-1H-4,116-117",0.852,5.57e-6,8.07,16650,"165-1002C-1H-6,57",0.48
5.87,13440,22.9,"165-1002C-1H-4,136-137",0.819,4.38e-6,8.57,17070,"165-1002C-2H-1,17",0.71
6.17,13880,23,"165-1002C-1H-5,16-17",0.822,3.02e-6,8.77,17180,"165-1002C-2H-1,37",0.27
6.37,14550,24.5,"165-1002C-1H-5,36-37",0.871,1.92e-6,8.97,17300,"165-1002C-2H-1,57",0.53
6.57,14860,25.7,"165-1002C-1H-5,56-57",0.913,5.7e-7,9.14,17400,"165-1002C-2H-1,74",0.54
6.75,15070,25.5,"165-1002C-1H-5,74-75",0.905,7.3e-7,9.37,17530,"165-1002C-2H-1,97",0.7
6.97,15340,25.1,"165-1002C-1H-5,96-97",0.893,1.3e-7,9.57,17650,"165-1002C-2H-1,117",0.78
7.17,15570,NA,"165-1002C-1H-5,116-117",NA,0,9.77,17760,"165-1002C-2H-1,137",0.62
7.37,15810,25.2,"165-1002C-1H-5,136-137",0.897,0,10.07,17940,"165-1002C-2H-2,17",0.33
7.67,16170,25.1,"165-1002C-1H-6,16-17",0.891,0,10.27,18050,"165-1002C-2H-2,37",1.01
7.84,16370,24.7,"165-1002C-1H-6,33-34",0.878,4.2e-7,10.47,18170,"165-1002C-2H-2,57",0.86
8.07,16640,25.2,"165-1002C-1H-6,56-57",0.894,6.2e-7,10.64,18270,"165-1002C-2H-2,74",0.72
8.57,17070,24.9,"165-1002C-2H-1,16-17",0.884,5.3e-7,10.87,18400,"165-1002C-2H-2,97",0.67
8.77,17190,25,"165-1002C-2H-1,36-37",0.89,1.14e-6,11.07,18520,"165-1002C-2H-2,117",0.32
8.97,17310,24.7,"165-1002C-2H-1,56-57",0.878,8.8e-7,11.27,18630,"165-1002C-2H-2,137",0.62
9.15,17410,24.9,"165-1002C-2H-1,74-75",0.887,7.4e-7,11.57,18800,"165-1002C-2H-3,17",0.43
9.37,17550,24.9,"165-1002C-2H-1,96-97",0.886,6.1e-7,11.77,18920,"165-1002C-2H-3,37",0.33
9.57,17660,24.8,"165-1002C-2H-1,116-117",0.883,7.8e-7,11.97,19040,"165-1002C-2H-3,57",0.59
9.77,17780,24.4,"165-1002C-2H-1,136-137",0.869,1.36e-6,12.14,19130,"165-1002C-2H-3,74",0.76
10.07,17960,25,"165-1002C-2H-2,16-17",0.89,6.1e-7,12.37,19270,"165-1002C-2H-3,97",0.74
10.27,18080,24.8,"165-1002C-2H-2,36-37",0.883,0,12.57,19380,"165-1002C-2H-3,117",0.58
10.47,18200,24.9,"165-1002C-2H-2,56-57",0.884,6.7e-7,12.77,19500,"165-1002C-2H-3,137",0.85
10.65,18300,24.7,"165-1002C-2H-2,74-75",0.878,7.1e-7,13.07,19670,"165-1002C-2H-4,17",0.41
10.87,18430,24.8,"165-1002C-2H-2,96-97",0.883,6.1e-7,13.27,19790,"165-1002C-2H-4,37",0.44
