depth (cm) [1-1],age (BP) [1-1],BSi (percent) [1-1],age (BP) [1-2],PC1 (unitless) [1-2],age (BP) [2-1],d13C (m) [2-1],C/N (unitless) [2-1],age (BP) [3-1],TOC (percent) [3-1],age (BP) [4-1],bulk density (g/cm3) [4-1],age (BP) [5-1],SE (cm/yr) [5-1],age (BP) [6-1],C (unitless) [6-1]
1296.5,3930,6.61,4011.86,-1.688,1816,-25.25,5.69,3996.818,0.334,249,1.957,10000,0.05,3951.818,-2.11
1298.5,3942,6.24,4031.874,-2.347,1827,-26.12,6.82,4016.832,0.448,251,1.957,10050,0.048,3971.832,-2.698
1300.5,3956,6.14,4051.888,-1.876,1835,-25.32,6.71,4036.846,0.535,253,1.954,10100,0.05,3991.846,-2.557
1302.5,3970,8.01,4071.903,-1.154,1846,-25.93,6.78,4056.86,0.495,255,1.932,10150,0.048,4011.86,-1.688
1304.5,3984,7.06,4091.917,-2.378,1853,-25.62,5.69,4076.874,0.438,256,2.045,10200,0.44,4031.874,-2.347
1306.5,3998,10.06,4111.931,-2.65,1865,-25.79,7.34,4096.888,0.57,258,1.993,10250,0.46,4051.888,-1.876
1308.5,4009,8.37,4131.945,-2.639,1872,-25.51,6.18,4116.903,0.431,260,2.028,10300,NA,4071.903,-1.154
1310.5,4022,7.1,4151.959,-4.492,1883,-26,6.09,4136.917,0.524,262,1.879,NA,NA,4091.917,-2.378
1312.5,4035,9.06,4171.973,-4.86,1890,-25.96,5.56,4156.931,0.539,263,1.974,NA,NA,4111.931,-2.65
1314.5,4048,9.78,4191.987,-3.482,1900,-25.48,7.27,4176.945,0.49,265,1.927,NA,NA,4131.945,-2.639
1316.5,4062,9.16,4212.001,0.216,1909,-25.34,7.04,4196.959,0.499,267,2.026,NA,NA,4151.959,-4.492
1318.5,4076,8.45,4232.015,1.404,1920,-25.62,8.28,4216.973,0.564,269,2.106,NA,NA,4171.973,-4.86
1320.5,4089,7.56,4252.029,1.054,1927,-25.2,6.93,4236.987,0.352,271,1.963,NA,NA,4191.987,-3.482
1324.5,4112,9.79,4272.043,0.81,1937,-25.6,7.34,4257.001,0.318,273,1.961,NA,NA,4212.001,0.216
1326.5,4125,10.28,4292.058,0.417,1946,-25.76,5.83,4277.015,0.285,274,1.884,NA,NA,4232.015,1.404
1327.75,4133,6.64,4312.072,0.412,1957,-25.34,7.06,4297.029,0.266,276,2.003,NA,NA,4252.029,1.054
1330.5,4146,7.29,4332.086,0.517,1964,-25.56,6.11,4317.043,0.28,278,2.024,NA,NA,4272.043,0.81
1332.5,4157,8.5,4352.1,1.183,1977,-26.13,6.32,4337.058,0.31,280,1.896,NA,NA,4292.058,0.417
1334.5,4169,6.9,4372.114,1.06,1982,-25.52,5.99,4357.072,0.338,283,1.792,NA,NA,4312.072,0.412
1336.5,4182,7.24,4392.128,0.889,1993,-25.32,6.03,4377.086,0.326,286,1.952,NA,NA,4332.086,0.517
1342.5,4192,4.88,4412.142,1.251,2000,-24.28,7.54,4397.1,0.346,288,1.887,NA,NA,4352.1,1.183
1359.5,4211,8.82,4432.156,1.043,2011,-26.05,5.82,4417.114,0.331,291,1.852,NA,NA,4372.114,1.06
1360.5,4252,6.41,4452.17,0.121,2019,-25.6,8.26,4437.128,0.31,293,1.789,NA,NA,4392.128,0.889
1361.5,4264,6.5,4472.184,0.716,2031,-25.46,6.87,4457.142,0.317,295,1.729,NA,NA,4412.142,1.251
1362.5,4275,7.78,4492.198,0.773,2037,-25.52,5.84,4477.156,0.243,298,1.763,NA,NA,4432.156,1.043
1364.5,4298,6.47,4512.213,2.004,2048,-25.54,6.45,4497.17,0.289,300,1.997,NA,NA,4452.17,0.121
1366.5,4321,6.76,4532.227,1.366,2055,-25.27,9.05,4517.184,0.248,303,2.056,NA,NA,4472.184,0.716
1367.5,4333,8.23,4552.241,1.999,2064,-25.44,6.06,4537.198,0.393,305,2.1,NA,NA,4492.198,0.773
1369.5,4356,7.2,4572.255,1.51,2073,-25.68,5.46,4557.213,0.373,308,2.022,NA,NA,4512.213,2.004
1372.5,4391,8.51,4592.269,1.228,2080,-26.52,5.17,4577.227,0.311,310,2.076,NA,NA,4532.227,1.366
1374.5,4413,7.26,4612.283,1.861,2091,-25.2,7.85,4597.241,0.337,312,2.05,NA,NA,4552.241,1.999
1376.5,4435,8.32,4632.297,3.388,2109,-26.59,6.33,4617.255,0.385,315,2.082,NA,NA,4572.255,1.51
1379.5,4460,7.03,4652.311,2.355,2119,-25.83,9.45,4637.269,0.452,317,2.069,NA,NA,4592.269,1.228
1382.5,4488,10.99,4672.325,2.057,2127,-26.03,8.64,4657.283,0.481,320,2.063,NA,NA,4612.283,1.861
1384.5,4510,8.71,4692.339,2.043,2136,-25.61,5.08,4677.297,0.422,322,2.046,NA,NA,4632.297,3.388
1385.5,4521,9.83,4712.353,1.884,2145,-26.24,5.26,4697.311,0.445,324,2.192,NA,NA,4652.311,2.355
1387.5,4540,9.27,4732.368,2.217,2155,-25.74,6.12,4717.325,0.41,327,2.125,NA,NA,4672.325,2.057
1390.5,4573,9.03,4752.382,2.938,2162,-25.24,7.77,4737.339,0.388,329,2.167,NA,NA,4692.339,2.043
1393.5,4604,10.24,4772.396,2.659,2173,-25.97,5.55,4757.353,0.413,331,2.168,NA,NA,4712.353,1.884
1395.5,4626,14.42,4792.41,1.579,2180,-25.69,5.47,4777.368,0.425,334,2.129,NA,NA,4732.368,2.217
1397.5,4647,11.72,4812.424,1.381,2191,-26.02,6.09,4797.382,0.424,336,2.154,NA,NA,4752.382,2.938
1398.5,4657,9.23,4832.438,1.259,2198,-25.83,6.92,4817.396,0.402,338,2.151,NA,NA,4772.396,2.659
1399.5,4668,11.99,4852.452,1.066,2209,-25.77,6.84,4837.41,0.477,340,2.057,NA,NA,4792.41,1.579
1400.5,4678,11.13,4872.466,1.308,2216,-26.01,8.29,4857.424,0.564,343,2.063,NA,NA,4812.424,1.381
1401.5,4689,10.5,4892.48,1.524,2226,-25.73,9.51,4877.438,0.438,345,2.005,NA,NA,4832.438,1.259
1404.5,4723,9.94,4912.494,1.038,2233,-25.67,6.33,4897.452,0.361,347,2.051,NA,NA,4852.452,1.066
1406.5,4750,11.25,4932.508,1.336,2244,-25.78,5.26,4917.466,0.348,349,1.979,NA,NA,4872.466,1.308
1408.5,4777,10.94,4952.523,1.388,2251,-25.99,5.77,4937.48,0.407,352,1.948,NA,NA,4892.48,1.524
1410.5,4801,11.07,4972.537,1.236,2260,-26.22,5.87,4957.494,0.394,354,1.941,NA,NA,4912.494,1.038
1412.5,4827,8.83,4992.551,1.108,2269,-25.97,5.39,4977.508,0.36,356,1.875,NA,NA,4932.508,1.336
1414.5,4854,8.53,5012.565,0.807,2290,-25.93,8.9,4997.523,0.297,358,1.843,NA,NA,4952.523,1.388
1415.5,4867,9.48,5032.579,0.909,2304,-25.74,6.13,5017.537,0.333,361,1.84,NA,NA,4972.537,1.236
1417.25,4891,9.27,5052.593,0.996,2315,-26.13,5.15,5037.551,0.378,363,1.839,NA,NA,4992.551,1.108
1420.25,4942,8.75,5072.607,1.652,2322,-26.19,4.45,5057.565,0.343,365,1.953,NA,NA,5012.565,0.807
1422.25,4981,10.07,5092.621,1.972,2329,-26.15,4.74,5077.579,0.262,367,1.921,NA,NA,5032.579,0.909
1424.25,5020,7.74,5112.635,1.661,2340,-26.09,4.26,5097.593,0.314,369,1.867,NA,NA,5052.593,0.996
1426.75,5069,9.59,5132.649,1.811,2347,-25.99,5.24,5117.607,0.3,371,1.845,NA,NA,5072.607,1.652
1427.25,5078,9.32,5152.663,1.633,2357,-26.02,4.41,5137.621,0.32,374,1.868,NA,NA,5092.621,1.972
1429.25,5117,10.81,5172.677,1.314,2364,-26.04,4.87,5157.635,0.399,376,1.899,NA,NA,5112.635,1.661
1431.25,5156,9.11,5192.692,0.71,2375,-25.88,4.68,5177.649,0.388,378,1.85,NA,NA,5132.649,1.811
1432.25,5176,9.92,5212.706,0.65,2382,-25.93,6.29,5197.663,0.353,380,1.925,NA,NA,5152.663,1.633
1433.25,5196,8.43,5232.72,1.392,2393,-25,6.94,5217.677,0.35,382,1.967,NA,NA,5172.677,1.314
1434.25,5216,10.35,5252.734,1.409,2400,-25.56,6.56,5237.692,0.35,384,1.918,NA,NA,5192.692,0.71
1436.25,5256,10.04,5272.748,1.609,2410,-25.52,4.74,5257.706,0.351,386,1.915,NA,NA,5212.706,0.65
1437.25,5277,7.86,5292.762,0.893,2418,-26.07,5.05,5277.72,0.357,388,1.848,NA,NA,5232.72,1.392
1438.25,5297,9.46,5312.776,1.212,2428,-25.96,5.4,5297.734,0.343,390,1.941,NA,NA,5252.734,1.409
1438.75,5307,9.88,5332.79,1.391,2435,-25.71,7.63,5317.748,0.338,392,1.977,NA,NA,5272.748,1.609
1439.25,5317,11.31,5352.804,0.037,2446,-25.77,5.79,5337.762,0.39,394,2.106,NA,NA,5292.762,0.893
1440.25,5337,7.9,5372.818,0.088,2453,-25.64,5.81,5357.776,0.356,396,2.121,NA,NA,5312.776,1.212
1441.25,5358,7.65,5392.832,1.495,2464,-25.52,6.11,5377.79,0.3,398,2.091,NA,NA,5332.79,1.391
1442.25,5378,8.6,5412.847,2.493,2471,-26.22,5.39,5397.804,0.358,400,2.046,NA,NA,5352.804,0.037
1442.75,5388,9.45,5432.861,3.572,2482,-25.93,5.33,5417.818,0.416,403,2.067,NA,NA,5372.818,0.088
1444.25,5418,14.55,5452.875,2.925,2489,-25.45,5.21,5437.832,0.317,405,2.106,NA,NA,5392.832,1.495
1445.75,5449,10.74,5472.889,0.395,2499,-25.81,4.55,5457.847,0.4,406,2.048,NA,NA,5412.847,2.493
1446.25,5459,11.6,5492.903,0.438,2506,-25,6.41,5477.861,0.402,408,2.016,NA,NA,5432.861,3.572
1447.25,5480,9.79,5512.917,2.98,2517,-25.71,5.65,5497.875,0.399,410,2.077,NA,NA,5452.875,2.925
1448.25,5501,15.7,5532.931,3.715,2524,-25.74,5.26,5517.889,0.537,412,2.022,NA,NA,5472.889,0.395
1449.25,5522,14.79,5552.945,4.994,2535,-25.22,6.31,5537.903,0.46,414,1.993,NA,NA,5492.903,0.438
1450.25,5544,14.61,5572.959,4.828,2542,-25.8,5.66,5557.917,0.48,416,2.14,NA,NA,5512.917,2.98
1451.25,5565,12.57,5592.973,4.21,2553,-25.43,5.44,5577.931,0.398,418,2.109,NA,NA,5532.931,3.715
1452.25,5586,10.45,5612.987,4.149,2571,-25.65,4.71,5597.945,0.327,420,1.986,NA,NA,5552.945,4.994
1453.75,5618,15.3,5633.002,4.267,2578,-25.37,5.69,5617.959,0.333,422,2.012,NA,NA,5572.959,4.828
1454.75,5640,12.56,5653.016,3.853,2589,-25.44,5.23,5637.973,0.359,424,1.993,NA,NA,5592.973,4.21
1455.75,5661,15.41,5673.03,3.682,2596,-25.47,5.73,5657.987,0.382,426,2.054,NA,NA,5612.987,4.149
1456.75,5682,17.9,5693.044,5.118,2607,-25.45,5.54,5678.002,0.337,428,2.129,NA,NA,5633.002,4.267
1457.25,5693,15.15,5713.058,4.166,2614,-25.78,5.45,5698.016,0.343,430,2.127,NA,NA,5653.016,3.853
1458.25,5714,12.46,5733.072,3.203,2624,-25.5,4.38,5718.03,0.471,432,2.053,NA,NA,5673.03,3.682
1459.25,5735,13.65,5753.086,4.602,2632,-25.56,5.7,5738.044,0.474,433,1.969,NA,NA,5693.044,5.118
1460.25,5757,18.25,5773.1,4.949,2642,-25.92,5.53,5758.058,0.401,435,2.054,NA,NA,5713.058,4.166
1460.75,5767,15.16,5793.114,1.905,2649,-25.78,6.02,5778.072,0.407,437,2.053,NA,NA,5733.072,3.203
1461.75,5787,10.83,5813.128,1.855,2660,-26.34,5.34,5798.086,0.369,439,1.997,NA,NA,5753.086,4.602
1462.25,5797,14.35,5833.142,1.815,2667,-26.67,5.55,5818.1,0.364,441,1.943,NA,NA,5773.1,4.949
1464.75,5813,13.25,5853.157,2.323,2678,-26.28,5.53,5838.114,0.374,443,1.997,NA,NA,5793.114,1.905
1465.25,5824,13.79,5873.171,3.448,2685,-25.66,6.09,5858.128,0.33,445,1.921,NA,NA,5813.128,1.855
1466.25,5844,8.9,5893.185,3.297,2696,-25.71,5.62,5878.142,0.489,446,1.884,NA,NA,5833.142,1.815
1467.25,5864,14.88,5913.199,4.089,2703,-25.93,5.99,5898.157,0.436,448,1.995,NA,NA,5853.157,2.323
1468.25,5884,12.48,5933.213,4.245,2713,-25.84,5.8,5918.171,0.404,450,2.042,NA,NA,5873.171,3.448
1469.25,5904,14.99,5953.227,3.179,2720,-25.59,5.78,5938.185,0.472,452,1.954,NA,NA,5893.185,3.297
1470.25,5924,11.14,5973.241,2.358,2731,-25.77,6.38,5958.199,0.434,454,1.769,NA,NA,5913.199,4.089
1471.25,5945,13.3,5993.255,3.363,2738,-26.47,6.04,5978.213,0.334,455,1.845,NA,NA,5933.213,4.245
1472.25,5965,12.98,6013.269,2.63,2749,-25.82,6.39,5998.227,0.362,457,1.834,NA,NA,5953.227,3.179
1473.25,5985,13.87,6033.283,2.795,2756,-26.28,5.91,6018.241,0.432,459,1.916,NA,NA,5973.241,2.358
1474.25,6005,13.14,6053.297,3.906,2757,-25.72,7.22,6038.255,0.419,461,1.926,NA,NA,5993.255,3.363
1475.25,6025,12.31,6073.312,3.656,2764,-25.62,7.58,6058.269,0.458,463,2.021,NA,NA,6013.269,2.63
1476.25,6045,15.31,6093.326,3.497,2771,-25.94,6.76,6078.283,0.445,464,1.962,NA,NA,6033.283,2.795
1477.25,6069,13.69,6113.34,4.328,2778,-25.72,7.65,6098.297,0.433,466,1.929,NA,NA,6053.297,3.906
1478.25,6093,17.32,6133.354,4.468,2785,-25.6,7.36,6118.312,0.447,468,1.89,NA,NA,6073.312,3.656
1479.25,6118,14.6,6153.368,5.209,2792,-25.98,7.68,6138.326,0.498,470,1.896,NA,NA,6093.326,3.497
1480.25,6142,18.05,6173.382,4.128,2799,-25.76,8.37,6158.34,0.471,471,1.807,NA,NA,6113.34,4.328
1481.25,6166,12.7,6193.396,3.504,2806,-26.08,7.45,6178.354,0.441,473,1.808,NA,NA,6133.354,4.468
1482.25,6191,17.02,6213.41,3.761,2813,-26.43,7.22,6198.368,0.417,475,1.84,NA,NA,6153.368,5.209
1483.25,6215,12.91,6233.424,2.574,2820,-25.56,8.3,6218.382,0.334,481,2.141,NA,NA,6173.382,4.128
1484.25,6239,15.4,6253.438,3.483,2826,-26.16,7.13,6238.396,0.308,483,2.198,NA,NA,6193.396,3.504
1485.25,6264,14.21,6273.452,3.666,2833,-25.76,7.36,6258.41,0.431,484,2.207,NA,NA,6213.41,3.761
1486.25,6288,14.38,6293.467,2.424,2840,-26.07,7.16,6278.424,0.503,486,2.226,NA,NA,6233.424,2.574
1487.25,6312,14.06,6313.481,2.026,2846,-25.79,8.51,6298.438,0.46,488,2.169,NA,NA,6253.438,3.483
1488.25,6336,10.38,6333.495,2.364,2853,-25.92,7.76,6318.452,0.413,490,2.182,NA,NA,6273.452,3.666
1488.75,6349,7.49,6353.509,1.128,2856,-25.62,7.77,6338.467,0.524,491,2.153,NA,NA,6293.467,2.424
1489.25,6361,13.61,6373.523,-0.409,2863,-25.78,8.34,6358.481,0.47,493,2.028,NA,NA,6313.481,2.026
1490.25,6385,8.74,6393.537,-0.595,2873,-26.68,7.36,6378.495,0.299,495,2.081,NA,NA,6333.495,2.364
1490.75,6399,11.51,6413.551,0.919,2879,-26.59,7.63,6398.509,0.232,497,2.151,NA,NA,6353.509,1.128
1493.75,6503,11.75,6433.565,1.446,2889,-26.52,6.95,6418.523,0.403,498,2.08,NA,NA,6373.523,-0.409
1494.25,6518,11.34,6453.579,1.765,2895,-26.25,8.93,6438.537,0.331,500,2.198,NA,NA,6393.537,-0.595
1494.75,6533,12.02,6473.593,2.081,2905,-26.5,8.02,6458.551,0.27,502,2.304,NA,NA,6413.551,0.919
1496.25,6578,17.36,6493.607,2.51,2911,-26.54,9.2,6478.565,0.313,503,2.069,NA,NA,6433.565,1.446
1498.75,6653,12.48,6513.622,2.914,2920,-27.23,8.31,6498.579,0.355,505,2.131,NA,NA,6453.579,1.765
1499.75,6682,13.81,6533.636,2.853,2926,-26.31,9.06,6518.593,0.397,507,2.203,NA,NA,6473.593,2.081
1500.25,6697,11.59,6553.65,3.355,2935,-25.99,8.97,6538.607,0.415,509,2.175,NA,NA,6493.607,2.51
1501.25,6727,15.31,6573.664,5.179,2941,-25.56,10.29,6558.622,0.368,510,2.159,NA,NA,6513.622,2.914
1502.25,6757,10.93,6593.678,6.923,2950,-25.46,11.22,6578.636,0.376,512,2.25,NA,NA,6533.636,2.853
1503.25,6787,12.23,6613.692,7.109,2953,-25.83,9.83,6598.65,0.407,514,2.247,NA,NA,6553.65,3.355
1503.75,6802,12.02,6633.706,6.696,2957,-25.37,11.36,6618.664,0.41,516,2.24,NA,NA,6573.664,5.179
1504.25,6817,12.77,6653.72,5.883,2960,-25.49,10.32,6638.678,0.393,517,2.122,NA,NA,6593.678,6.923
1505.25,6879,13.03,6673.734,5.586,2964,-25.13,10.22,6658.692,0.358,519,2.178,NA,NA,6613.692,7.109
1505.75,6914,13.87,6693.748,5.718,2967,-25.25,10.44,6678.706,0.337,521,2.211,NA,NA,6633.706,6.696
1506.25,6949,11.43,6713.762,4.808,2971,-25.28,11.09,6698.72,0.318,523,2.07,NA,NA,6653.72,5.883
1507.25,7019,13.32,6733.777,5.254,2974,-25.73,10.48,6718.734,0.288,524,2.042,NA,NA,6673.734,5.586
1508.25,7089,6.92,6753.791,5.399,2978,-26,9.18,6738.748,0.281,526,2.14,NA,NA,6693.748,5.718
1511.25,7264,16.16,6773.805,4.909,2980,-25.47,9.14,6758.762,0.365,528,2.277,NA,NA,6713.762,4.808
1512.75,7370,10.97,6793.819,4.991,2984,-25.94,7.95,6778.777,0.421,530,2.237,NA,NA,6733.777,5.254
1516.25,7601,13.76,6813.833,4.812,2987,-26.07,7.51,6798.791,0.369,531,2.249,NA,NA,6753.791,5.399
1518.25,7741,12.23,6833.847,4.801,2991,-25.7,5.5,6818.805,0.313,533,2.314,NA,NA,6773.805,4.909
1521.25,7861,15.32,6853.861,4.817,3026,-26.2,6.49,6838.819,0.269,535,2.186,NA,NA,6793.819,4.991
1523.25,7894,10.65,6873.875,4.817,3034,-26.3,5.75,6858.833,0.244,537,2.177,NA,NA,6813.833,4.812
1524.75,7919,7.39,6893.889,4.739,3043,-25.42,6.76,6878.847,0.295,538,2.21,NA,NA,6833.847,4.801
1526.25,7943,8.26,6913.903,5.019,3055,-24.56,5.33,6898.861,0.351,540,2.189,NA,NA,6853.861,4.817
1527.25,7960,7.5,6933.917,5.336,3075,-24.9,6.39,6918.875,0.383,542,2.127,NA,NA,6873.875,4.817
1529.25,7993,8.67,6953.932,5.121,3094,-25.02,6.15,6938.889,0.409,544,2.147,NA,NA,6893.889,4.739
1531.25,8026,7.11,6973.946,5.06,3113,-25.93,5.82,6958.903,0.393,546,2.313,NA,NA,6913.903,5.019
1532.25,8043,8.61,6993.96,5.377,3132,-26.36,5.73,6978.917,0.347,547,2.241,NA,NA,6933.917,5.336
1533.25,8059,8.68,7013.974,5.618,3150,-26.02,6.45,6998.932,0.312,549,2.201,NA,NA,6953.932,5.121
1534.25,8066,10.72,7033.988,5.367,3168,-25.51,5.5,7018.946,0.31,551,2.265,NA,NA,6973.946,5.06
1535.75,8070,8.4,7054.002,4.412,3187,-25.39,6.18,7038.96,0.309,553,2.299,NA,NA,6993.96,5.377
1537.25,8074,8.44,7074.016,3.226,3205,-26.02,5.55,7058.974,0.276,555,2.261,NA,NA,7013.974,5.618
1538.25,8077,7.96,7094.03,2.128,3223,-24.15,6.69,7078.988,0.227,557,2.298,NA,NA,7033.988,5.367
1539.25,8079,7.42,7114.044,1.557,3242,-25.63,5.58,7099.002,0.187,559,2.336,NA,NA,7054.002,4.412
1540.25,8082,8.1,7134.058,1.87,3260,-24.27,6.32,7119.016,0.197,560,2.347,NA,NA,7074.016,3.226
1541.25,8084,7.68,7154.072,2.248,3279,-26.09,4.87,7139.03,0.212,562,2.235,NA,NA,7094.03,2.128
1543.25,8090,9.33,7174.086,2.565,3297,-25.58,5.71,7159.044,0.228,564,2.303,NA,NA,7114.044,1.557
1544.25,8092,9.01,7194.101,3.014,3316,-25.78,5.33,7179.058,0.244,566,2.26,NA,NA,7134.058,1.87
1545.25,8095,9.31,7214.115,3.506,3335,-25.74,6.07,7199.072,0.26,568,2.237,NA,NA,7154.072,2.248
1546.25,8097,9.21,7234.129,4.183,3353,-24.84,5.71,7219.086,0.299,570,2.153,NA,NA,7174.086,2.565
1547.25,8100,8.8,7254.143,4.802,3372,-25.95,6.35,7239.101,0.378,572,2.2,NA,NA,7194.101,3.014
1548.25,8103,5.37,7274.157,5.334,3391,-24.64,6.08,7259.115,0.458,574,2.212,NA,NA,7214.115,3.506
1549.25,8107,8.94,7294.171,5.319,3410,-25.42,7.18,7279.129,0.491,576,2.239,NA,NA,7234.129,4.183
1550.25,8110,10.38,7314.185,4.869,3428,-25.09,5.8,7299.143,0.442,578,2.333,NA,NA,7254.143,4.802
1551.25,8114,12.64,7334.199,4.406,3447,-25.69,7.06,7319.157,0.392,580,2.37,NA,NA,7274.157,5.334
1552.25,8118,11,7354.213,3.931,3465,-25.47,6.43,7339.171,0.352,582,2.345,NA,NA,7294.171,5.319
1553.25,8121,9.69,7374.227,3.461,3484,-25.88,7.08,7359.185,0.343,584,2.319,NA,NA,7314.185,4.869
1554.25,8125,11.5,7394.241,3.334,3502,-26.09,6.4,7379.199,0.337,586,2.345,NA,NA,7334.199,4.406
1556.25,8132,7.73,7414.256,3.459,3513,-26.73,7.1,7399.213,0.333,588,2.3,NA,NA,7354.213,3.931
1558.25,8139,9.29,7434.27,3.633,3552,-25.98,6.77,7419.227,0.358,590,2.261,NA,NA,7374.227,3.461
1559.75,8145,8.57,7454.284,3.814,3572,-25.43,5.95,7439.241,0.392,592,2.278,NA,NA,7394.241,3.334
1561.75,8152,12.18,7474.298,3.971,3586,-25.21,7.21,7459.256,0.426,594,2.308,NA,NA,7414.256,3.459
1563.25,8158,9.4,7494.312,4.133,3620,-25.22,7.79,7479.27,0.451,596,2.208,NA,NA,7434.27,3.633
1565.25,8165,7.04,7514.326,4.368,3633,-24.54,6.49,7499.284,0.457,598,2.23,NA,NA,7454.284,3.814
1567.25,8173,8.57,7534.34,4.508,3646,-24.5,6.88,7519.298,0.463,600,2.286,NA,NA,7474.298,3.971
1569.25,8181,8.91,7554.354,4.643,3658,-24.67,6.22,7539.312,0.468,602,2.197,NA,NA,7494.312,4.133
1570.25,8184,10.28,7574.368,4.764,3671,-25.37,6.11,7559.326,0.446,604,2.134,NA,NA,7514.326,4.368
1571.25,8188,10.02,7594.382,4.867,3684,-24.89,6.38,7579.34,0.409,607,2.084,NA,NA,7534.34,4.508
1572.75,8194,8.82,7614.396,5.129,3696,-25.68,6.69,7599.354,0.373,609,2.169,NA,NA,7554.354,4.643
1574.25,8200,8.38,7634.411,5.273,3709,-25.96,5.89,7619.368,0.339,611,2.142,NA,NA,7574.368,4.764
1575.25,8204,9.74,7654.425,5.383,3721,-26.03,6.22,7639.382,0.334,613,2.212,NA,NA,7594.382,4.867
1577.25,8211,8.88,7674.439,5.42,3733,-25.41,6.16,7659.396,0.339,615,2.216,NA,NA,7614.396,5.129
1579.25,8218,11.63,7694.453,5.326,3745,-26.46,5.57,7679.411,0.344,618,2.221,NA,NA,7634.411,5.273
1581.25,8226,11.33,7714.467,5.228,3757,-24.82,6.47,7699.425,0.349,620,2.233,NA,NA,7654.425,5.383
1583.25,8233,8.38,7734.481,5.125,3769,-24.31,6.43,7719.439,0.354,622,2.219,NA,NA,7674.439,5.42
1585.25,8240,8.95,7754.495,5.028,3781,-25.42,6.2,7739.453,0.358,624,2.201,NA,NA,7694.453,5.326
1586.25,8244,9.78,7774.509,5.086,3793,-25.1,6.9,7759.467,0.363,627,2.167,NA,NA,7714.467,5.228
1588.25,8251,8.76,7794.523,5.194,3805,-25.17,6.34,7779.481,0.368,629,2.14,NA,NA,7734.481,5.125
1590.25,8261,8.06,7814.537,5.302,3817,-26.11,6.18,7799.495,0.371,631,2.195,NA,NA,7754.495,5.028
1591.25,8268,11.43,7834.551,5.378,3829,-25.7,6.25,7819.509,0.373,634,2.232,NA,NA,7774.509,5.086
1593.75,8285,8.36,7854.566,4.948,3841,-25.66,6.37,7839.523,0.376,636,2.23,NA,NA,7794.523,5.194
1596.25,8303,9.59,7874.58,4.203,3853,-25.96,6.1,7859.537,0.378,638,2.201,NA,NA,7814.537,5.302
1598.25,8317,6.45,7894.594,3.446,3866,-25.26,6.82,7879.551,0.384,641,2.181,NA,NA,7834.551,5.378
1601.25,8332,12.66,7914.608,3.865,3878,-25.96,6.47,7899.566,0.407,643,2.21,NA,NA,7854.566,4.948
1604.25,8349,8.21,7934.622,2.843,3891,-24.36,7.27,7919.58,0.432,646,2.225,NA,NA,7874.58,4.203
1606.25,8370,9.34,7954.636,-0.905,3903,-26,6.08,7939.594,0.379,775,2.182,NA,NA,7894.594,3.446
1608.25,8404,9.22,7974.65,0.777,3916,-25,6.31,7959.608,0.338,778,2.135,NA,NA,7914.608,3.865
1610.25,8438,8.18,7994.664,0.497,3929,-25.47,6.71,7979.622,0.246,781,2.096,NA,NA,7934.622,2.843
1611.25,8455,13.08,8014.678,0.871,3942,-26.2,6.49,7999.636,0.197,785,2.138,NA,NA,7954.636,-0.905
1612.25,8472,10.36,8034.692,0.251,3956,-25.73,6.72,8019.65,0.146,788,2.103,NA,NA,7974.65,0.777
1612.75,8481,10,8054.706,-0.262,3969,-25.47,6.1,8039.664,0.153,792,2.018,NA,NA,7994.664,0.497
1614.25,8506,10.94,8074.721,-0.281,3983,-25.75,6.41,8059.678,0.138,795,2.161,NA,NA,8014.678,0.871
1615.25,8523,8.81,8094.735,-1.391,3997,-26.2,6.27,8079.692,0.168,798,2.207,NA,NA,8034.692,0.251
1616.25,8541,8.85,8114.749,-4.007,4011,-26.28,6.4,8099.706,0.137,802,2.122,NA,NA,8054.706,-0.262
1618.25,8575,7.16,8134.763,-1.126,4025,-25.62,6.99,8119.721,0.156,805,2.134,NA,NA,8074.721,-0.281
1619.75,8590,9.96,8154.777,-2.476,4039,-25.97,6.72,8139.735,0.207,809,2.144,NA,NA,8094.735,-1.391
1621.25,8618,8.75,8174.791,-4.89,4053,-25.82,6.37,8159.749,0.28,812,2.093,NA,NA,8114.749,-4.007
1623.25,8660,12.37,8194.805,-3.337,4068,-25.48,6.8,8179.763,0.222,816,2.053,NA,NA,8134.763,-1.126
1625.25,8702,9.21,8214.819,0.505,4082,-25.67,7.26,8199.777,0.364,819,2.041,NA,NA,8154.777,-2.476
1626.25,8723,8.72,8234.833,1.925,4096,-25.65,7.11,8219.791,0.712,823,2.166,NA,NA,8174.791,-4.89
1628.25,8760,8.05,8254.847,1.391,4110,-25.44,6.79,8239.805,0.537,827,2.135,NA,NA,8194.805,-3.337
1629.25,8781,9.58,8274.861,1.64,4124,-25.55,6.95,8259.819,0.291,830,2.057,NA,NA,8214.819,0.505
1630.25,8802,9.81,8294.876,0.274,4138,-25.45,7.25,8279.833,0.3,834,2.108,NA,NA,8234.833,1.925
1631.25,8823,13.19,8314.89,0.667,4151,-25.81,7.23,8299.847,0.266,837,2.061,NA,NA,8254.847,1.391
1632.25,8844,14.98,8334.904,-1.652,4164,-25.75,7.42,8319.861,0.252,841,2.192,NA,NA,8274.861,1.64
1633.25,8857,10.79,8354.918,0.312,4176,-25.8,7.24,8339.876,0.278,845,2.152,NA,NA,8294.876,0.274
