depth (cm),age (bp),age14C (bp),age_error (years),cal_age_error (2s),age_type (),note ()
0.1,-41,NA,NA,2,2,2
6.5,NA,2110,300,NA,1,1
15.5,NA,3960,300,NA,1,1
25.5,NA,4990,300,NA,1,1
35.5,NA,6140,300,NA,1,1
45.5,NA,7070,300,NA,1,1
55.5,NA,8460,300,NA,1,1
65.5,NA,8710,300,NA,1,1
