year (AD),age (BP),clay (layers/200yrs)
1600,350,-0.82
1550,400,-1.92
1500,450,-2
1450,500,1.14
1400,550,-0.67
1350,600,2.56
1300,650,1.53
1250,700,-0.67
1200,750,0.05
1150,800,-0.15
1100,850,0.76
1050,900,0.62
1000,950,0.43
950,1000,-2.81
900,1050,-4.1
850,1100,-5.76
800,1150,-2.48
750,1200,-0.48
700,1250,0.14
650,1300,-2.14
600,1350,-5.24
550,1400,-6.05
500,1450,-6.33
450,1500,-5.33
400,1550,-1.43
350,1600,4.48
300,1650,8.19
250,1700,13.05
200,1750,19.1
150,1800,17.95
100,1850,13.95
50,1900,8.9
0,1950,-2.1
-50,2000,-7.95
-100,2050,-8.86
-150,2100,-9.57
-200,2150,-6.24
-250,2200,-4.62
-300,2250,-4.76
-350,2300,2.48
-400,2350,-0.14
-450,2400,0.05
-500,2450,0.05
-550,2500,-2.67
-600,2550,-0.71
-650,2600,-0.71
-700,2650,4.1
-750,2700,2.1
-800,2750,2.05
-850,2800,-0.14
-900,2850,-3.95
-950,2900,-4
-1000,2950,-5.05
-1050,3000,-1.19
-1100,3050,-0.38
-1150,3100,-2.38
-1200,3150,0.71
-1250,3200,0.05
-1300,3250,2.19
-1350,3300,4.33
-1400,3350,2.38
-1450,3400,3.29
-1500,3450,2.19
-1550,3500,3.14
-1600,3550,1.24
-1650,3600,-0.67
-1700,3650,-2.71
-1750,3700,-2.76
-1800,3750,-0.86
-1850,3800,-0.81
-1900,3850,-0.57
-1950,3900,-1.43
-2000,3950,-1.29
-2050,4000,-3.14
-2100,4050,-2.05
-2150,4100,-1.1
-2200,4150,-0.14
-2250,4200,2.62
-2300,4250,2.48
-2350,4300,1.57
-2400,4350,-0.38
-2450,4400,-0.38
-2500,4450,0.62
-2550,4500,-0.38
-2600,4550,1.43
-2650,4600,2.38
-2700,4650,0.29
-2750,4700,2.14
-2800,4750,0.33
-2850,4800,-2.48
-2900,4850,-1.19
-2950,4900,0.14
-3000,4950,-0.57
-3050,5000,-0.14
-3100,5050,2.24
-3150,5100,0.71
-3200,5150,3.29
-3250,5200,5.71
-3300,5250,2.19
-3350,5300,2.52
-3400,5350,-0.33
-3450,5400,-3.19
-3500,5450,-1.95
-3550,5500,-3.71
-3600,5550,-3.52
-3650,5600,-3.24
-3700,5650,-4.05
-3750,5700,-2.81
-3800,5750,-1.48
-3850,5800,-0.24
-3900,5850,0.95
-3950,5900,1.95
-4000,5950,0.86
-4050,6000,-0.19
-4100,6050,0.67
-4150,6100,0.57
-4200,6150,0.48
-4250,6200,1.33
-4300,6250,1.19
-4350,6300,-0.86
-4400,6350,0.1
-4450,6400,1.1
-4500,6450,0.19
-4550,6500,0.19
-4600,6550,0.24
-4650,6600,-0.67
-4700,6650,-0.52
-4750,6700,-0.38
-4800,6750,0.76
-4850,6800,-0.14
-4900,6850,0.81
-4950,6900,0.86
-5000,6950,0
-5050,7000,1.14
-5100,7050,-0.71
-5150,7100,-0.57
-5200,7150,-1.48
-5250,7200,-1.43
-5300,7250,-0.33
-5350,7300,0.76
-5400,7350,1.76
-5450,7400,0.81
-5500,7450,-0.14
-5550,7500,-1.14
-5600,7550,-1.05
-5650,7600,-1.05
-5700,7650,-1.05
-5750,7700,-0.05
-5800,7750,-1.1
-5850,7800,-0.11
-5900,7850,0.94
-5950,7900,1.06
-6000,7950,1.13
-6050,8000,1.13
