year (AD),age (BP),age (BP),temperature (degC),Mg/Ca (mmol/mol),ageUncertainty (yr)
1485,465,745.478,26.5,4.108,104.12
1399,551,892.176,26.5,4.109,121.943
1239,711,1085.923,27,4.301,151.82
1153,797,1190.338,26.7,4.22,143.403
1005,945,1369.674,26.8,4.244,71.255
913,1037,1471.011,26.9,4.29,122.213
763,1187,1635.47,26.5,4.145,143.854
682,1268,1723.986,26.5,4.131,135.744
567,1383,1850.304,26.7,4.204,89.996
422,1528,2000.444,26.9,4.259,156.075
277,1673,2150.857,26.9,4.273,184.761
132,1818,2301.34,27.4,4.487,193.883
-13,1963,2451.881,27.2,4.383,186.311
-158,2108,2602.496,26.1,3.966,159.54
-307,2257,2757.436,26.8,4.237,117.562
-501,2451,2950.21,26.4,4.085,182.839
-694,2644,3143.234,26.7,4.218,212.445
-887,2837,3336.358,26.6,4.17,221.584
-1080,3030,3529.569,26.9,4.279,213.039
-1273,3223,3722.895,27,4.334,184.502
-1496,3446,3950.023,26.4,4.081,164.098
-1837,3787,4311.209,26.1,3.966,219.892
-2177,4127,4672.574,26.2,4.031,206.754
-2518,4468,5034.241,26.3,4.066,97.428
-2685,4635,5177.905,26.8,4.24,151.578
-2851,4801,5321.771,26.3,4.071,170.052
-3018,4968,5465.697,27,4.313,165.298
-3185,5135,5609.689,26.4,4.108,134.666
-3371,5321,5778.242,26,3.959,110.501
-3637,5587,6044.905,26.5,4.109,191.379
-3850,5800,6258.366,26.3,4.043,209.173
-4169,6119,6578.692,25.9,3.927,184.275
-4435,6385,6845.963,26.9,4.261,82.721
-4918,6868,7672.292,27.1,4.362,223.144
-5159,7109,7810.184,27.3,4.431,208.764
-5400,7350,7948.117,27.3,4.437,183.342
-5642,7592,8086.117,26.4,4.076,141.165
-5888,7838,8223.738,27.7,4.615,76.54
-6176,8126,8352.172,27.1,4.372,106.129
-6482,8432,8504.888,27.1,4.361,111.771
-6770,8720,8761.019,26.8,4.236,200.986
-6959,8909,9017.352,26.7,4.197,238.415
-7151,9101,9273.781,27,4.309,249.2
-7344,9294,9530.294,26.2,4.029,237.183
-7734,9684,10043.752,27.2,4.414,152.804
-7855,9805,10146.23,27.7,4.591,179.91
-8006,9956,10274.364,27.7,4.579,200.664
-8107,10057,10402.519,26.8,4.222,210.745
-8191,10141,10530.689,26.7,4.184,211.658
-8276,10226,10658.873,26.5,4.111,203.486
-8361,10311,10787.074,26.7,4.219,184.963
-8446,10396,10915.3,26.2,4.011,152.17
-8587,10537,11114.364,27.1,4.363,135.113
-8660,10610,11211.695,26.4,4.103,144.568
-8781,10731,11374.642,27.3,4.45,127.989
-8947,10897,11478.802,26.7,4.201,121.005
-9041,10991,11509.84,27,4.327,128.427
-9135,11085,11541,25.8,3.867,134.315
-9252,11202,11580.088,25.8,3.877,139.914
-9370,11320,11619.356,27.3,4.444,144.011
-9441,11391,11672.666,27.8,4.638,150.109
-9474,11424,11726.168,25.9,3.903,162.159
-9516,11466,11793.049,26.2,4.022,174.982
-9558,11508,11859.931,25.2,3.666,184.712
-9600,11550,11926.814,25.8,3.875,191.57
-9663,11613,11993.697,24.3,3.393,195.753
-9729,11679,12060.581,24.6,3.477,197.375
-9795,11745,12127.466,24,3.305,196.463
-9851,11801,12194.35,25,3.615,192.958
-9891,11841,12261.236,23.7,3.219,186.697
-9931,11881,12328.121,23.6,3.181,177.382
-9971,11921,12395.008,24.6,3.49,164.502
-10011,11961,12461.895,24,3.306,147.169
-10051,12001,12528.785,24.3,3.376,123.79
-10099,12049,12576.409,25,3.608,109.591
-10131,12081,12592.633,23.4,3.121,109.718
-10171,12121,12612.919,24.8,3.537,108.921
-10211,12161,12633.21,24.1,3.317,106.79
-10251,12201,12653.505,24.1,3.339,103.145
-10291,12241,12673.803,24.7,3.502,97.77
-10331,12281,12694.106,24.4,3.409,90.355
-10411,12361,12742.857,23,3.002,87.517
-10451,12401,12779.403,23,3.002,108.597
-10491,12441,12815.952,23.5,3.139,125.016
-10531,12481,12852.502,22.5,2.868,138.282
-10583,12533,12900.018,24.1,3.327,152.071
-10611,12561,12925.605,23.9,3.252,158.209
-10650,12600,12962.157,23.5,3.145,165.628
-10690,12640,12998.71,22.8,2.961,171.645
-10730,12680,13035.264,23.3,3.099,176.397
-10770,12720,13071.818,23.5,3.141,179.976
-10810,12760,13108.372,23.9,3.266,182.445
-10850,12800,13144.927,24.1,3.331,183.843
-10898,12848,13181.483,26.4,4.077,184.188
-10950,12900,13218.04,26,3.95,183.476
-11003,12953,13254.598,27.4,4.46,181.686
-11113,13063,13367.007,27.2,4.406,191.012
-11170,13120,13482.792,26,3.935,214.006
-11226,13176,13598.717,28.4,4.887,231.087
-11283,13233,13714.713,26,3.955,243.522
-11340,13290,13830.759,27.6,4.572,252.034
-11397,13347,13946.849,27.1,4.343,257.053
-11762,13712,14179.163,27.6,4.576,257.497
-11836,13786,14295.403,27.4,4.47,253.114
-11910,13860,14411.742,27.3,4.419,245.768
-12042,13992,14648.199,24.9,3.559,247.317
-12085,14035,14767.438,27.5,4.528,258.674
-12127,14077,14886.647,25.9,3.925,270.645
