depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0,0,18.671,-12.386,3.982,838
10,120,18.643,-12.686,3.883,847.714
25,359.7,18.371,-12.886,3.593,899.714
50,759.1,18.371,-12.886,3.593,899.714
75,1158.6,18.571,-12.343,3.988,877.857
100,1558.1,19.043,-12.314,4.293,815
125,1957.5,18.886,-12.486,4.111,839.429
150,2357,18.9,-11.229,4.63,854.857
175,2756.5,19.114,-12.243,4.348,836.857
200,3117.7,19.486,-11.671,4.792,804.571
225,3453.4,19.657,-11.443,4.975,801.429
275,4124.9,19.914,-11.186,5.229,789.571
300,4460.7,19.414,-11.671,4.733,805
325,4796.4,19.686,-11.429,4.996,801.429
350,5132.1,19.914,-11.257,5.204,796.714
375,5427.7,19.986,-11.557,5.113,787.429
400,5683.2,20.014,-11.529,5.145,786.571
425,5938.7,19.671,-11.457,4.983,801.571
450,6194.1,19.729,-12.257,4.721,781
475,6449.6,19.986,-12,4.975,769.143
500,6705.1,19.957,-12.6,4.774,753.286
525,6960.6,19.957,-12.6,4.774,753.286
550,7216,19.957,-12.6,4.774,753.286
575,7471.5,19.957,-12.6,4.774,753.286
600,7727,19.986,-12,4.975,769.143
625,7982.4,19.757,-12.271,4.743,772.714
650,8237.9,19.543,-13.071,4.342,759.429
675,8493.4,19.443,-13.714,4.054,744.857
700,8930,18.757,-13.643,3.673,779.571
725,9487.4,18.557,-13.314,3.642,799
750,10044.9,19,-16.071,2.852,708.429
775,10602.3,18.814,-13.6,3.735,778.714
810,11382.6,NA,NA,NA,NA
