depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
10,34,14.143,-15,-0.093,1102.429
20,69,16.7,-9.8,3.812,1141.286
30,103,17.629,-10.157,4.293,1090.429
40,325,16.586,-10.457,3.527,1244.571
50,546,18.257,-10.186,4.627,1012.286
60,768,18.114,-10.243,4.548,1053.714
70,989,17.657,-10.043,4.339,1089.143
80,1211,18.143,-10.143,4.631,1078.286
100,1701,18.857,-9.757,5.188,1032.857
120,2191,19.986,-11.743,5.046,809.286
140,2682,19.829,-11.386,5.107,801.286
160,3172,19.5,-9.557,5.686,935.571
180,3351,18.943,-9.771,5.25,995.714
200,3397,19.5,-10.043,5.483,878
220,3443,19.286,-9.2,5.714,1005.857
240,3489,17.943,-11.057,4.151,1072.571
260,3596,19.343,-9.814,5.476,934.571
280,3704,17.871,-10.343,4.389,1069
300,3812,19.014,-10.186,5.169,963.143
320,3920,19.6,-10.743,5.225,864.714
340,4027,19.514,-10.643,5.237,848.571
360,4135,19.657,-11.057,5.113,876.571
380,4243,19.186,-11.1,4.886,922
400,4351,19.071,-9.8,5.381,939.286
420,4458,19.629,-10.514,5.354,892.286
440,4566,19.914,-11.229,5.215,797.714
460,4674,19.471,-9.857,5.539,948
480,4782,19.343,-10.357,5.263,887
500,4889,19.271,-10.914,4.986,857.571
520,5364,18.743,-10.057,4.982,1004.571
540,5731,19.829,-10.986,5.211,807.143
560,6097,19.743,-11.143,5.157,841.571
580,6464,19.8,-9.814,5.688,876.429
600,6831,19.614,-10.4,5.335,867.714
610,7015,19.671,-10.4,5.439,868
620,7198,19.8,-11.214,5.167,840.143
640,7565,19.857,-11.214,5.206,840.429
660,7932,19.786,-10.8,5.342,846.714
680,8299,19.614,-10.9,5.198,856.714
700,8665,19.7,-10.771,5.295,854.571
720,9032,19.971,-11.614,5.092,787.857
740,9399,20.071,-10.471,5.625,826.429
760,9766,19.9,-11.243,5.206,796.571
780,10133,20,-11.571,5.125,787
800,10500,20.243,-11.357,5.354,775.571
810,10683,20.3,-11.229,5.432,774.857
820,10867,20.271,-11.257,5.401,775.143
830,11050,NA,NA,NA,NA
840,11115,NA,NA,NA,NA
860,11244,NA,NA,NA,NA
880,11373,NA,NA,NA,NA
900,11503,NA,NA,NA,NA
920,11632,NA,NA,NA,NA
940,11762,NA,NA,NA,NA
960,11891,NA,NA,NA,NA
980,12020,NA,NA,NA,NA
1000,12150,NA,NA,NA,NA
1010,12214,NA,NA,NA,NA
