depth (cm),age (yr BP),error (yr),type (NA),material (NA),Reservoir (yr)
192,6571,45,AMS14C,NA,600
426,7990,37,AMS14C,NA,600
631,9438,40,AMS14C,NA,600
846,10517,4,AMS14C,NA,600
1119,12589,97,AMS14C,NA,600
1445,14767,62,AMS14C,NA,600
2006,16306,164,AMS14C,NA,600
2521,18383,60,AMS14C,NA,600
2521,18397,60,AMS14C,foraminifera,600
2753,19471,67,AMS14C,NA,600
2974,20972,78,AMS14C,NA,600
3071,22219,88,AMS14C,NA,600
3099,21994,86,AMS14C,NA,600
3665,25943,133,AMS14C,NA,600
