depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
225,Carbon-14,110882,90,3960,gyttja,Sample was enriched.
386,Carbon-14,110883,100,7380,gyttja,Sample was enriched.
529,Carbon-14,110884,100,9510,gyttja,Sample was enriched.
