depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
15.5,Carbon-14,109629,180,1870,organic silt,NA
25.5,Carbon-14,109630,130,2930,organic silt,NA
30.5,Carbon-14,109631,180,5100,organic silt,NA
55.5,Carbon-14,109632,150,4360,organic silt,NA
80.5,Carbon-14,109633,140,5640,organic silt,NA
105.5,Carbon-14,109634,280,7870,organic silt,NA
118,Carbon-14,109635,190,10200,organic silt,NA
130.5,Carbon-14,109636,250,11500,organic silt,NA
143,Carbon-14,109637,140,9220,organic silt,NA
155.5,Carbon-14,109638,200,10500,organic silt,NA
180.5,Carbon-14,109639,210,10900,organic silt,NA
205.5,Carbon-14,109640,150,11700,organic silt,NA
230.5,Carbon-14,109641,270,12600,organic silt,NA
255.5,Carbon-14,109642,210,12400,organic silt,NA
265.5,Carbon-14,109643,320,12800,organic silt,NA
275.5,Carbon-14,109644,450,15800,organic rich moss layer,NA
280.5,Carbon-14,109645,380,17700,organic silt,NA
295.5,Carbon-14,109646,320,16800,organic silt,NA
305.5,Carbon-14,109647,510,20200,organic silt,NA
320.5,Carbon-14,109648,660,20200,organic silt,NA
329.75,Carbon-14,109649,600,24900,organic silt,NA
