depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
65,Carbon-14,109322,60,1210,bulk sediment,NA
190,Carbon-14,109323,60,5170,bulk sediment,NA
222,Carbon-14,109324,120,7250,bulk sediment,NA
