depth (cm),age (BP),d18O (per mil v smow)
198430,25340,-41.51
198460,25360,-40.1
198489,25380,-40.36
198519,25400,-40.41
198547,25420,-41.51
198575,25440,-41.58
198603,25460,-42.11
198630,25480,-41.41
198658,25500,-40.07
198688,25520,-43.53
198717,25540,-41.79
198744,25560,-42.01
198775,25580,-42.47
198803,25600,-42
198831,25620,-43.49
198860,25640,-42.7
198887,25660,-42.97
198915,25680,-43.87
198945,25700,-42.89
198974,25720,-41.53
199003,25740,-42.11
199033,25760,-42.14
199061,25780,-41.85
199090,25800,-40.79
199116,25820,-41.94
199143,25840,-41.32
199173,25860,-41.82
199203,25880,-40.99
199230,25900,-41.74
199258,25920,-41.34
199287,25940,-40.71
199320,25960,-41
199353,25980,-42.33
199389,26000,-40.81
199424,26020,-40.69
199453,26040,-40.91
199484,26060,-39.98
199518,26080,-42.12
199554,26100,-40.94
199591,26120,-41.21
199629,26140,-39.89
199667,26160,-41.36
199708,26180,-40.01
199745,26200,-41.23
199780,26220,-40.35
199815,26240,-41.72
199849,26260,-40.83
199884,26280,-40.68
199919,26300,-39.63
199951,26320,-40.94
199983,26340,-41.1
200016,26360,-41.98
200046,26380,-42.32
200082,26400,-42.31
200118,26420,-41.04
200155,26440,-40.39
200187,26460,-40.02
200214,26480,-42.76
200242,26500,-42.27
200271,26520,-42.26
200305,26540,-40.93
200333,26560,-40.72
200362,26580,-41.98
200393,26600,-40.39
200425,26620,-39.69
200457,26640,-40.15
200488,26660,-41.82
200519,26680,-42.7
200548,26700,-40.37
200583,26720,-41.49
200617,26740,-41.53
200647,26760,-41.78
200680,26780,-40.35
200711,26800,-41.87
200745,26820,-41.33
200777,26840,-40.57
200809,26860,-41.26
200842,26880,-39.78
200876,26900,-42.07
200912,26920,-42.23
200944,26940,-40.28
200974,26960,-40.73
201004,26980,-39.83
201036,27000,-41.8
201070,27020,-41.26
201104,27040,-42.5
201138,27060,-41.5
201170,27080,-40.71
201197,27100,-40.29
201227,27120,-38.58
201258,27140,-41.15
201290,27160,-40.18
201319,27180,-40.19
201354,27200,-40.19
201388,27220,-41.74
201419,27240,-41.67
201453,27260,-42.16
201483,27280,-41.05
201513,27300,-40.72
201545,27320,-41.86
201577,27340,-40.59
201609,27360,-41.36
201642,27380,-42.8
201670,27400,-42.34
201699,27420,-40.01
201732,27440,-40.01
201764,27460,-39.71
201809,27480,-41.55
201860,27500,-38.37
201910,27520,-37.38
201974,27540,-38.8
202036,27560,-38.11
202097,27580,-37.71
202161,27600,-38.72
202213,27620,-38.45
202270,27640,-38.39
202330,27660,-37.53
202399,27680,-37.05
202470,27700,-36.51
202539,27720,-38.08
202585,27740,-40.2
202616,27760,-40.94
202645,27780,-41.01
202677,27800,-40.82
202705,27820,-41.22
202734,27840,-41.55
202762,27860,-40.73
202790,27880,-39.19
202816,27900,-40.38
202849,27920,-42.63
202877,27940,-41.69
202907,27960,-39.95
202936,27980,-42.93
202964,28000,-42.26
202993,28020,-41.01
203020,28040,-43.24
203047,28060,-42
203072,28080,-39.97
203100,28100,-41.37
203126,28120,-41.61
203156,28140,-41.33
203182,28160,-42.63
203209,28180,-40.5
203240,28200,-40.51
203266,28220,-42.7
203297,28240,-40.42
203325,28260,-40.07
203353,28280,-40.11
203384,28300,-40.99
203412,28320,-43.19
203442,28340,-41.05
203468,28360,-40.52
203501,28380,-42.93
203535,28400,-42.63
203566,28420,-41.8
203594,28440,-41.35
203627,28460,-41
203664,28480,-41.27
203697,28500,-41.76
203730,28520,-40.92
203770,28540,-41.3
203815,28560,-39.62
203863,28580,-37.96
203915,28600,-38.94
203970,28620,-38.71
204029,28640,-37.79
204079,28660,-38.11
204141,28680,-38.05
204196,28700,-38.49
204253,28720,-37.93
204320,28740,-37.09
204380,28760,-37.85
204445,28780,-38.28
204507,28800,-37.66
204560,28820,-37.47
204605,28840,-38.77
204639,28860,-39.78
204671,28880,-41.49
204701,28900,-41.82
204729,28920,-41.88
204759,28940,-41.35
204787,28960,-41.29
204816,28980,-42.34
204843,29000,-40.7
204869,29020,-40.75
204892,29040,-41.19
204918,29060,-40.49
204941,29080,-40.28
204967,29100,-42.66
204992,29120,-40.96
205016,29140,-41.54
205043,29160,-41.23
205067,29180,-40.46
205091,29200,-40.92
205114,29220,-39.28
205141,29240,-40.32
205165,29260,-42.35
205191,29280,-41.95
205216,29300,-42.25
205242,29320,-41.62
205269,29340,-41.37
205293,29360,-40.84
205315,29380,-41.39
205341,29400,-43.83
205364,29420,-41.83
205384,29440,-42.02
205405,29460,-41.74
205430,29480,-40.63
205452,29500,-41.84
205478,29520,-41.02
205505,29540,-42.92
205530,29560,-41.29
205555,29580,-41.74
205578,29600,-39.45
205601,29620,-41.84
205626,29640,-41.75
205649,29660,-43.21
205671,29680,-41.36
205697,29700,-42.27
205723,29720,-42.01
205748,29740,-43.05
205773,29760,-42.93
205796,29780,-43.16
205822,29800,-41.36
205849,29820,-40.79
205873,29840,-42.66
205896,29860,-42.9
205922,29880,-41.46
205949,29900,-43.19
205978,29920,-43.34
206005,29940,-40.15
206028,29960,-42.34
206052,29980,-41.9
206077,30000,-42.6
206103,30020,-42.1
206127,30040,-40.33
206150,30060,-39
206175,30080,-41.71
206198,30100,-43.08
206226,30120,-41.01
206249,30140,-41.58
206273,30160,-42.1
206297,30180,-42.13
206320,30200,-42.56
206344,30220,-42.77
206367,30240,-43.53
206395,30260,-42.7
206419,30280,-41.2
206443,30300,-41.99
206466,30320,-41.2
206494,30340,-42.59
206515,30360,-40.76
206537,30380,-40.06
206557,30400,-42.91
206578,30420,-41.98
206605,30440,-41.89
206631,30460,-41.23
206662,30480,-41.83
206686,30500,-42.68
206715,30520,-42.32
206744,30540,-41.5
206773,30560,-40.2
206803,30580,-41.76
206831,30600,-41.21
206857,30620,-39.21
206886,30640,-40.66
206919,30660,-39.92
206954,30680,-40.6
206990,30700,-39.58
207022,30720,-39.26
207054,30740,-41.49
207087,30760,-41.5
207118,30780,-42.52
207149,30800,-41.9
207180,30820,-40.09
207210,30840,-42.08
207239,30860,-41.53
207263,30880,-43.12
207291,30900,-41.66
207321,30920,-42.2
207346,30940,-41.84
207373,30960,-42.1
207401,30980,-42.73
207432,31000,-42.07
207461,31020,-41.25
207489,31040,-41.17
207517,31060,-40.51
207548,31080,-42.41
207577,31100,-41.49
207603,31120,-43
207628,31140,-41.94
207651,31160,-40.84
207681,31180,-41.53
207712,31200,-41.17
207740,31220,-40.14
207767,31240,-43.02
207794,31260,-41.4
207821,31280,-42.32
207845,31300,-41.11
207873,31320,-42.48
207899,31340,-42.18
207927,31360,-41.23
207954,31380,-40.84
207979,31400,-41.99
208007,31420,-41.24
208033,31440,-41.79
208058,31460,-41.68
208085,31480,-43.19
208111,31500,-41.57
208138,31520,-43.04
208169,31540,-42.64
208197,31560,-41.86
208225,31580,-42.78
208254,31600,-42.46
208282,31620,-43.31
208310,31640,-41.91
208341,31660,-41.32
208370,31680,-41.12
208398,31700,-42.54
208427,31720,-42.66
208456,31740,-41.04
208485,31760,-40.74
208511,31780,-40.81
208540,31800,-42.49
208566,31820,-41.66
208594,31840,-41.29
208620,31860,-41.13
208648,31880,-41.58
208675,31900,-40.68
208703,31920,-40.82
208733,31940,-40.72
208766,31960,-40.91
208798,31980,-40.3
208829,32000,-40.58
208869,32020,-40.04
208907,32040,-39.96
208950,32060,-40.41
208991,32080,-40.02
209033,32100,-39.81
209078,32120,-38.83
209122,32140,-39.24
209168,32160,-39.04
209207,32180,-38.69
209249,32200,-38.34
209294,32220,-39.39
209346,32240,-38.25
209398,32260,-38.25
209448,32280,-39.08
209497,32300,-38.88
209545,32320,-38.46
209598,32340,-38.57
209656,32360,-38.68
209713,32380,-38.66
