depth (cm),age (BP),temperature (degC),OriginalSampleID (missing),uncertainty (missing),uncertainty (missing),reliable (missing)
0,-90,14.228,LLET144,15.117,13.339,Y
4,219.3,14.525,LLET148,15.407,13.642,Y
8,528,14.128,LLET152,15.03,13.226,Y
12,835.7,14.672,LLET156,15.554,13.791,Y
16,1141.5,14.746,LLET160,15.611,13.881,Y
20,1445,15.204,LLET164,16.154,14.254,Y
24,1745.3,14.411,LLET168,15.269,13.552,Y
28,2041.9,14.289,LLET172,15.181,13.398,Y
32,2334.1,14.859,LLET176,15.745,13.972,Y
36,2621.2,14.246,LLET180,15.116,13.375,Y
40,2902.6,14.998,LLET184,15.863,14.134,Y
44,3177.6,15.023,LLET188,15.906,14.141,Y
48,3445.6,15.196,LLET192,16.105,14.287,Y
52,3705.9,15.938,LLET196,16.874,15.003,Y
56,3957.8,14.986,LLET200,15.866,14.107,Y
60,4200.7,14.572,LLET204,15.448,13.697,Y
64,4433.9,15.128,LLET208,16.03,14.226,Y
68,4656.9,15.019,LLET212,15.899,14.138,Y
72,4870,15.185,LLET216,16.059,14.311,Y
76,5073.2,15.185,LLET220,16.057,14.313,Y
80,5266.9,15.212,LLET224,16.08,14.344,Y
84,5451.2,14.794,LLET228,15.66,13.929,Y
94,5872.5,14.877,LLET232,15.758,13.997,Y
98,6025.8,15.902,LLET236,16.787,15.018,Y
102,6170.6,15.105,LLET240,15.972,14.238,Y
110,6436.1,15.234,LLET242,16.121,14.348,Y
114,6557.2,15.39,LLET246,16.283,14.497,Y
118,6670.7,15.457,LLET250,16.338,14.576,Y
122,6776.9,15.179,LLET254,16.061,14.297,Y
126,6876.1,15.662,LLET258,16.542,14.781,Y
130,6968.3,14.973,LLET262,15.844,14.101,Y
134,7054.1,15.33,LLET266,16.203,14.457,Y
138,7133.8,15.041,LLET270,15.916,14.167,Y
142,7208.1,15.155,LLET274,16.045,14.266,Y
146,7277.4,15.442,LLET278,16.325,14.56,Y
150,7342.4,14.635,LLET282,15.53,13.739,Y
154,7403.6,14.782,LLET286,15.664,13.899,Y
158,7461.4,14.742,LLET290,15.623,13.86,Y
162,7516.6,14.907,LLET294,15.811,14.002,Y
166,7569.6,15.793,LLET298,16.779,14.807,Y
176,7696.1,14.505,LLET302,15.398,13.611,Y
181,7758.2,15.125,LLET306,16.007,14.242,Y
184,7795.7,15.143,LLET310,16.02,14.265,Y
194,7925.4,14.728,LLET314,15.606,13.849,Y
196,7952.8,15.773,LLET318,16.66,14.886,Y
200,8009.3,15.116,LLET322,16.012,14.22,Y
204,8069,14.507,LLET326,15.404,13.611,Y
208,8132.1,14.707,LLET330,15.604,13.81,Y
212,8199.5,14.855,LLET334,15.771,13.939,Y
216,8271.2,14.72,LLET338,15.618,13.822,Y
220,8347.2,15.11,LLET342,16.022,14.199,Y
224,8427.1,15.024,LLET346,15.916,14.132,Y
228,8510.6,15.192,LLET350,16.088,14.295,Y
232,8597.3,15.29,LLET354,16.221,14.358,Y
236,8687,14.432,LLET358,15.334,13.53,Y
240,8779.2,14.638,LLET362,15.538,13.739,Y
244,8873.7,15.062,LLET366,15.973,14.152,Y
248,8970.1,14.674,LLET370,15.586,13.762,Y
252,9068,14.694,LLET374,15.625,13.762,Y
256,9167.3,15.12,LLET378,16.031,14.209,Y
260,9267.5,14.431,LLET382,15.35,13.512,Y
264,9368.3,14.541,LLET386,15.472,13.61,Y
268,9469.3,14.321,LLET390,15.25,13.392,Y
274,9620.7,14.011,LLET404,14.924,13.098,Y
278,9721.1,14.232,LLET408,15.181,13.282,Y
282,9820.7,14.546,LLET412,15.476,13.617,Y
286,9919.6,14.523,LLET416,15.433,13.613,Y
290,10017.4,13.946,LLET420,14.914,12.978,Y
294,10114.2,14.148,LLET424,15.089,13.206,Y
298,10209.7,13.71,LLET428,14.629,12.79,Y
302,10303.7,13.926,LLET432,14.853,12.998,Y
306,10396.2,13.59,LLET436,14.526,12.655,Y
310,10487,13.733,LLET440,14.734,12.733,Y
314,10554,13.305,LLET444,14.323,12.286,Y
318,10663.7,12.098,LLET448,13.087,11.109,Y
322,10750,12.345,LLET452,13.322,11.368,Y
326,10835.1,13.274,LLET456,14.411,12.138,Y
330,10919.3,11.991,LLET460,13.003,10.979,Y
337,11064.9,11.994,LLET464,12.971,11.017,Y
344,11209.2,12.103,LLET468,13.068,11.139,Y
348,11291.4,12.669,LLET472,13.695,11.643,Y
352,11373.7,12.797,LLET476,13.802,11.792,Y
356,11456.2,12.171,LLET480,13.159,11.183,Y
360,11539.2,13.062,LLET484,14.026,12.097,Y
364,11622.8,14.311,LLET488,15.253,13.368,Y
368,11707.2,13.524,LLET492,14.49,12.558,Y
372,11792.6,13.089,LLET496,14.088,12.091,Y
376,11879.2,12.821,LLET500,13.797,11.845,Y
380,11966.9,14.501,LLET504,15.412,13.59,Y
384,12055.7,14.168,LLET508,15.083,13.254,Y
388,12145.4,13.349,LLET512,14.27,12.428,Y
392,12235.9,12.717,LLET516,13.774,11.66,Y
396,12327.1,14.406,LLET520,15.343,13.469,Y
400,12418.9,13.627,LLET524,14.603,12.652,Y
404,12511.1,11.551,LLET528,12.697,10.405,Y
408,12603.8,12.379,LLET532,13.39,11.368,Y
412,12696.6,13.527,LLET536,14.482,12.571,Y
416,12789.7,14.078,LLET540,15.093,13.062,Y
418,12836,13.819,LLET544,14.857,12.782,Y
