depth (cm),age (yr BP),error (yr)
5.5,205,40
29.5,960,40
48.5,1440,40
69.5,1970,40
110,2865,40
150.5,3620,40
175.5,4150,40
200.5,4675,40
210,4755,40
235.5,5465,40
250.5,5920,40
274.5,6505,40
295.5,7390,40
310,8120,40
330.5,8220,40
350.5,8770,40
375.5,9505,40
390.5,10000,40
409.5,10488,40
424.5,11055,40
