age (),sample_depth (),x238U (),x238UError (),x232th (),x5232thError (),x234U (),x234UError (),x230th_238u (),x230th_238uError (),error (),ageCorrected (),ageCorrectedError (),x234UInitial (),x234UInitialError ()
306.1,SB43-5mm,948.3,1.6,1150,16,1019.1,8.6,0.006,0,2,232,9,1020,8.6
903.4,SB43-14mm,742.5,1.3,1077.4,6,1046.8,3,0.017,0,26,825.8,27.9,1049.4,3
1114.8,SB43-28mm,722.9,1.3,549.4,4,1058.4,2.7,0.021,0.001,65.3,1047.1,65.5,1061.7,2.8
2623.4,SB43-63mm,770.7,1.4,2682.4,9,1017.5,2.6,0.048,0.001,33.3,2516.4,41.6,1024.9,2.6
3137.8,SB43-84mm,2566,19,5065.4,40,1015.1,6.5,0.057,0.001,58.5,3052.5,60.1,1024,6.5
3534.4,SB43-100mm,3354,19,15148,109,972.1,4.5,0.063,0.001,53.5,3411,62.8,981.6,4.6
3713.7,SB43-120mm,918.7,1.9,648.8,5,978.5,2.9,0.066,0.001,39.6,3646.3,39.9,988.8,2.9
4126.3,SB43-144mm,732,2,2562.9,9,1027.5,3.5,0.075,0.001,41.1,4019.3,48,1039.4,3.6
4825.5,SB43-170mm,654,2,700.9,5,1041.6,3.9,0.089,0.001,48.8,4753.4,49.3,1055.9,4
5813.4,SB43-193mm,567,2,2553.4,9,1034.5,5,0.106,0.001,59.1,5692.5,67.1,1051.4,5.1
6557.9,SB43-214mm,704.6,1.4,700.3,4,1096.3,3.5,0.123,0.001,49.6,6487.3,50,1116.7,3.5
7718.3,SB43-220mm,3412,22,1849.8,15,1071.9,5.5,0.142,0.002,98.8,7653.7,98.8,1095.5,5.6
8256.9,SB43-250mm,1051.2,2.3,667.9,4,1024.1,2.9,0.148,0.001,60.2,8190.9,60.4,1048.3,3
8588.8,SB43-280mm,855,2,1228.1,6,1004.8,3.5,0.153,0.001,71.5,8511.2,72.2,1029.4,3.6
8806,SB43-300mm,1298.6,3,4722,15,988.7,3.2,0.155,0.001,62.9,8696.4,68.1,1013.4,3.3
9494,SB43-325mm,1121.6,2.2,2257,25,1010.7,2.5,0.169,0,28,9409,31,1038.1,2.5
9723.1,SB43-350mm,732.4,1.6,5246.3,22,1111.6,3.6,0.181,0.002,121.8,9568.8,131.1,1142.2,3.8
10471,SB43-375mm,1251,2.7,1405,16,984,3,0.183,0,36,10399,34,1013.5,2.7
11484,SB43-405mm,1181.9,2.4,6225,63,1164.1,3.3,0.183,0.001,36,11358,50,1199.5,3.4
11614.6,SB43-424mm,705.2,1.1,4429,14,1157.8,2.6,0.22,0.002,86.7,11474.3,96.1,1196.2,2.7
12124.1,SB43-450mm,516.8,1.1,1509.5,6,1109.7,4.1,0.224,0.002,103.5,12027.5,105.3,1148.3,4.2
12492,SB43-461mm,1068.5,2.1,1348,6,1043.4,2.9,0.223,0.001,58.1,12417.3,58.8,1080.9,3
12747.2,SB43-472mm,518.7,0.9,793.9,5,1287.4,3.3,0.255,0.001,73,12671.1,73.6,1334.6,3.4
13116.2,SB43-485mm,534,2,10803.8,49,1410,5.8,0.276,0.003,150.8,12820,192,1462.2,6.1
