year (AD),depth (cm),age (BP),d18O (permil)
1962.08,11.5,-12.08,-4.55
1959.62,12.5,-9.62,-4.69
1956.89,13.5,-6.89,-4.62
1953.41,14.5,-3.41,-4.58
1949.66,15.5,0.34,-4.47
1946.53,16.5,3.47,-4.96
1943.91,17.5,6.09,-5.08
1941.63,18.5,8.37,-5.14
1940.03,19.5,9.97,-4.88
1939.95,20.5,10.05,-4.86
1938.42,21.5,11.58,-4.62
1937.57,22.5,12.43,-4.66
1936.72,23.5,13.28,-4.81
1935.57,24.5,14.43,-4.88
1933.42,25.5,16.58,-4.7
1930.03,26.5,19.97,-4.68
1926.9,27.5,23.1,-4.85
1923.24,28.5,26.76,-4.68
1919.92,29.5,30.08,-4.93
1917.24,30.5,32.76,-4.9
1914.32,31.5,35.68,-4.72
1910.87,32.5,39.13,-4.85
1907.35,33.5,42.65,-4.91
1904.7,34.5,45.3,-4.65
1902.7,35.5,47.3,-4.52
1900.19,36.5,49.81,-4.92
1897.09,37.5,52.91,-5.11
1893.83,38.5,56.17,-5.16
1890.5,39.5,59.5,-5.07
1887.31,40.5,62.69,-5.17
1884.59,41.5,65.41,-5.08
1882.11,42.5,67.89,-4.85
1879.16,43.5,70.84,-4.81
1875.83,44.5,74.17,-4.97
1869.61,45.5,80.39,-5.1
1864.91,46.5,85.09,-4.77
1860.63,47.5,89.37,-4.95
1855.57,48.5,94.43,-4.98
1850.05,49.5,99.95,-5.13
1846.97,50.5,103.03,-5.32
1843.41,51.5,106.59,-5
1838.69,52.5,111.31,-4.9
1833.73,53.5,116.27,-4.65
1829.84,54.5,120.16,-5.03
1826.89,55.5,123.11,-5
1824.31,56.5,125.69,-4.76
1821.93,57.5,128.07,-4.79
1819.12,58.5,130.88,-5.15
1816.08,59.5,133.92,-4.96
1813.62,60.5,136.38,-4.75
1811.54,61.5,138.46,-4.63
1809.41,62.5,140.59,-4.88
1807.24,63.5,142.76,-4.79
1804.66,64.5,145.34,-4.85
1801.68,65.5,148.32,-4.86
1799.44,66.5,150.56,-4.89
1797.92,67.5,152.08,-4.72
1796.41,68.5,153.59,-4.75
1794,69.5,156,-4.49
1791.71,70.5,158.29,-4.43
1789.41,71.5,160.59,-4.53
1787.12,72.5,162.88,-5.07
1784.83,73.5,165.17,-5.22
1782.54,74.5,167.46,-5.37
1780.24,75.5,169.76,-4.9
1777.95,76.5,172.05,-4.83
1775.66,77.5,174.34,-4.5
1773.37,78.5,176.63,-4.53
1771.07,79.5,178.93,-4.69
1768.78,80.5,181.22,-4.44
1766.49,81.5,183.51,-4.74
1764.2,82.5,185.8,-4.67
1761.9,83.5,188.1,-4.75
1759.61,84.5,190.39,-4.79
1757.32,85.5,192.68,-5.1
1755.02,86.5,194.98,-4.95
1752.73,87.5,197.27,-4.67
1750.44,88.5,199.56,-4.71
1748.15,89.5,201.85,-4.96
1745.85,90.5,204.15,-5.06
1743.56,91.5,206.44,-5.02
1741.27,92.5,208.73,-5.19
1738.98,93.5,211.02,-5.12
1736.68,94.5,213.32,-4.76
1734.39,95.5,215.61,-4.47
1732.1,96.5,217.9,-4.54
1729.8,97.5,220.2,-4.83
1727.51,98.5,222.49,-4.83
1725.22,99.5,224.78,-4.92
1722.93,100.5,227.07,-4.91
1720.63,101.5,229.37,-4.88
1718.34,102.5,231.66,-5.35
1716.05,103.5,233.95,-4.5
1713.76,104.5,236.24,-4.52
1711.46,105.5,238.54,-4.8
1709.17,106.5,240.83,-4.9
1706.88,107.5,243.12,-4.56
1704.59,108.5,245.41,-4.62
1702.29,109.5,247.71,-4.54
1700,110.5,250,-4.46
1697.71,111.5,252.29,-4.6
1695.41,112.5,254.59,-4.76
1693.12,113.5,256.88,-4.58
1690.83,114.5,259.17,-4.66
1688.54,115.5,261.46,-4.92
1180.91,11.5,769.09,-4.35
1144.55,21.5,805.45,-4.97
1108.18,31.5,841.82,-4.54
1071.82,41.5,878.18,-4.47
1035.45,51.5,914.55,-4.58
999.09,61.5,950.91,-4.48
962.73,71.5,987.27,-4.2
926.36,81.5,1023.64,-4.28
890,91.5,1060,-4.67
853.64,101.5,1096.36,-4.44
779.09,122,1170.91,-4.51
733.75,132,1216.25,-4.68
656.56,141.5,1293.44,-4.7
575.31,151.5,1374.69,-4.49
494.06,161.5,1455.94,-4.65
396.56,173.5,1553.44,-4.71
315.31,183.5,1634.69,-4.33
234.06,193.5,1715.94,-4.42
152.81,203.5,1797.19,-4.38
-9.69,223.5,1959.69,-4.5
-90.94,233.5,2040.94,-4.58
-172.19,243.5,2122.19,-4.42
-253.44,253.5,2203.44,-4.26
-334.69,263.5,2284.69,-4.49
-399.69,271.5,2349.69,-4.33
-480.94,281.5,2430.94,-4.51
-570.02,291.5,2520.02,-4.65
-703.49,301.5,2653.49,-4.34
-957.09,320.5,2907.09,-4.46
-1090.56,330.5,3040.56,-4.31
-1224.03,340.5,3174.03,-4.22
-1357.5,350.5,3307.5,-4.62
-1490.98,360.5,3440.98,-4.1
-1637.8,371.5,3587.8,-4.05
-1771.27,381.5,3721.27,-4.44
-1904.74,391.5,3854.74,-4.32
-2038.21,401.5,3988.21,-4.28
-2171.68,411.5,4121.68,-4.08
-2305.15,421.5,4255.15,-4.27
-2438.63,431.5,4388.63,-4.47
-2572.1,441.5,4522.1,-4.17
-2705.57,451.5,4655.57,-4.4
-2839.04,461.5,4789.04,-4.56
-2963.3,471.5,4913.3,-4.23
-3089.68,481.5,5039.68,-4.38
-3216.06,491.5,5166.06,-4.33
-3340,501.5,5290,-4.16
-3350.77,502.5,5300.77,-4.21
-3361.54,503.5,5311.54,-4.3
-3372.31,504.5,5322.31,-4.26
-3383.08,505.5,5333.08,-4.47
-3393.85,506.5,5343.85,-4.35
-3404.62,507.5,5354.62,-4.47
-3415.38,508.5,5365.38,-4.54
-3426.15,509.5,5376.15,-4.58
-3447.69,511.5,5397.69,-4.5
-3458.46,512.5,5408.46,-4.48
-3469.23,513.5,5419.23,-4.31
-3480,514.5,5430,-3.8
-3495,515.5,5445,-4.51
-3510,516.5,5460,-4.65
-3525,517.5,5475,-4.41
-3540,518.5,5490,-4.34
-3555,519.5,5505,-4.42
-3585,521.5,5535,-4.53
-3600,522.5,5550,-4.58
-3615,523.5,5565,-4.47
-3630,524.5,5580,-4.29
-3645,525.5,5595,-4.07
-3660,526.5,5610,-4.5
-3675,527.5,5625,-4.29
-3690,528.5,5640,-4.17
-3705,529.5,5655,-4.43
-3735,531.5,5685,-4.31
-3750,532.5,5700,-4.22
-3765,533.5,5715,-4.28
-3780,534.5,5730,-4.1
-3795,535.5,5745,-4.32
-3811.5,536.6,5761.5,-4.37
-3825,537.5,5775,-4.29
-3840,538.5,5790,-4.42
-3855,539.5,5805,-4.63
