depth (cm),age (BP),pollen_count (gr cm-2 yr-1)
1.2,-51.2,2814
3.1,-40.7,2429
5.5,-16,1649
8.7,34.5,683
10.6,71.7,547
12.2,115.7,465
14,182.7,433
16.6,295.4,391
20.6,439.9,218
22.2,484.1,280
25.5,556.6,590
26.1,567.9,627
29.2,619.2,564
30.2,634.4,559
32.5,669.1,724
34,691.4,768
35.9,717.7,924
39.7,764.8,863
41.8,789.6,726
43.45,809.6,480
46.4,848,487
49.2,890.1,475
51.7,934.8,648
53.7,975.6,660
57.1,1050.6,651
59.6,1106.3,494
60.6,1128,471
63,1179.3,584
64.6,1215.4,668
68.6,1320.3,620
72.4,1411.8,615
76.4,1495.6,552
79.6,1563.6,557
85.1,1701.4,443
88.6,1809.5,626
93.2,1937.4,898
96.6,2010.8,NA
100.2,2078,997
104,2147,894
107,2207.2,820
111.2,2310.6,NA
115.1,2424.7,690
117.5,2498.6,675
120.35,2585.1,779
121.95,2631.7,912
124.45,2699,798
127.35,2769.4,780
132.25,2872.5,1063
137.3,2963,1421
140.4,3013.3,1244
142.9,3052.1,891
145.7,3094.7,1275
148.5,3137.5,1378
152.8,3205.8,1254
158.2,3301.4,964
161.4,3365.7,928
164.8,3440.8,853
168.8,3538.5,825
172.2,3629.8,764
175.6,3729.1,825
179,3836.3,813
182.1,3941.5,771
184.9,4042.7,648
188.8,4193.4,676
191.9,4319.4,629
194.4,4423.2,522
198.3,4585.2,304
202.4,4750.6,305
204.8,4852.7,294
208.4,5057.3,244
210.4,5195.6,188
211.4,5270.5,163
216.6,5711.3,228
221.7,6202.4,181
224.8,6515.2,141
230.4,7079.8,94
233.8,7406.9,84
239.4,7888.9,106
241.9,8070.4,63
242.8,8128.3,50
244.4,8220.4,35
253.1,8620.9,16
271.7,9527,176
