depth (cm),age14C (bp),age_error_orig (years),age_error (1_s),deltaR (years),deltaR_error (years),age_type (),core_name (),lab_id (),material_dated (),original_reference ()
37.5,1140,60,81.4,-92,55,1,1,2,3,1
91,1980,70,89,-92,55,1,2,6,4,1
156,2955,45,71.1,-92,55,1,2,3,6,1
206,3445,50,74.3,-92,55,1,2,7,5,1
271,4190,60,81.4,-92,55,1,2,8,2,1
309.5,5820,55,77.8,-92,55,1,2,4,6,1
376,7775,60,81.4,-92,55,1,2,5,1,1
406,7885,70,89,-92,55,1,2,1,3,1
