year (AD),age (BP),temperature (degC)
1748.44,201.56,22.06
1496.49,453.51,24.3
703.2,1246.8,20.94
429,1521,19.67
140.5,1809.5,23.03
-159.1,2109.1,21.85
-458.6,2408.6,19.15
-771.1,2721.1,19.39
-1428.3,3378.3,17.7
-1767.9,3717.9,13.03
-2129.9,4079.9,19.06
-2491.9,4441.9,14.33
-2862.2,4812.2,19
-3263,5213,19.3
-3663.9,5613.9,20.03
-4069,6019,20.12
-4515.3,6465.3,21.67
-4604.6,6554.6,20.55
-4693.9,6643.9,21.85
-4783.1,6733.1,19.85
-4872.4,6822.4,16.7
-4961.7,6911.7,19.61
-5050.9,7000.9,17.33
-5229.4,7179.4,18.45
-5318.7,7268.7,16.97
-5408,7358,19.09
-5506.7,7456.7,18.18
-5606.7,7556.7,18.36
-5706.7,7656.7,18.36
-5806.7,7756.7,18.27
-5906.7,7856.7,19.3
-6006.7,7956.7,19.18
-6106.6,8056.6,19.3
-6206.6,8156.6,19.97
-6306.6,8256.6,18.58
-6406.6,8356.6,18.97
-6506.6,8456.6,18.97
-6606.6,8556.6,18.91
-6706.6,8656.6,18.76
-6806.6,8756.6,18.79
-6906.5,8856.5,19.48
-7022.9,8972.9,18.67
-7333.1,9283.1,19.09
-7643.4,9593.4,18.58
-7953.6,9903.6,16.82
-8264,10214,17.33
