depth (m),age (BP),depth (m),age (BP),temperature (degC),d18O (permil),d13C (permil),planktic.d18O (permil),planktic.d13C (permil),depth (m),TOC (percent),DBD (g_cm3)
0.05,300,0,1000,6.8,NA,NA,1.98,0.98,0.1,0.57,0.272
0.13,800,0.05,1250,NA,3.73,0.28,NA,NA,0.19,0.51,0.267
0.23,1400,0.1,1500,6.6,NA,NA,2.14,1.07,0.29,0.47,0.272
0.3,1800,0.13,1650,NA,3.69,0.51,NA,NA,0.39,0.41,0.269
0.4,2500,0.2,2000,8.5,NA,NA,2.14,1.1,0.49,0.42,0.256
0.5,3100,0.23,2150,NA,3.67,0.19,NA,NA,0.59,0.43,0.301
0.53,3300,0.3,2500,6.8,3.48,0.45,1.96,0.95,0.69,0.55,0.317
0.6,3700,0.4,3000,6.5,3.17,0.13,1.71,0.89,0.98,0.53,0.303
0.7,4300,0.5,3500,6.2,3.52,0.23,1.89,1.06,1.08,0.54,0.299
0.73,4500,0.53,3650,NA,3.81,0.42,NA,NA,1.18,0.5,0.325
0.8,4900,0.6,4000,6.6,3.48,0.13,2.09,1.22,1.28,0.48,0.319
0.83,5100,0.7,4500,6.8,3.79,0.37,2.15,1.23,1.38,0.39,0.334
0.9,5500,0.73,4650,NA,3.63,0.31,NA,NA,1.48,0.36,0.152
1,6200,0.8,5000,6.5,3.48,0.14,2.19,1.08,1.59,0.46,0.298
1.1,6800,0.83,5150,NA,3.59,0.26,NA,NA,1.69,0.45,0.303
1.13,7000,0.9,5500,6.4,3.53,0.07,2.23,1.09,1.79,0.52,0.27
1.2,7400,1,6000,6.3,3.66,0,2.01,0.94,1.89,0.62,0.228
1.3,8000,1.1,6250,6.6,3.37,-0.24,1.9,0.85,1.99,0.52,0.266
1.43,8700,1.13,6330,NA,3.83,-0.16,NA,NA,2.07,0.6,0.293
1.5,9000,1.2,6500,6.7,NA,NA,2.14,0.84,2.19,0.51,0.282
1.6,9300,1.3,6750,6.9,3.29,-0.18,1.8,0.93,2.29,0.31,0.29
1.7,9700,1.38,6950,NA,3.77,-0.19,NA,NA,2.39,0.33,0.312
1.8,10100,1.4,7000,6.6,NA,NA,2.02,0.64,2.45,0.28,0.394
2.1,11200,1.43,7080,NA,3.67,-0.18,NA,NA,2.49,0.35,0.401
2.2,11600,1.5,7250,6.1,3.73,-0.11,2.26,0.75,2.55,0.32,0.388
2.3,11800,1.6,7500,5.6,3.85,0,1.89,0.71,2.59,0.37,0.363
2.4,12100,1.7,7750,5.5,3.94,-0.15,2.36,0.85,2.65,0.31,0.344
2.5,12300,1.8,8000,5.9,3.9,-0.51,2.14,0.69,2.69,0.22,0.365
2.6,12500,1.9,8330,6.3,NA,NA,1.98,0.63,2.78,0.25,0.339
2.7,12700,2,8670,7,NA,NA,2.07,0.71,2.87,0.38,0.375
2.8,13800,2.1,9000,7.4,4.06,-0.12,1.64,0.45,2.95,0.32,0.345
