age (yr bo),d18O (permil),d13C (permil)
2410,-7.83,-8.045
2470,-7.587,-7.447
2530,-7.897,-7.719
2590,-8.106,-7.56
2650,-8.135,-7.2
2710,-7.14,-7.571
2770,-7.386,-7.795
2830,-7.464,-7.298
2890,-7.638,-7.964
2950,-7.811,-7.783
3010,-7.859,-8.592
3070,-8.364,-9.01
3130,-6.725,-9.785
3190,-7.062,-8.133
3250,-8.045,-7.127
3310,-7.774,-7.13
3370,-7.688,-7.327
3430,-7.866,-7.637
3490,-7.684,-7.802
3550,-7.68,-7.122
3610,-7.987,-7.34
3670,-7.353,-6.348
3730,-7.142,-6.303
3790,-7.356,-7.39
3850,-7.531,-7.582
3910,-7.537,-7.227
3970,-7.617,-6.703
4030,-7.214,-6.125
4090,-7.209,-6.667
4150,-7.771,-7.747
4210,-7.953,-7.363
4270,-8.355,-7.925
4330,-8.052,-7.341
4390,-7.334,-7.224
4450,-7.685,-7.246
4510,-7.245,-8.989
4570,-7.385,-8.728
4630,-8.168,-7.165
4690,-7.684,-6.917
4750,-7.458,-6.523
4810,-7.894,-5.787
4870,-7.389,-7.196
4930,-7.536,-6.5
4990,-7.863,-6.516
5050,-7.148,-6.681
5110,-6.733,-7.567
5170,-7.614,-7.478
5230,-7.567,-6.755
5290,-7.741,-7.137
5350,-7.584,-7.498
5410,-7.716,-7.111
5470,-8.141,-7.846
5530,-7.734,-7.108
5590,-8.096,-6.198
5650,-7.865,-6.562
5710,-7.822,-7.16
5770,-7.73,-7.134
5830,-7.693,-7.396
5870,-7.81,-6.675
5910,-7.805,-7.463
5950,-8.072,-7.351
5990,-8.107,-6.798
6030,-8.237,-7.537
6070,-8.238,-7.49
6110,-8.201,-7.239
6150,-8.12,-7.818
6190,-8.278,-7.344
6220,-8.179,-8.08
6260,-8.133,-7.603
6300,-7.913,-7.389
6340,-7.523,-7.72
6380,-8.07,-7.735
6420,-8.519,-7.999
6460,-8.435,-7.563
6500,-8.11,-7.799
6540,-8.337,-7.903
6580,-8.205,-8.368
6620,-7.94,-7.92
6660,-8.409,-7.022
6700,-8.403,-7.249
6920,-8.289,-7.728
7150,-8.683,-7.011
7380,-8.265,-7.108
7600,-8.544,-8.617
7830,-8.157,-8.815
8060,-9.01,-8.41
8290,-8.669,-8.411
8510,-8.801,-8.26
8740,-8.708,-7.818
8970,-8.86,-7.535
9120,-8.494,-7.964
9190,-9.097,-7.988
9260,-8.39,-8.094
9340,-8.403,-7.865
9410,-8.509,-6.697
9560,-8.418,-7.353
9630,-8.617,-7.586
9710,-8.621,-7.43
9780,-8.694,-7.403
9850,-8.787,-7.372
9930,-8.895,-7.43
10000,-8.4,-7.462
10080,-8.685,-7.815
10150,-8.847,-7.92
10220,-8.359,-7.353
10300,-9.12,-7.155
10370,-9.499,-7.377
10440,-8.931,-7.223
10590,-8.77,-7.298
10670,-8.972,-6.82
10740,-8.789,-6.793
10810,-9.061,-6.001
10890,-8.083,-6.203
10960,-8.376,-6.839
11040,-8.78,-7.14
11110,-8.799,-7.02
11180,-9.326,-6.652
11330,-8.556,-5.064
11480,-9.895,-4.205
22060,-9.46,-4.71
22880,-8.729,-4.503
23710,-8.778,-3.455
24540,-8.429,-4.581
25370,-8.566,-5.478
26190,-8.382,-3.432
27020,-8.372,-3.876
28680,-8.932,-4.8
29510,-8.646,-4.971
30330,-9.089,-5.317
31990,-8.463,-4.698
32820,-9.486,-6.436
33650,-9.565,-6.48
34470,-9.234,-5.514
35300,-10.438,-5.776
36960,-10.471,-6.926
37780,-10.225,-8.28
38610,-10.026,-7.544
40270,-8.744,-5.15
43000,-8.585,-9.053
44400,-9.101,-7.782
46880,-8.557,-7.462
49350,-8.583,-8.513
51830,-8.313,-7.871
54310,-8.284,-9.24
56790,-7.686,-9.087
59260,-8.875,-9.133
61740,-8.646,-8.496
64220,-9.285,-8.383
66690,-8.591,-8.198
69170,-8.019,-8.693
71650,-8.268,-9.946
74130,-7.848,-9.097
