depth (cm),age (yrBP),error (yr),material (NA),type (NA)
76.5,440,20,Bryophytes  bryophyte branches,AMS14C
167.5,1470,15,twig,AMS14C
224.5,2035,15,Bryophytes  terrestrial large leaf fragment,AMS14C
398,3315,20,Terrestrial woody twig,AMS14C
505.5,4020,20,Bryophyte twig with many leaves  woody stems,AMS14C
593.5,4665,20,Tree bryophyte stems with leaves,AMS14C
