year (AD),age (BP),d18O_VPBD (permil)
2008,-58,-14.975
2002.273,-52.273,-15.306
1996.547,-46.547,-15.93
1990.82,-40.82,-15.98
1985.093,-35.093,-15.486
1979.366,-29.366,-16.017
1973.64,-23.64,-15.631
1967.913,-17.913,-15.881
1962.186,-12.186,-15.718
1956.459,-6.459,-16.113
1950.733,-0.733,-16.622
1945.006,4.994,-16.896
1939.279,10.721,-16.606
1933.552,16.448,-17.415
1927.826,22.174,-17.012
1922.099,27.901,-17.338
1916.372,33.628,-17.301
1910.645,39.355,-17.342
1904.919,45.081,-17.521
1899.192,50.808,-17.609
1893.465,56.535,-17.133
1870.558,79.442,-17.415
1847.651,102.349,-16.849
1824.744,125.256,-17.347
1801.837,148.163,-16.936
1778.93,171.07,-16.775
1767.477,182.523,-16.625
1758.782,191.218,-17.009
1749.476,200.524,-16.994
1740.142,209.858,-16.82
1730.78,219.22,-16.579
1721.389,228.611,-16.752
1711.97,238.03,-16.66
1702.522,247.478,-15.923
1693.047,256.953,-16.824
1683.543,266.457,-16.903
1674.01,275.99,-17.033
1664.45,285.55,-17.557
1654.861,295.139,-17.664
1645.244,304.756,-16.827
1635.598,314.402,-16.641
1625.924,324.076,-17.081
1616.222,333.778,-17.69
1606.492,343.508,-17.424
1596.733,353.267,-17.195
1586.946,363.054,-16.798
1577.131,372.869,-17.129
1567.287,382.713,-17.053
1557.415,392.585,-16.998
1547.515,402.485,-16.887
1537.586,412.414,-16.8
1527.629,422.371,-17.051
1517.644,432.356,-16.81
1507.631,442.369,-16.684
1497.589,452.411,-16.572
1487.519,462.481,-16.702
1477.42,472.58,-17.086
1467.294,482.706,-17.751
1457.139,492.861,-16.689
1446.955,503.045,-16.687
1436.744,513.256,-17.371
1426.504,523.496,-16.972
1416.236,533.764,-16.863
1405.939,544.061,-16.634
1395.614,554.386,-16.612
1385.261,564.739,-16.223
1374.88,575.12,-16.37
1364.47,585.53,-16.479
1354.032,595.968,-16.405
1343.565,606.435,-16.642
1333.071,616.929,-16.304
1322.548,627.452,-15.904
1311.996,638.004,-16.025
1301.417,648.583,-16.259
1290.809,659.191,-16.704
1280.173,669.827,-16.403
1269.508,680.492,-15.807
1258.815,691.185,-16.158
1248.094,701.906,-16.502
1237.345,712.655,-15.767
1226.567,723.433,-15.764
1215.761,734.239,-15.853
1204.927,745.073,-15.905
1194.064,755.936,-15.956
1183.173,766.827,-15.987
1172.254,777.746,-16.337
1161.306,788.694,-16.843
1150.331,799.669,-17.137
1139.326,810.674,-17.719
1128.294,821.706,-17.476
1117.233,832.767,-16.674
1106.144,843.856,-16.234
1095.027,854.973,-16.131
1083.881,866.119,-15.82
1072.707,877.293,-15.913
1061.505,888.495,-16.043
1050.274,899.726,-16.113
1039.015,910.985,-16.246
1027.728,922.272,-15.789
1016.413,933.587,-15.751
1005.069,944.931,-16.002
993.697,956.303,-16.444
982.296,967.704,-16.197
970.867,979.133,-16.524
959.41,990.59,-16.727
947.925,1002.075,-16.117
924.869,1025.131,-15.452
901.701,1048.299,-15.631
878.419,1071.581,-15.478
855.023,1094.977,-15.511
831.515,1118.485,-15.538
807.893,1142.107,-15.975
784.158,1165.842,-15.593
760.31,1189.69,-16.035
736.349,1213.651,-15.858
712.274,1237.726,-15.407
688.086,1261.914,-15.961
663.785,1286.215,-15.75
639.371,1310.629,-16.113
614.843,1335.157,-15.54
590.203,1359.797,-16.231
565.449,1384.551,-16.324
540.582,1409.418,-16.026
515.601,1434.399,-15.738
490.508,1459.492,-15.998
465.301,1484.699,-15.711
439.981,1510.019,-15.597
414.548,1535.452,-16.196
389.001,1560.999,-15.617
363.342,1586.658,-16.412
337.569,1612.431,-16.782
311.683,1638.317,-16.308
285.683,1664.317,-15.646
259.571,1690.429,-16.27
233.345,1716.655,-16.81
207.006,1742.994,-16.568
180.554,1769.446,-15.353
153.988,1796.012,-17.153
127.31,1822.69,-16.972
100.518,1849.482,-16.14
73.613,1876.387,-16.982
46.594,1903.406,-16.913
19.463,1930.537,-16.107
-7.782,1957.782,-15.716
-35.14,1985.14,-15.47
-62.611,2012.611,-15.119
-90.195,2040.195,-15.324
-117.893,2067.893,-15.204
