depth (cm),age_alt (bp),age14C (bp),age_error (1s),age_type (),core_name (),material_dated (),note ()
0.5,940,190,70,1,1,2,1
12.5,1230,480,50,1,1,3,NA
25.5,1530,780,30,1,1,3,NA
41.5,1980,1230,30,1,1,3,NA
45,2170,1420,90,1,2,3,NA
70,3340,2590,50,1,2,3,NA
85,5120,4370,110,1,2,2,NA
119.5,6240,5490,70,1,2,2,NA
125,6590,5840,70,1,2,1,NA
155,7030,6280,110,1,2,2,NA
