age (BP),depth (cm),temperature (degC),salinity (psu),Sea_Ice_months (months/year),Sea_Ice_conc (0-10),productivity (gcm2),D (missing),age (BP),temperature (degC)
456.93,0,8.308,34.782,0.096,0.072,194.878,1,456.93,5.884
556.61,2,6.422,34.513,0.234,0.221,196.09,2,556.61,3.462
656.3,4,4.28,32.75,5.142,3.975,156.236,1,656.3,2.112
755.98,6,7.941,33.518,2.131,1.665,194.398,2,755.98,4.893
855.67,8,7.115,34.36,0.302,0.255,198.899,1,855.67,4.808
NA,10,6.475,34.119,1.664,1.266,196.992,2,1254.4,3.963
1254.4,16,6.129,34.49,0.372,0.39,196.956,1,1354.1,3.018
1354.1,18,5.755,34.268,0.741,0.672,199.18,2,1453.8,3.728
1453.8,20,6.388,34.456,0.342,0.321,202.847,1,1653.2,3.944
1653.2,24,5.96,33.994,2.284,1.789,181.734,2,1752.8,3.014
1752.8,26,5.376,33.958,1.945,1.621,161.469,1,1852.5,3.681
1852.5,28,6.458,34.436,0.343,0.321,203.392,2,1952.2,3.127
1952.2,30,5.868,34.423,0.342,0.323,195.012,1,2051.9,3.153
2051.9,32,5.544,34.045,1.598,1.29,184.809,2,2151.6,2.182
2151.6,34,4.435,33.783,2.073,1.68,175.622,1,2251.3,5.397
2251.3,36,8.058,34.766,0.154,0.146,206.272,2,2351,3.953
2351,38,6.801,34.544,0.246,0.231,201.601,1,2450.6,4.307
2450.6,40,7.359,34.638,0.158,0.169,189.722,2,2550.3,4.375
2550.3,42,6.611,34.65,0.285,0.32,185.809,1,2650,3.332
2650,44,6.329,34.515,0.235,0.221,193.207,2,2749.7,5.692
2749.7,46,7.604,34.902,0.148,0.221,185.018,1,2849.4,4.032
2849.4,48,6.131,34.5,0.368,0.392,189.695,2,2949.1,4.048
2949.1,50,6.505,34.569,0.296,0.321,189.257,1,3048.8,5.265
3048.8,52,7.288,34.657,0.267,0.301,210.036,2,3148.4,3.047
3148.4,54,4.903,33.326,4.449,3.497,138.854,1,3248.1,3.632
3248.1,56,5.978,33.969,2.019,1.608,162.808,2,3347.8,2.805
3347.8,58,5.251,33.743,2.496,2.006,164.848,1,3447.5,5.306
