year (AD),age (BP),PC1 (missing)
1990,-40,-5.761
1988,-38,-5.318
1986,-36,-4.863
1984,-34,-4.661
1983,-33,-4.193
1981,-31,-3.848
1979,-29,-4.265
1977,-27,-4.612
1975,-25,-4.592
1973,-23,-4.578
1971,-21,-4.667
1968,-18,-4.955
1966,-16,-4.756
1963,-13,-5.176
1960,-10,-5.069
1956,-6,-5.066
1953,-3,-5.518
1950,0,-5.377
1947,3,-4.894
1944,6,-4.524
1942,8,-4.532
1936,14,-4.273
1930,20,-4.285
1923,27,-4.628
1917,33,-4.643
1911,39,-5.085
1905,45,-5.321
1899,51,-4.922
1892,58,-4.283
1886,64,-4.141
1880,70,-5.026
1874,76,-5.637
1867,83,-5.702
1861,89,-5.823
1855,95,-5.72
1849,101,-5.561
1843,107,-5.337
1836,114,-4.501
1830,120,-3.906
1824,126,-3.889
1818,132,-4.159
1812,138,-4.839
1805,145,-5.232
1799,151,-5.105
1793,157,-5.12
1787,163,-5.147
1781,169,-5.054
1774,176,-4.966
1768,182,-4.613
1762,188,-4.8
1756,194,-5.033
1749,201,-5.005
1744,206,-4.94
1738,212,-4.595
1732,218,-3.885
1726,224,-3.879
1720,230,-4.14
1714,236,-4.678
1708,242,-5.023
1702,248,-4.535
1696,254,-4.457
1690,260,-4.588
1684,266,-4.772
1680,270,-4.331
1675,275,-3.895
1670,280,-3.911
1666,284,-4.039
1661,289,-3.995
1657,293,-3.824
1652,298,-3.538
1647,303,-3.352
1643,307,-3.188
1638,312,-3.252
1634,316,-3.364
1629,321,-3.023
1624,326,-3.112
1620,330,-3.417
1615,335,-3.743
1611,339,-3.952
1606,344,-3.821
1601,349,-3.693
1597,353,-3.649
1592,358,-3.61
1588,362,-3.921
1583,367,-4.079
1578,372,-3.863
1574,376,-4.027
1569,381,-3.827
1565,385,-3.345
1560,390,-3.224
1555,395,-3.069
1551,399,-3.417
1546,404,-3.497
1542,408,-3.13
1537,413,-2.993
1532,418,-2.948
1528,422,-3.371
1523,427,-3.15
1519,431,-2.651
1514,436,-2.722
1509,441,-2.608
1505,445,-2.684
1500,450,-2.809
1496,454,-2.488
1491,459,-2.179
1486,464,-2.71
1482,468,-3.041
1477,473,-3.024
1473,477,-2.94
1468,482,-2.799
1463,487,-3.239
1459,491,-3.317
1454,496,-2.609
1450,500,-2.782
1445,505,-2.608
1440,510,-2.19
1436,514,-2.347
1431,519,-2.608
1427,523,-2.871
1422,528,-2.824
1417,533,-3.158
1413,537,-3.554
1408,542,-3.442
1404,546,-3.043
1399,551,-2.906
1394,556,-3.277
1390,560,-3.553
1385,565,-3.007
1381,569,-2.354
1376,574,-2.499
1371,579,-3.241
1367,583,-3.188
1362,588,-3.283
1358,592,-3.653
1353,597,-3.199
