depth (cm) [1-1],age (BP) [1-1],temperature (degC) [1-1],depth (cm) [2-1],age (BP) [2-1],temperature (degC) [2-1],age (BP) [3-1],temperature (degC) [3-1]
8.5,1783.99,10.4,1,63,11.246,63,11.2
12.5,2592.05,11,12.5,668.71,10.987,668.7,11
16.5,3366.85,11,22.5,1084.63,11.082,1084.6,11.1
20.5,4112.84,10.8,32.5,1392.54,10.255,1392.5,10.3
21.5,4294.04,10.7,42.5,1647.41,11.195,1647.4,11.2
23.5,4418.23,11,52.5,1868.61,10.833,1784,10.4
24.5,4479.94,11.2,62.5,2067.6,11.367,1868.6,10.8
28.5,4724.78,10.6,72.5,2249.45,10.565,2067.6,11.4
32.5,4967.63,11.1,82.5,2574.13,11.44,2249.5,10.6
37.5,5266.41,10.6,92.5,3000.43,9.81,2574.1,11.4
42.5,5560.28,10.2,102.5,3376.11,10.918,2592.1,11
47.5,5845.35,10.9,122.5,4029.89,11.362,3000.4,9.8
52.5,6124.72,10.8,132.5,4321.74,10.621,3366.9,11
57.5,6399.87,10.8,142.5,4594.24,10.921,3376.1,10.9
62.5,6671.32,11.3,152.5,4852.17,10.635,4029.9,11.4
67.5,6938.51,10.7,162.5,5096.38,10.254,4112.8,10.8
72.5,7201.93,11.3,172.5,5329.21,10.482,4294,10.7
77.5,7442.17,10.3,182.5,5554.11,10.651,4321.7,10.6
81.5,7609.02,11,202.5,5978.39,11.042,4418.2,11
82.5,7650.73,10.9,212.5,6179.93,10.658,4479.9,11.2
83.5,7692.43,10.7,222.5,6374.85,10.28,4594.2,10.9
92.5,8059.97,10.1,232.5,6564.21,10.776,4724.8,10.6
102.5,8460.1,10.1,242.5,6818.58,9.745,4852.2,10.6
111.5,8813.23,11,262.5,7542.71,10.557,4967.6,11.1
112.5,8852.2,10.7,282.5,8206.13,10.715,5096.4,10.3
122.5,9234.18,10.2,292.5,8519.48,9.598,5266.4,10.6
127.5,9422.81,11,312.5,9114.04,10.26,5329.2,10.5
132.5,9608.16,10.5,322.5,9398.24,10.571,5554.1,10.7
137.5,9792.75,11.2,332.5,9597.24,10.741,5560.3,10.2
