depth (cm),dateType (),measurementMaterial (),sensorSpecies (),age14C (kyr)
1,14C,planktic foraminifera,N. pachyderma,1.23
80,14C,planktic foraminifera,N. pachyderma,2.9
179,14C,planktic foraminifera,N. pachyderma,4.89
278,14C,planktic foraminifera,N. pachyderma,7.5
377,14C,planktic foraminifera,N. pachyderma,11.13
480,14C,planktic foraminifera,N. pachyderma,14.37
581,14C,planktic foraminifera,N. pachyderma,18.9
682,14C,planktic foraminifera,N. pachyderma,23.69
785,14C,planktic foraminifera,N. pachyderma,30.42
