depth (cm),age (BP),temperature (degC),OriginalSampleID (missing)
1144,NA,11.557,1144
1146,NA,11.87,1146
1148,NA,12.174,1148
1150,NA,11.089,1150
1152,7756,10.903,1152
1154,NA,11.322,1154
1156,NA,12.014,1156
1158,NA,11.642,1158
1160,NA,10.76,1160
1162,8176,10.26,1162
1164,NA,11.877,1164
1166,NA,11.593,1166
1168,NA,12.733,1168
1170,NA,11.296,1170
1172,NA,11.127,1172
1174,8680,10.364,1174
1176,NA,11.484,1176
1178,NA,11.716,1178
1180,NA,11.683,1180
1182,NA,11.635,1182
1184,NA,11.309,1184
1186,NA,11.576,1186
1188,NA,12.266,1188
1190,9373,11.74,1190
1192,9436,11.753,1192
1194,9519,11.78,1194
1196,9603,12.213,1196
1198,9686.5,11.863,1198
1200,9770,12.156,1200
1201,9812,12.097,1201
1202,9853.5,11.778,1202
1203,9895,11.676,1203
1204,9937,11.859,1204
1205,10004,12.015,1205
1206,10095.5,10.888,1206
1207,10187,10.756,1207
1208,10278.5,11.316,1208
1209,10370,11.011,1209
1210,10462,11.068,1210
1211,10553.5,10.244,1211
1212,10645,10.426,1212
1213,10737,10.589,1213
1214,10828.5,10.09,1214
1215,10920,10.087,1215
1216,11011.5,9.853,1216
1217,11103,10.649,1217
1218,11195,10.739,1218
1219,11286.5,10.709,1219
1220,11378,10.034,1220
1221,11470,10.237,1221
1222,11561.5,9.063,1222
1223,11634.5,9.256,1223
1224,11670.5,7.771,1224
1225,11687.5,7.275,1225
1226,11705,7.725,1226
1227,11722.5,8.326,1227
1228,11739.5,6.213,1228
1231,11791.5,8.613,1231
1234,11843.5,6.75,1234
1236,11878,5.265,1236
1238,11912.5,6.307,1238
1240,11947.5,3.692,1240
1242,11981.5,4.975,1242
1244,12016.5,4.579,1244
1248,12085.5,4.119,1248
1252,12155,4.653,1252
1256,12224,4.304,1256
1260,12293.5,4.222,1260
1262,12306.5,4.941,1262
1264,12313,5.652,1264
1266,12319.5,5.244,1266
1268,12325.5,4.192,1268
1272,12338.5,4.193,1272
1276,12350.5,4.342,1276
1277,12354,5.902,1277
1278,12357.5,4.153,1278
1279.5,12362,5.075,1279.5
1280.5,12365,5.736,1280.5
1281,12385.5,5.938,1281
1281.5,12406,6.386,1281.5
1283,12466.5,6.914,1283
1284,12507.5,6.703,1284
1286.5,12609,6.644,1286.5
1289,12711,7.396,1289
1292,12833.5,5.882,1292
1294,12914.5,5.556,1294
1295,12965.5,6.145,1295
1296,13026.5,7.52,1296
1297,13087,7.442,1297
1298,13147.5,8.664,1298
1299,13208.5,5.741,1299
1300,13269.5,6.293,1300
1301,13330,7.4,1301
1302,13390.5,6.848,1302
1303,13451.5,7.255,1303
1304,13512.5,8.01,1304
1305.5,13603,6.371,1305.5
1307.5,13725,4.473,1307.5
1312,13998.5,3.341,1312
1316,14241.5,2.918,1316
1320,14772.5,3.053,1320
1322,15058.5,3.321,1322
