depth (cm),age (bp),age14C (bp),age_error (years),age_type (),lab_id (),material_dated ()
72.5,2243,2200,80,1,1,1
137.5,4421,3970,70,1,2,1
210,6473,5690,120,1,3,1
270,8039,7260,140,1,4,1
320,12535,10600,150,1,5,1
360,24311,20680,400,1,6,1
470,24330,20700,900,1,7,1
511,24522,20900,1200,1,8,1
