depth (cm),age (yrBP),core (NA),material (NA),error (yr),type (NA)
14,1865,JEN13-1C,plant material,15,AMS14C
34,3360,JEN13-1C,plant material,20,AMS14C
53,4515,JEN13-1C,plant material,20,AMS14C
75.5,5630,JEN13-1C,wood,20,AMS14C
102,6730,JEN13-1C,tephra,40,AMS14C
130,8845,JEN13-1C,wood,25,AMS14C
154,8865,JEN13-1C,plant material,25,AMS14C
177.5,10075,JEN13-1C,charcoal,30,AMS14C
211.5,11025,JEN13-1C,charcoal,35,AMS14C
228.5,11600,JEN13-1C,tephra,NA,tephra
234.5,12010,JEN13-1C,plant material,230,AMS14C
34,2495,JEN13-2E,needle,20,AMS14C
93.5,6730,JEN13-2E,tephra,40,AMS14C
116,8260,JEN13-2E,needle,35,AMS14C
139,9710,JEN13-2E,plant material,40,AMS14C
167,10850,JEN13-2E,plant material,90,AMS14C
184,11600,JEN13-2E,tephra,NA,tephra
191.5,11945,JEN13-2E,plant material,35,AMS14C
13,10880,TAG13-2A,plant material,130,AMS14C
34.5,11600,TAG13-2A,tephra,NA,tephra
42,11920,TAG13-2A,wood,210,AMS14C
245,11425,BRA13-1D,plant material,30,AMS14C
