depth (cm),age (BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm/yr)
0,-32,13.614,-11.086,1.782,670.286
10,339.2,14.557,-9.286,2.942,705.571
20,710.4,13.143,-10.914,1.446,730
30,1081.6,14.114,-10.071,2.396,709.143
40,1452.8,13.629,-9.514,2.295,922
50,1824,13.429,-10.757,1.727,685.857
60,2292.7,14.186,-8.714,2.923,927.714
70,2794,14.2,-9.557,2.608,679.429
80,3295.2,13.629,-9.514,2.295,922
90,3796.5,14.429,-9.514,2.735,651
100,4297.7,14.414,-7.771,3.362,947.429
110,4668,14.329,-7.029,3.518,861.286
120,4994.7,12.629,-10.014,1.411,932.857
130,5321.3,13.357,-9.514,2.01,745.714
140,5648,12.343,-10.171,1.13,977
150,5974.6,11.857,-11.514,0.379,684.857
160,6301.3,13.257,-8.986,2.118,946
170,6627.9,13.529,-10.7,1.771,671.571
180,6954.5,14.157,-8.929,2.854,899.857
190,7281.2,14.214,-9.571,2.615,704.857
200,7607.8,13.329,-9.429,2.045,812.714
210,7854,12.571,-10.871,1.08,651.857
220,8073.3,12.243,-9.986,1.125,890
230,8292.6,12.186,-10.671,0.933,870.143
240,8512,11.329,-10.386,0.299,797.714
250,8731.3,11.257,-9.914,0.401,743.286
260,8950.6,10.786,-10.686,-0.211,779.857
270,9170,10.471,-17.614,-4.17,731.286
280,9389.3,10.557,-18.171,-4.32,511.857
290,9608.6,11.514,-8.971,0.968,984.857
300,9827.9,11.514,-8.971,0.968,984.857
310,10150.4,11.271,-9.686,0.501,743.286
320,10507.2,11.3,-10.057,0.373,852.429
330,10864.1,10.286,-16.357,-3.524,529.714
340,11220.9,NA,NA,NA,NA
350,11812.4,NA,NA,NA,NA
360,12638.4,NA,NA,NA,NA
