depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
7.25,Carbon-14,109170,160,1280,organic gyttja,"Geochron removed bitumen by soxhlet extraction with toluene. For samples dated by Beta, bitumen removed by toluene-isopropyl alcohol soln. Vance regards Beta dates more reliable."
265,Carbon-14,109171,80,7240,organic gyttja,NA
275,Carbon-14,109172,320,8339,organic gyttja,NA
475,Carbon-14,109173,150,10740,organic gyttja,NA
480,Carbon-14,109174,245,10085,organic gyttja,NA
495,Carbon-14,109175,275,11280,silty clay,NA
