depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
305,Carbon-14,111194,115,3685,lake sediment,NA
695,Carbon-14,111195,120,7320,lake sediment,NA
786,Carbon-14,111196,140,9780,lake sediment,NA
