year (AD),age (BP),age (BP),temperature (degC),Mg/Ca (mmol/mol),ageUncertainty (yr)
1780.82,169.18,89.694,27.47,4.505,105.34
1757.76,192.24,118.872,27.47,4.503,116.901
1727.6,222.4,147.95,27.06,4.34,125.191
1695.07,254.93,176.948,27.61,4.559,130.835
1662.53,287.47,205.874,27.51,4.519,134.166
1630,320,234.736,27.19,4.392,135.357
1597.47,352.53,263.533,26.2,4.018,134.463
1564.93,385.07,292.264,26.95,4.298,131.443
1532.4,417.6,320.925,26.31,4.057,126.144
1499.87,450.13,349.505,27.57,4.451,118.263
1467.33,482.67,377.985,26.98,4.31,107.232
1434.8,515.2,406.327,27.75,4.62,91.928
1402.27,547.73,434.432,27.73,4.609,69.599
1368.45,581.55,461.284,26.72,4.27,26.325
1333.34,616.66,499.001,27.81,4.644,77.728
1298.23,651.77,535.349,27.63,4.567,105.337
1263.12,686.88,571.457,27.91,4.685,125.827
1228.01,721.99,607.434,27.35,4.615,142.298
1192.91,757.09,643.324,27.73,4.611,156.024
1157.8,792.2,679.148,27.59,4.55,167.68
1122.69,827.31,714.919,26.36,4.075,177.673
1087.58,862.42,750.646,27.25,4.315,186.27
1052.47,897.53,786.336,27.96,4.708,193.656
1017.37,932.63,821.992,27.47,4.503,199.966
982.26,967.74,857.617,27.82,4.649,205.298
947.15,1002.85,893.214,27.56,4.364,209.726
912.04,1037.96,928.784,28.08,4.759,213.308
876.94,1073.06,964.33,27.39,4.469,216.085
841.83,1108.17,999.851,26.83,4.251,218.087
806.72,1143.28,1035.348,27.22,4.296,219.336
771.61,1178.39,1070.823,27.84,4.655,219.845
736.5,1213.5,1106.274,27.47,4.502,219.617
701.4,1248.6,1141.702,26.72,4.208,218.652
666.29,1283.71,1177.106,27.14,4.303,216.939
631.18,1318.82,1212.486,27.04,4.331,214.461
596.07,1353.93,1247.841,27.65,4.577,211.189
560.96,1389.04,1283.17,27.53,4.529,207.087
525.86,1424.14,1318.47,27.74,4.54,202.104
490.75,1459.25,1353.739,27.54,4.532,196.172
455.64,1494.36,1388.975,26.98,4.309,189.203
420.53,1529.47,1424.173,27.14,4.37,181.077
385.42,1564.58,1459.328,26.9,4.277,171.628
350.32,1599.68,1494.429,27.53,4.528,160.625
315.21,1634.79,1529.465,27.06,4.339,147.72
280.1,1669.9,1564.414,26.68,4.193,132.358
244.99,1705.01,1599.231,27.48,4.68,113.545
209.88,1740.12,1633.809,27.8,4.639,89.125
174.78,1775.22,1667.017,28.12,4.773,51.709
134.4,1815.6,1711.531,27.44,4.489,95.687
92.26,1857.74,1754.585,27.86,4.666,124.486
50.12,1899.88,1797.393,27.41,4.477,147.263
7.98,1942.02,1840.071,27.5,4.514,166.505
-34.16,1984.16,1882.664,27.56,4.541,183.327
-76.3,2026.3,1925.197,27.81,4.451,198.346
-118.44,2068.44,1967.682,28.06,4.746,211.946
-160.58,2110.58,2010.129,26.97,4.304,224.385
-202.72,2152.72,2052.544,27.76,4.623,235.846
-244.86,2194.86,2094.932,27.86,4.519,246.467
-287,2237,2137.297,28.3,4.854,256.35
-329.14,2279.14,2179.641,26.89,4.273,265.58
-371.28,2321.28,2221.966,27.67,4.586,274.222
-413.42,2363.42,2264.274,27.69,4.386,282.33
