age (BP),temperature (degC),temperature (degC),temperatureComposite (degC),depth_merged (m)
18.882,1.382,4.336,-0.124,0.005
172.65,4.54,8.883,3.729,0.015
326.41,3.522,7.411,2.484,0.025
480.18,3.312,9.421,3.384,0.035
633.94,3.733,7.974,2.87,0.045
787.71,3.654,7.107,2.397,0.055
941.47,2.839,6.843,1.858,0.065
1095.2,3.075,7.142,2.126,0.075
1249,2.416,5.566,1.008,0.085
1312.2,2.011,6.141,1.093,0.095
1375.5,2.384,6.567,1.492,0.105
1438.7,5.338,9.728,4.55,0.115
1502,3.178,5.778,1.495,0.125
1565.3,2.425,7.225,1.842,0.135
1628.5,1.817,8.93,2.391,0.145
1691.8,0.607,7.62,1.13,0.155
1755,2.914,5.809,1.378,0.165
1818.2,3.913,8.046,2.997,0.175
1881.5,2.635,6.238,1.453,0.185
1944.7,2.23,4.957,0.61,0.195
2008,3.223,5.83,1.543,0.205
2294.6,3.026,6.307,1.683,0.215
2581.2,3.694,6.578,2.153,0.225
2867.8,3.201,10.414,3.824,0.235
3154.3,4.412,8.476,3.461,0.245
3440.9,2.879,6.526,1.719,0.255
3727.5,2.773,10.44,3.623,0.265
4014.1,3.792,10.313,4.069,0.275
4300.7,4.061,10.096,4.095,0.285
4587.3,2.312,6.354,1.35,0.295
4873.8,2.807,5.836,1.339,0.305
5160.4,1.967,8.653,2.327,0.315
5447,2.672,4.625,0.666,0.325
5602.8,4.136,7.097,2.634,0.335
5758.7,1.804,10.574,3.206,0.345
5914.5,2.478,5.721,1.116,0.355
6070.3,3.535,6.172,1.87,0.365
6226.2,3.1,5.87,1.502,0.375
6382,3.083,9.05,3.083,0.385
6537.8,1.646,10.856,3.268,0.395
6693.7,3.847,6.868,2.375,0.405
6849.5,-0.323,13.25,3.481,0.415
7005.3,5.056,9.017,4.053,0.425
7161.2,1.583,8.969,2.293,0.435
7317,1.656,10.56,3.125,0.445
7355.2,2.16,7.831,2.013,0.455
7393.3,2.046,11.906,3.993,0.465
7431.5,0.799,5.953,0.393,0.475
7469.7,2.536,7.147,1.859,0.485
7507.8,2.812,5.153,0.999,0.495
7546,2.973,7.464,2.236,0.505
7584.2,1.737,6.426,1.099,0.515
7622.3,-0.429,3.498,-1.449,0.525
7660.5,-0.359,4.983,-0.671,0.535
7698.7,1.871,8.633,2.269,0.545
7736.8,1.856,7.953,1.922,0.555
7775,2.223,11.284,3.77,0.565
8327,2.775,12.669,4.739,0.605
8705.7,0.26,6.257,0.276,0.885
9076.3,-0.587,12.067,2.757,0.925
9447,0.94,4.427,-0.299,0.965
9587,1.571,10.894,3.249,1.005
9727,-0.358,4.838,-0.743,1.045
9867,1.651,10.245,2.965,1.085
10007,0.741,6.814,0.795,1.125
10147,0.95,10.07,2.527,1.165
10240,3.418,11.784,4.618,1.205
10333.1,1.476,10.46,2.985,1.245
10426.1,2.937,11.635,4.303,1.285
10519.2,2.825,11.586,4.223,1.325
10612.2,1.279,9.503,2.408,1.365
10705.2,-0.368,11.165,2.415,1.405
10798.3,-0.328,11.503,2.605,1.445
10891.3,-0.615,8.506,0.962,1.485
10984.4,0.988,11.413,3.217,1.525
11077.4,1.338,11.353,3.363,1.565
11170.4,0.434,8.207,1.337,1.605
11263.5,-1.135,6.29,-0.406,1.645
11356.5,0.649,8.486,1.584,1.685
11449.6,0.871,10.968,2.937,1.725
11542.6,-0.427,9.486,1.547,1.765
11635.6,-0.21,9.97,1.897,1.805
11728.7,1.082,11.412,3.264,1.845
11821.7,-0.47,9.656,1.61,1.885
11914.8,-1.039,3.279,-1.863,1.925
12007.8,0.79,8.974,1.899,1.965
12100.8,-0.23,9.994,1.899,2.005
12193.9,0.851,6.908,0.897,2.045
12286.9,-1.72,0.491,-3.597,2.085
12380,-1.507,0.308,-3.583,2.125
12473,-1.617,0.263,-3.66,2.165
12522,-1.677,-0.314,-3.979,2.205
12571,4.26,9.901,4.098,2.245
12620,-1.612,0.259,-3.66,2.285
12669,-0.661,3.321,-1.653,2.325
12718,-0.953,1.944,-2.488,2.365
12767,-1.776,-0.783,-4.263,2.405
12816,-1.004,2.433,-2.268,2.445
12859,0.54,3.414,-1.006,2.485
12901.9,-0.861,3.558,-1.635,2.525
12944.9,-0.948,3.679,-1.618,2.565
12987.9,-1.427,1.106,-3.143,2.605
13030.9,-1.499,0.684,-3.39,2.645
13073.8,0.45,2.438,-1.539,2.685
13116.8,-1.497,0.788,-3.338,2.725
13159.8,-1.369,1.72,-2.808,2.765
13202.7,-1.309,1.123,-3.076,2.805
13245.7,-1.02,2.244,-2.371,2.845
13288.7,-1.213,2.399,-2.39,2.885
13331.7,-1.343,2.066,-2.622,2.925
13374.6,-1.233,0.981,-3.109,2.965
13417.6,-1.43,1.047,-3.175,3.005
13460.6,-1.416,1.301,-3.041,3.045
13503.6,-1.099,1.67,-2.697,3.085
13546.5,-0.999,3.448,-1.758,3.125
13589.5,-1,1.395,-2.786,3.165
13632.5,-1.517,0.593,-3.445,3.205
13675.4,-0.958,1.436,-2.744,3.245
13718.4,-1.358,1.087,-3.119,3.285
13761.4,-1.163,2.654,-2.237,3.325
13804.4,-1.431,1.728,-2.834,3.365
13847.3,-1.377,0.601,-3.371,3.405
13890.3,-1.392,0.514,-3.422,3.445
13933.3,-1.234,2.3,-2.45,3.485
13976.3,-1.079,2.994,-2.026,3.525
14019.2,-1.2,2.117,-2.525,3.565
14062.2,-1.451,1.017,-3.2,3.605
14105.2,-1.343,0.939,-3.185,3.645
14148.1,-1.282,1.767,-2.74,3.685
14191.1,-1.088,1.653,-2.7,3.725
14234.1,-1.375,0.569,-3.386,3.765
14277.1,-1.011,3.153,-1.912,3.805
14320,-1.34,1.392,-2.957,3.845
14363,-1.513,0.843,-3.318,3.885
14417.6,-1.181,2.689,-2.229,3.925
14472.1,-1.467,0.979,-3.227,3.965
14526.7,-1.45,0.964,-3.226,4.005
14581.3,-1.724,0.451,-3.619,4.045
14635.9,-1.648,0.208,-3.703,4.085
14690.4,-1.645,0.049,-3.781,4.125
14745,0.611,7.57,1.107,4.165
14813.2,-1.652,0.241,-3.688,4.215
14854.1,-1.442,1.141,-3.133,4.245
14908.7,-1.505,0.813,-3.329,4.285
14963.3,-1.63,0.338,-3.629,4.325
15017.9,-1.673,0.092,-3.773,4.365
15072.4,-1.679,-0.228,-3.937,4.405
15127,-1.467,1.025,-3.204,4.445
15181.6,-1.369,1.804,-2.765,4.485
15236.1,-1.58,1.188,-3.179,4.525
15290.7,-1.333,2.103,-2.598,4.565
15345.3,-1.477,1.541,-2.951,4.605
15399.9,-1.577,0.585,-3.479,4.645
15454.4,0.896,6.762,0.846,4.685
15509,-0.862,6.481,-0.174,4.725
15563.6,-1.521,1.692,-2.897,4.765
15598,-1.694,0.197,-3.731,4.805
