depth (cm),age (yr BP),material (N/A),error (yr),reservoir (ca. 1200 yr) (N/A)
15,1550,aq. Pyrgophorus,60,x
65,1600,aq. Pyrgophorus,30,x
65,1140,seed,35,NA
103,3200,aq. Pyrgophorus,40,x
142,5210,Bivalves,30,NA
238,7100,aq. Pyrgophorus,30,x
314,9040,aq. Pyrgophorus,65,x
350,8680,mixed gastropods,45,x
385,9530,mixed gastropods,60,x
406,9500,Bivalves,50,x
421,7560,charcoal,35,NA
421,7600,charcoal,60,NA
421,7460,charcoal,60,NA
472,9180,land snail,50,NA
